Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.997922803489,5.51540257413,0.0,5.48743519576,0.0,0.136298116721,0.136298116721,0.136298116721,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.824152578627,6.11558926213,0.0,6.08983867356,0.0,0.150187513931,0.150187513931,0.150187513931,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.765448299353,6.44928978319,0.0,6.42383775217,0.0,0.157519605757,0.157519605757,0.157519605757,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.760607117261,6.63391629968,0.0,6.60882253771,0.0,0.161564384917,0.161564384917,0.161564384917,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.81064446182,6.76324141297,0.0,6.73909557122,0.0,0.164487421419,0.164487421419,0.164487421419,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,1.07700085451,6.77041834329,0.0,6.74347352451,0.0,0.164454590508,0.164454590508,0.164454590508,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.69181748225,6.59295170813,0.0,6.56181961974,0.0,0.160024556281,0.160024556281,0.160024556281,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.11702039067,6.33493280217,0.0,6.30185262578,0.0,0.153684683308,0.153684683308,0.153684683308,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.04534623355,5.65525848533,0.0,5.62729110695,0.0,0.137234001334,0.137234001334,0.137234001334,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.78237830156,4.87359929776,0.0,4.84979679719,0.0,0.118273074467,0.118273074467,0.118273074467,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428683975
 01/01  11:00:00,1.67889007657,4.97065583569,0.0,4.94629353972,0.0,0.12159946379,0.12159946379,0.12159946379,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958450992
 01/01  12:00:00,1.55537811318,3.08891845578,0.0,3.06454869587,0.0,0.0748557882737,0.0748557882737,0.0748557882737,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266164241
 01/01  13:00:00,1.4427288022,2.24543138832,0.0,2.22147214504,0.0,0.0546344264746,0.0546344264746,0.0546344264746,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750167295
 01/01  14:00:00,1.35935982901,1.729844707,0.0,1.70505696652,0.0,0.0422800322675,0.0422800322675,0.0422800322675,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927996375
 01/01  15:00:00,1.31107570807,1.55097130795,0.0,1.52478781093,0.0,0.0380118065308,0.0380118065308,0.0380118065308,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433626
 01/01  16:00:00,1.3862569501,1.62883955104,0.0,1.60120058596,0.0,0.0400959659709,0.0400959659709,0.0400959659709,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.70740720311,2.05029103459,0.0,2.01759898301,0.0,0.050982244106,0.050982244106,0.050982244106,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
 01/01  18:00:00,2.32339189699,3.38078914864,0.0,3.34107353072,0.0,0.0846498705536,0.0846498705536,0.0846498705536,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680395849
 01/01  19:00:00,2.73668678526,2.55371742522,0.0,2.51059825125,0.0,0.0625127789909,0.0625127789909,0.0625127789909,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127807519
 01/01  20:00:00,2.72346216392,2.65116582479,0.0,2.60665835822,0.0,0.064754379623,0.064754379623,0.064754379623,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.68690966584
 01/01  21:00:00,2.52434620621,2.99291367826,0.0,2.94687610425,0.0,0.0732948871931,0.0732948871931,0.0732948871931,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498746841
 01/01  22:00:00,2.29002909421,3.34674997797,0.0,3.30178721113,0.0,0.0820070200998,0.0820070200998,0.0820070200998,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454408082
 01/01  23:00:00,1.86246023742,3.78075909993,0.0,3.74184958739,0.0,0.0927786708499,0.0927786708499,0.0927786708499,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.43137061292
 01/01  24:00:00,1.42265298616,4.31319356695,0.0,4.27938192456,0.0,0.10599586867,0.10599586867,0.10599586867,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875805516
 01/02  01:00:00,0.961553351397,4.76150687619,0.0,4.73353949782,0.0,0.117066545301,0.117066545301,0.117066545301,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239267921
 01/02  02:00:00,0.788858463505,5.06143433572,0.0,5.03568374715,0.0,0.124400119014,0.124400119014,0.124400119014,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0925247140163
 01/02  03:00:00,0.730720367734,5.27874443282,0.0,5.25329240179,0.0,0.129481828916,0.129481828916,0.129481828916,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.077362829174
 01/02  04:00:00,0.726219741612,5.42640825859,0.0,5.40131449662,0.0,0.13292117085,0.13292117085,0.13292117085,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284979446
 01/02  05:00:00,0.769389876103,5.51001347771,0.0,5.48586763596,0.0,0.134858462034,0.134858462034,0.134858462034,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182717958
