Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.9736498144,4.61458123042,0.0,4.58661385205,0.0,0.11202512764,0.11202512764,0.11202512764,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465508
 01/01  02:00:00,0.792499588842,4.85512832816,0.0,4.82937773958,0.0,0.118534524146,0.118534524146,0.118534524146,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101462
 01/01  03:00:00,0.731446255192,5.03647909605,0.0,5.01102706502,0.0,0.123517563833,0.123517563833,0.123517563833,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441743289
 01/01  04:00:00,0.726021471672,5.17374973619,0.0,5.14865597422,0.0,0.126978739345,0.126978739345,0.126978739345,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553362
 01/01  05:00:00,0.776899369924,5.31985601379,0.0,5.29571017204,0.0,0.130742329524,0.130742329524,0.130742329524,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188674
 01/01  06:00:00,1.04265522122,5.29737218604,0.0,5.27042736727,0.0,0.130108957222,0.130108957222,0.130108957222,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.67660788819,5.9007439904,0.0,5.86961190201,0.0,0.144814962218,0.144814962218,0.144814962218,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.09467005124,5.370488685,0.0,5.3374085086,0.0,0.131334328029,0.131334328029,0.131334328029,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262271422
 01/01  09:00:00,2.0347406621,5.1946038402,0.0,5.16663646182,0.0,0.126628419526,0.126628419526,0.126628419526,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306498581
 01/01  10:00:00,1.79092464753,5.18566985725,0.0,5.16186735668,0.0,0.126819418878,0.126819418878,0.126819418878,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428685531
 01/01  11:00:00,1.70334699376,5.93011451282,0.0,5.90575221685,0.0,0.146056384204,0.146056384204,0.146056384204,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447771
 01/01  12:00:00,1.58531106645,4.3010679174,0.0,4.27669815749,0.0,0.104788743231,0.104788743231,0.104788743231,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266162552
 01/01  13:00:00,1.47048126172,3.36886363889,0.0,3.34490439561,0.0,0.0823868869464,0.0823868869464,0.0823868869464,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.47575016634
 01/01  14:00:00,1.38209185102,2.64306430306,0.0,2.61827656258,0.0,0.0650120532053,0.0650120532053,0.0650120532053,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927997453
 01/01  15:00:00,1.3271190248,2.18598652544,0.0,2.15980302842,0.0,0.0540551220473,0.0540551220473,0.0540551220473,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516434842
 01/01  16:00:00,1.39941049627,2.14497088845,0.0,2.11733192338,0.0,0.0532495115139,0.0532495115139,0.0532495115139,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.39332805662
 01/01  17:00:00,1.7110853288,2.19576228757,0.0,2.16307023598,0.0,0.0546603697937,0.0546603697937,0.0546603697937,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.4479148885
 01/01  18:00:00,2.32768860691,3.54880266003,0.0,3.50908704211,0.0,0.0889465788407,0.0889465788407,0.0889465788407,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680397479
 01/01  19:00:00,2.74847133052,3.01446960604,0.0,2.97135043207,0.0,0.0742973229345,0.0742973229345,0.0742973229345,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127808842
 01/01  20:00:00,2.73846673598,3.25079426735,0.0,3.20628680078,0.0,0.0797589491575,0.0797589491575,0.0797589491575,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909668369
 01/01  21:00:00,2.53973454597,3.62351376993,0.0,3.57747619592,0.0,0.0886832279821,0.0886832279821,0.0886832279821,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.62849874581
 01/01  22:00:00,2.30537849422,3.98530927507,0.0,3.94034650823,0.0,0.0973564168685,0.0973564168685,0.0973564168685,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454411325
 01/01  23:00:00,1.88086853196,4.54632103844,0.0,4.50741152591,0.0,0.111186965076,0.111186965076,0.111186965076,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370613236
 01/01  24:00:00,1.44021041038,5.05075857906,0.0,5.01694693667,0.0,0.123553293387,0.123553293387,0.123553293387,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875805011
 01/02  01:00:00,0.978149810737,5.46357687658,0.0,5.43560949821,0.0,0.133662990971,0.133662990971,0.133662990971,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239281591
 01/02  02:00:00,0.811735159989,6.02572096659,0.0,5.99997037801,0.0,0.147276813883,0.147276813883,0.147276813883,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0925247156319
 01/02  03:00:00,0.753913889666,6.25707884231,0.0,6.23162681128,0.0,0.15267535073,0.15267535073,0.15267535073,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628292928
 01/02  04:00:00,0.744621278357,6.22212157592,0.0,6.19702781395,0.0,0.151322691515,0.151322691515,0.151322691515,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817285140239
 01/02  05:00:00,0.781936833078,6.06851654992,0.0,6.04437070817,0.0,0.147405414446,0.147405414446,0.147405414446,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182722521
 01/02  06:00:00,1.01916548899,5.62317502827,0.0,5.5962302095,0.0,0.136476512311,0.136476512311,0.136476512311,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874500186
 01/02  07:00:00,1.6036354696,5.80487204765,0.0,5.77373995926,0.0,0.141546162218,0.141546162218,0.141546162218,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307146169
 01/02  08:00:00,1.9946407572,5.10722024142,0.0,5.07414006502,0.0,0.124391461282,0.124391461282,0.124391461282,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.78433720605
 01/02  09:00:00,1.91180248985,4.57653744421,0.0,4.54857006584,0.0,0.111396332135,0.111396332135,0.111396332135,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.758037714612
 01/02  10:00:00,1.6383309029,3.64640160111,0.0,3.62259910054,0.0,0.088649267045,0.088649267045,0.088649267045,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.678036151204
 01/02  11:00:00,1.53725783868,3.68042902539,0.0,3.65606672941,0.0,0.0904965336618,0.0904965336618,0.0904965336618,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.583345372527
 01/02  12:00:00,1.43411161472,2.27156886386,0.0,2.24719910394,0.0,0.055556370808,0.055556370808,0.055556370808,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.498787842771
