Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.958073317575,3.4170289069,0.0,3.38906152852,0.0,0.096448634302,0.096448634302,0.096448634302,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803462021
 01/01  02:00:00,0.779394975077,3.72404238031,0.0,3.69829179173,0.0,0.105429913964,0.105429913964,0.105429913964,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844065628
 01/01  03:00:00,0.716780366732,3.8456286417,0.0,3.82017661067,0.0,0.108851673499,0.108851673499,0.108851673499,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417451622
 01/01  04:00:00,0.708497851054,3.87025633427,0.0,3.8451625723,0.0,0.109455118732,0.109455118732,0.109455118732,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553321
 01/01  05:00:00,0.752401098546,3.75994144236,0.0,3.73579560061,0.0,0.106244058146,0.106244058146,0.106244058146,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188674
 01/01  06:00:00,1.01853780893,3.75547212196,0.0,3.72852730319,0.0,0.10599154493,0.10599154493,0.10599154493,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.63803724984,3.76214029818,0.0,3.73100820979,0.0,0.106244323862,0.106244323862,0.106244323862,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.06475067085,3.59469525961,0.0,3.56161508322,0.0,0.101414963493,0.101414963493,0.101414963493,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.00482386427,3.42554133492,0.0,3.39757395655,0.0,0.0967116320619,0.0967116320619,0.0967116320619,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.7572123805,3.29450474588,0.0,3.27070224531,0.0,0.0931071557012,0.0931071557012,0.0931071557012,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
