Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.913359276321,2.10943478509,0.0,2.08146740671,0.0,0.0517345895489,0.0517345895489,0.0517345895489,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.15880346552
 01/01  02:00:00,0.736337131347,2.54529063661,0.0,2.51954004803,0.0,0.062372060249,0.062372060249,0.062372060249,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844165487
 01/01  03:00:00,0.677532726723,2.84159648456,0.0,2.81614445353,0.0,0.0696040153565,0.0696040153565,0.0696040153565,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441763296
 01/01  04:00:00,0.674540234436,3.08255151357,0.0,3.0574577516,0.0,0.0754975007067,0.0754975007067,0.0754975007067,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072567394
 01/01  05:00:00,0.731108762232,3.4639303232,0.0,3.43978448145,0.0,0.0849517217949,0.0849517217949,0.0849517217949,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188711
 01/01  06:00:00,0.996796750531,3.43678907922,0.0,3.40984426045,0.0,0.0842504865314,0.0842504865314,0.0842504865314,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.61125568482,3.26125043549,0.0,3.2301183471,0.0,0.0794627588507,0.0794627588507,0.0794627588507,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.03230012631,2.849846878,0.0,2.81676670161,0.0,0.0689644189501,0.0689644189501,0.0689644189501,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,1.96233746348,2.24814586949,0.0,2.22017849111,0.0,0.0542252312704,0.0542252312704,0.0542252312704,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.70851887287,1.83419715893,0.0,1.81039465836,0.0,0.0444136489331,0.0444136489331,0.0444136489331,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428680817
 01/01  11:00:00,1.57842595845,0.888153343499,0.0,0.863791047525,0.0,0.0211353498223,0.0211353498223,0.0211353498223,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958446844
 01/01  12:00:00,1.48024002375,0.0243697599126,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.547983863084
 01/01  13:00:00,1.38709621964,0.0239592432832,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.474752011208
 01/01  14:00:00,1.31584986265,0.0247877404808,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.42969806229
 01/01  15:00:00,1.27147401382,0.026183497021,0.0,0.0,0.0,0.0,0.0,0.0,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.386926545911
 01/01  16:00:00,1.34453372046,0.0276389650709,0.0,0.0,0.0,0.0,0.0,0.0,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.39170079232
 01/01  17:00:00,1.6549685606,0.0326920515826,0.0,0.0,0.0,0.0,0.0,0.0,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.446458490086
 01/01  18:00:00,2.23777457004,0.0397156179158,0.0,0.0,0.0,0.0,0.0,0.0,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.555712939455
 01/01  19:00:00,2.67339626819,0.043119173971,0.0,0.0,0.0,0.0,0.0,0.0,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.663350069445
 01/01  20:00:00,2.65790942408,0.0445074665725,0.0,0.0,0.0,0.0,0.0,0.0,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686111305625
 01/01  21:00:00,2.450731348,0.0460375740095,0.0,0.0,0.0,0.0,0.0,0.0,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.62817877582
 01/01  22:00:00,2.21912860387,0.496751541004,0.0,0.45178877417,0.0,0.0111069106724,0.0111069106724,0.0111069106724,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454027171
 01/01  23:00:00,1.79563679489,1.08280092598,0.0,1.04389141344,0.0,0.0259552247019,0.0259552247019,0.0259552247019,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370616541
 01/01  24:00:00,1.3589943359,1.73186626693,0.0,1.69805462454,0.0,0.0423372179089,0.0423372179089,0.0423372179089,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875806013
 01/02  01:00:00,0.906009405985,2.50166814026,0.0,2.47370076189,0.0,0.0615225791849,0.0615225791849,0.0615225791849,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239288625
 01/02  02:00:00,0.735819543697,2.89693602144,0.0,2.87118543286,0.0,0.0713611975904,0.0713611975904,0.0713611975904,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.092524715632
 01/02  03:00:00,0.680333606508,3.2328587062,0.0,3.20740667517,0.0,0.0790950675724,0.0790950675724,0.0790950675724,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628292928
 01/02  04:00:00,0.680932204228,3.58962297593,0.0,3.56452921396,0.0,0.0876336334562,0.0876336334562,0.0876336334562,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284979536
 01/02  05:00:00,0.727615128483,3.8123793659,0.0,3.78823352414,0.0,0.0930837144137,0.0930837144137,0.0930837144137,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182717959
 01/02  06:00:00,0.976950547304,3.86965733526,0.0,3.84271251648,0.0,0.0942615706787,0.0942615706787,0.0942615706787,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874500133
 01/02  07:00:00,1.55260560675,3.72799590097,0.0,3.69686381258,0.0,0.0905162993634,0.0905162993634,0.0905162993634,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307146168
 01/02  08:00:00,1.96815395604,4.03911209595,0.0,4.00603191956,0.0,0.0979046601202,0.0979046601202,0.0979046601202,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.78433720605
 01/02  09:00:00,1.86624046506,2.7248102982,0.0,2.69684291982,0.0,0.065834307349,0.065834307349,0.065834307349,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.758037714612
 01/02  10:00:00,1.59645249543,1.94164528158,0.0,1.91784278101,0.0,0.0467708589739,0.0467708589739,0.0467708589739,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.678036151799
 01/02  11:00:00,1.49464854418,1.96804024118,0.0,1.9436779452,0.0,0.0478872253525,0.0478872253525,0.0478872253525,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.583345386332
 01/02  12:00:00,1.38991832359,0.489366241345,0.0,0.464996481432,0.0,0.0113630631677,0.0113630631677,0.0113630631677,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.498787859283
 01/02  13:00:00,1.30104739062,0.17470754004,0.0,0.150748296757,0.0,0.00367633228228,0.00367633228228,0.00367633228228,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.432837355999
 01/02  14:00:00,1.25020661888,0.588683342367,0.0,0.563895601886,0.0,0.0139251229217,0.0139251229217,0.0139251229217,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.393717728112
 01/02  15:00:00,1.21186405885,0.493698968156,0.0,0.467515471135,0.0,0.0116148630904,0.0116148630904,0.0116148630904,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.35482730002
 01/02  16:00:00,1.28664195268,0.469517508547,0.0,0.441878543477,0.0,0.0110380364413,0.0110380364413,0.0110380364413,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.359829960956
 01/02  17:00:00,1.59841099019,0.78903996402,0.0,0.756347912437,0.0,0.0190297954129,0.0190297954129,0.0190297954129,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.406789043512
 01/02  18:00:00,2.19152487445,1.52772172796,0.0,1.48800611004,0.0,0.0375612262905,0.0375612262905,0.0375612262905,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.507253947783
 01/02  19:00:00,2.59563102351,0.842346261409,0.0,0.799227087438,0.0,0.0199156678551,0.0199156678551,0.0199156678551,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.59997947245
 01/02  20:00:00,2.57540827109,0.960554604963,0.0,0.916047138391,0.0,0.0227939787776,0.0227939787776,0.0227939787776,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.615060928058
 01/02  21:00:00,2.37984822257,1.33301255725,0.0,1.28697498324,0.0,0.0321042643973,0.0321042643973,0.0321042643973,0.680252812296,0.146544515569,0.275874927963,0.668380946025,0.560046756319
 01/02  22:00:00,2.15513135545,1.65510251364,0.0,1.61013974681,0.0,0.0401104881445,0.0401104881445,0.0401104881445,0.571155699981,0.123042103946,0.258342283024,0.652776721604,0.493060058751
 01/02  23:00:00,1.7493535986,2.17356707675,0.0,2.13465756422,0.0,0.0530935261647,0.0530935261647,0.0530935261647,0.429971093908,0.0926271950982,0.205880856148,0.564894596568,0.386242330709
 01/02  24:00:00,1.33755413317,2.63579496756,0.0,2.60198332517,0.0,0.0645299547697,0.0645299547697,0.0645299547697,0.295204002519,0.0635947891276,0.135920781757,0.490882893238,0.270777711756
 01/03  01:00:00,0.917726568917,2.97592670491,0.0,2.94795932654,0.0,0.0730154673702,0.0730154673702,0.0730154673702,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148463563371
 01/03  02:00:00,0.74406457481,3.24716051999,0.0,3.22140993142,0.0,0.0794940907852,0.0794940907852,0.0794940907852,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0926368535507
 01/03  03:00:00,0.685360000101,3.43513185293,0.0,3.40967982191,0.0,0.084042405497,0.084042405497,0.084042405497,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0774418849604
 01/03  04:00:00,0.677297744073,3.43350095053,0.0,3.40840718857,0.0,0.0839109233202,0.0839109233202,0.0839109233202,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.081816747935
 01/03  05:00:00,0.721712285626,3.56080765427,0.0,3.53666181252,0.0,0.0870008799507,0.0870008799507,0.0870008799507,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126362709565
 01/03  06:00:00,0.967525650472,3.45000397312,0.0,3.42305915435,0.0,0.0842678195206,0.0842678195206,0.0842678195206,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.32144335446
 01/03  07:00:00,1.54150912092,3.20796211428,0.0,3.17683002589,0.0,0.0781206138816,0.0781206138816,0.0781206138816,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.685606345828
 01/03  08:00:00,1.93807694062,2.73647283604,0.0,2.70339265965,0.0,0.0663102156556,0.0663102156556,0.0663102156556,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.785854635102
 01/03  09:00:00,1.85099295466,2.03292757602,0.0,2.00496019765,0.0,0.0491099709692,0.0491099709692,0.0491099709692,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.759514540593
