Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.951332652216,3.59300673728,0.0,3.56503935891,0.0,0.0897079654477,0.0897079654477,0.0897079654477,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.774692281291,4.05077042392,0.0,4.02501983534,0.0,0.100727216595,0.100727216595,0.100727216595,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.716747930108,4.3917447448,0.0,4.36629271378,0.0,0.108819236512,0.108819236512,0.108819236512,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.720365654298,4.90361700063,0.0,4.87852323866,0.0,0.121322921953,0.121322921953,0.121322921953,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.770522332498,5.03736857907,0.0,5.01322273732,0.0,0.124365292097,0.124365292097,0.124365292097,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,1.03797025348,5.10014056218,0.0,5.07319574341,0.0,0.125423943487,0.125423943487,0.125423943487,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635140904
 01/01  07:00:00,1.65072783995,4.84614489066,0.0,4.81501280227,0.0,0.118934908196,0.118934908196,0.118934908196,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385258317
 01/01  08:00:00,2.07507305806,4.57406735573,0.0,4.54098717934,0.0,0.11173735049,0.11173735049,0.11173735049,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255787
 01/01  09:00:00,2.00296230897,3.89446192915,0.0,3.86649455078,0.0,0.094850076754,0.094850076754,0.094850076754,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488221
 01/01  10:00:00,1.73236625992,2.80465062949,0.0,2.78084812892,0.0,0.0682610404485,0.0682610404485,0.0682610404485,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428676348
 01/01  11:00:00,1.60836612288,2.07716430936,0.0,2.05280201338,0.0,0.0510755183181,0.0510755183181,0.0510755183181,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.64295844278
