Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.972098101646,4.38207126747,0.0,4.35410388909,0.0,0.110473419492,0.110473419492,0.110473419492,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803460902
 01/01  02:00:00,0.793745646725,4.74094809765,0.0,4.71519750908,0.0,0.119780589929,0.119780589929,0.119780589929,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844022472
 01/01  03:00:00,0.732617951725,4.92744262248,0.0,4.90199059145,0.0,0.124689262323,0.124689262323,0.124689262323,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441741332
 01/01  04:00:00,0.726308399358,5.02612725168,0.0,5.00103348972,0.0,0.127265679129,0.127265679129,0.127265679129,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072432399
 01/01  05:00:00,0.772907365417,5.00473653672,0.0,4.98059069497,0.0,0.126750348259,0.126750348259,0.126750348259,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137165432
 01/01  06:00:00,1.03622731375,4.8880171227,0.0,4.86107230393,0.0,0.123681052643,0.123681052643,0.123681052643,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.34663509201
 01/01  07:00:00,1.64725198781,4.56951822748,0.0,4.53838613909,0.0,0.11545906205,0.11545906205,0.11545906205,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252333
 01/01  08:00:00,2.07048982393,4.24964213341,0.0,4.21656195702,0.0,0.107154116584,0.107154116584,0.107154116584,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255565
 01/01  09:00:00,2.00988774261,4.02777468497,0.0,3.99980730659,0.0,0.101775510398,0.101775510398,0.101775510398,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.74342852704,3.15290985663,0.0,3.12910735606,0.0,0.0793233022396,0.0793233022396,0.0793233022396,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.63961222079,3.24132817123,0.0,3.21696587526,0.0,0.082321611183,0.082321611183,0.082321611183,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447824
 01/01  12:00:00,1.52404888107,1.73657853336,0.0,1.71220877345,0.0,0.0435265600088,0.0435265600088,0.0435265600088,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266160395
 01/01  13:00:00,1.41226817941,0.973019313804,0.0,0.949060070521,0.0,0.0241738051963,0.0241738051963,0.0241738051963,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165781
 01/01  14:00:00,1.33094175268,0.566078982102,0.0,0.541291241621,0.0,0.0138619562073,0.0138619562073,0.0138619562073,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927996106
 01/01  15:00:00,1.28172242372,0.363243667161,0.0,0.33706017014,0.0,0.00865852211721,0.00865852211721,0.00865852211721,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433693
