Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.983848836647,4.95363873418,0.0,4.92567135581,0.0,0.122224152154,0.122224152154,0.122224152154,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803463241
 01/01  02:00:00,0.804915330415,5.29987410465,0.0,5.27412351607,0.0,0.13095026572,0.13095026572,0.13095026572,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101454
 01/01  03:00:00,0.745824747597,5.61099069509,0.0,5.58553866406,0.0,0.137896054,0.137896054,0.137896054,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417455259
 01/01  04:00:00,0.740452148393,5.76105601458,0.0,5.73596225261,0.0,0.141409416049,0.141409416049,0.141409416049,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.78977616206,5.85585298202,0.0,5.83170714027,0.0,0.143619121659,0.143619121659,0.143619121659,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,1.05548224682,5.83367778955,0.0,5.80673297078,0.0,0.142935982817,0.142935982817,0.142935982817,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.6692017204,5.61844145733,0.0,5.58730936894,0.0,0.137408794427,0.137408794427,0.137408794427,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.1100362714,6.00750361643,0.0,5.97442344003,0.0,0.146700564038,0.146700564038,0.146700564038,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.04191162438,5.46934338192,0.0,5.44137600354,0.0,0.133799392169,0.133799392169,0.133799392169,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.7912267272,5.1981838588,0.0,5.17438135823,0.0,0.127121502403,0.127121502403,0.127121502403,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.70066637285,5.81265084146,0.0,5.78828854549,0.0,0.143375763335,0.143375763335,0.143375763335,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.58540661074,4.28633812008,0.0,4.26196836016,0.0,0.104884294439,0.104884294439,0.104884294439,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.54826615564
