Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.979268354001,4.32392282768,0.0,4.29595544931,0.0,0.117643667233,0.117643667233,0.117643667233,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.802754638917,4.75378850725,0.0,4.72803791868,0.0,0.128789574221,0.128789574221,0.128789574221,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.739447110759,4.88384447483,0.0,4.8583924438,0.0,0.131518417162,0.131518417162,0.131518417162,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.737991046748,5.17717258981,0.0,5.15207882784,0.0,0.138948314404,0.138948314404,0.138948314404,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.785987253979,5.20515489532,0.0,5.18100905356,0.0,0.139830213579,0.139830213579,0.139830213579,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,1.05578900858,5.34932679719,0.0,5.32238197842,0.0,0.143242744583,0.143242744583,0.143242744583,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.67006913422,5.16812674071,0.0,5.13699465232,0.0,0.138276208245,0.138276208245,0.138276208245,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.10948964216,5.48150281161,0.0,5.44842263521,0.0,0.1461539348,0.1461539348,0.1461539348,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.0392820872,4.92584748094,0.0,4.89788010257,0.0,0.131169854987,0.131169854987,0.131169854987,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.78449339224,4.51595983109,0.0,4.49215733052,0.0,0.120388167443,0.120388167443,0.120388167443,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.67270049259,4.30115076851,0.0,4.27678847254,0.0,0.115409879868,0.115409879868,0.115409879868,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958450936
 01/01  12:00:00,1.56170557403,3.03109930024,0.0,3.00672954033,0.0,0.0811832480477,0.0811832480477,0.0811832480477,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266165325
 01/01  13:00:00,1.4301205983,1.58041864844,0.0,1.55645940515,0.0,0.0420262239777,0.0420262239777,0.0420262239777,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165885
 01/01  14:00:00,1.35344898069,1.35030979909,0.0,1.32552205861,0.0,0.0363691853503,0.0363691853503,0.0363691853503,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927994974
 01/01  15:00:00,1.29276924284,0.737058713891,0.0,0.71087521687,0.0,0.0197053419892,0.0197053419892,0.0197053419892,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516432943
 01/01  16:00:00,1.36986223654,0.875675571773,0.0,0.848036606702,0.0,0.0237012525508,0.0237012525508,0.0237012525508,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055854
 01/01  17:00:00,1.67844160116,0.818148687912,0.0,0.78545663633,0.0,0.0220166432424,0.0220166432424,0.0220166432424,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914887405
 01/01  18:00:00,2.28024586086,1.51767543044,0.0,1.47795981252,0.0,0.0415038311866,0.0415038311866,0.0415038311866,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680399085
 01/01  19:00:00,2.70273043861,1.068610455,0.0,1.02549128103,0.0,0.0285564328337,0.0285564328337,0.0285564328337,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127807029
