Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.885865906792,0.980032482961,0.0,0.952065104587,0.0,0.0242412612322,0.0242412612322,0.0242412612322,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803424307
 01/01  02:00:00,0.710224517964,1.4413387475,0.0,1.41558815892,0.0,0.0362594532681,0.0362594532681,0.0362594532681,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.098084410146
 01/01  03:00:00,0.662709914146,2.15253476245,0.0,2.12708273142,0.0,0.0547812205494,0.0547812205494,0.0547812205494,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.663995915635,2.55330026032,0.0,2.52820649835,0.0,0.0649531832909,0.0649531832909,0.0649531832909,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.720381361004,2.92677278996,0.0,2.90262694821,0.0,0.0742242960001,0.0742242960001,0.0742242960001,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137213277
 01/01  06:00:00,0.990461025591,3.0788265422,0.0,3.05188172343,0.0,0.0779147595541,0.0779147595541,0.0779147595541,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635096945
 01/01  07:00:00,1.60739609537,3.00313458141,0.0,2.97200249302,0.0,0.0756031692961,0.0756031692961,0.0756031692961,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252646
 01/01  08:00:00,2.04978861087,3.44322834467,0.0,3.41014816827,0.0,0.0864529035062,0.0864529035062,0.0864529035062,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255577
 01/01  09:00:00,1.97027639402,2.49957251154,0.0,2.47160513316,0.0,0.0621641618059,0.0621641618059,0.0621641618059,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.70097621097,1.49795100698,0.0,1.47414850641,0.0,0.0368709863494,0.0368709863494,0.0368709863494,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681501
 01/01  11:00:00,1.56638203247,0.391911470446,0.0,0.367549174472,0.0,0.00909142305026,0.00909142305026,0.00909142305026,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447634
 01/01  12:00:00,1.47984631106,0.0243697599126,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.547590150395
 01/01  13:00:00,1.38662472052,0.0239592432832,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.474280512086
 01/01  14:00:00,1.31519740207,0.0247877404808,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.429045601704
 01/01  15:00:00,1.27117890062,0.026183497021,0.0,0.0,0.0,0.0,0.0,0.0,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.386631432709
 01/01  16:00:00,1.34379156291,0.0276389650709,0.0,0.0,0.0,0.0,0.0,0.0,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.390958634775
 01/01  17:00:00,1.65399662068,0.0326920515826,0.0,0.0,0.0,0.0,0.0,0.0,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.445486550175
 01/01  18:00:00,2.23662181313,0.0397156179158,0.0,0.0,0.0,0.0,0.0,0.0,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.55456018254
 01/01  19:00:00,2.67206877972,0.043119173971,0.0,0.0,0.0,0.0,0.0,0.0,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.662022580974
 01/01  20:00:00,2.6566331215,0.0445074665725,0.0,0.0,0.0,0.0,0.0,0.0,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.684835003053
 01/01  21:00:00,2.44943886281,0.0460375740095,0.0,0.0,0.0,0.0,0.0,0.0,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.626886290632
 01/01  22:00:00,2.20700415019,0.0449627668342,0.0,0.0,0.0,0.0,0.0,0.0,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.549436484167
 01/01  23:00:00,1.76938861145,0.0389095125343,0.0,0.0,0.0,0.0,0.0,0.0,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431077657802
 01/01  24:00:00,1.32747241105,0.465091424991,0.0,0.431279782601,0.0,0.0108155739239,0.0108155739239,0.0108155739239,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875525149
 01/02  01:00:00,0.875696881315,1.24624435462,0.0,1.21827697625,0.0,0.0312100597596,0.0312100597596,0.0312100597596,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.14823928338
 01/02  02:00:00,0.71187833492,1.86890997729,0.0,1.84315938872,0.0,0.0474199883576,0.0474199883576,0.0474199883576,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.092524716088
 01/02  03:00:00,0.664574822371,2.49353233287,0.0,2.46808030185,0.0,0.0633362765789,0.0633362765789,0.0633362765789,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628361486
 01/02  04:00:00,0.667230192888,2.91990053681,0.0,2.89480677484,0.0,0.0739316197474,0.0739316197474,0.0739316197474,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817285003226
 01/02  05:00:00,0.716256522355,3.23624594341,0.0,3.21210010166,0.0,0.0817251082416,0.0817251082416,0.0817251082416,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182718003
 01/02  06:00:00,0.971486177079,3.52824531827,0.0,3.5013004995,0.0,0.0887972004537,0.0887972004537,0.0887972004537,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874500134
 01/02  07:00:00,1.5628776259,4.00783779255,0.0,3.97670570416,0.0,0.100788318512,0.100788318512,0.100788318512,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307146168
 01/02  08:00:00,1.95615711046,3.44175591907,0.0,3.40867574267,0.0,0.0859077596516,0.0859077596516,0.0859077596516,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.784337260938
 01/02  09:00:00,1.86922749117,2.78115443301,0.0,2.75318705463,0.0,0.068821323673,0.068821323673,0.068821323673,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.758037724399
 01/02  10:00:00,1.61280649899,2.52930464605,0.0,2.50550214548,0.0,0.0631248662929,0.0631248662929,0.0631248662929,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.678036148048
 01/02  11:00:00,1.50862983268,2.4548063686,0.0,2.43044407262,0.0,0.0618685179725,0.0618685179725,0.0618685179725,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.583345382217
 01/02  12:00:00,1.40143141032,0.932411564244,0.0,0.908041804331,0.0,0.022876150596,0.022876150596,0.022876150596,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.498787858582
 01/02  13:00:00,1.3047313459,0.31628055805,0.0,0.292321314766,0.0,0.00736028785436,0.00736028785436,0.00736028785436,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.432837355706
 01/02  14:00:00,1.24338797401,0.304474958586,0.0,0.279687218106,0.0,0.00710647810805,0.00710647810805,0.00710647810805,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.393717728053
 01/02  15:00:00,1.20224206979,0.104340314997,0.0,0.0781568179763,0.0,0.0019928740341,0.0019928740341,0.0019928740341,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.35482730002
 01/02  16:00:00,1.2754479136,0.0276389650709,0.0,0.0,0.0,0.0,0.0,0.0,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.359673958314
 01/02  17:00:00,1.57919464939,0.0326920515826,0.0,0.0,0.0,0.0,0.0,0.0,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.406602498128
 01/02  18:00:00,2.16007809497,0.278955732357,0.0,0.239240114441,0.0,0.00615350881808,0.00615350881808,0.00615350881808,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.507214885779
 01/02  19:00:00,2.57546579378,0.043119173971,0.0,0.0,0.0,0.0,0.0,0.0,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.599729910577
 01/02  20:00:00,2.55225927917,0.0445074665725,0.0,0.0,0.0,0.0,0.0,0.0,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.614705914912
 01/02  21:00:00,2.34832843015,0.0710785749266,0.0,0.025041000917,0.0,0.00064380420813,0.00064380420813,0.00064380420813,0.680252812296,0.146544515569,0.275874927963,0.668380946025,0.559987424084
 01/02  22:00:00,2.12783716984,0.539352602958,0.0,0.494389836124,0.0,0.0128163418529,0.0128163418529,0.0128163418529,0.571155699981,0.123042103946,0.258342283024,0.652776721604,0.493060019429
 01/02  23:00:00,1.72409314376,1.10851186818,0.0,1.06960235564,0.0,0.0278330742463,0.0278330742463,0.0278330742463,0.429971093908,0.0926271950982,0.205880856148,0.564894596568,0.386242327793
 01/02  24:00:00,1.31698290382,1.72764203352,0.0,1.69383039112,0.0,0.0439587264161,0.0439587264161,0.0439587264161,0.295204002519,0.0635947891276,0.135920781757,0.490882893238,0.270777710757
 01/03  01:00:00,0.90606597222,2.40294460688,0.0,2.37497722851,0.0,0.0613548706738,0.0613548706738,0.0613548706738,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148463563371
 01/03  02:00:00,0.734309385488,2.72874194479,0.0,2.70299135621,0.0,0.069738901463,0.069738901463,0.069738901463,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0926368535507
 01/03  03:00:00,0.681207393061,3.14571778495,0.0,3.12026575392,0.0,0.0798897984578,0.0798897984578,0.0798897984578,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0774418849604
 01/03  04:00:00,0.682147091044,3.49915747419,0.0,3.47406371222,0.0,0.0887602702914,0.0887602702914,0.0887602702914,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.081816747935
 01/03  05:00:00,0.729021714083,3.72476235825,0.0,3.7006165165,0.0,0.0943102826763,0.0943102826763,0.0943102826763,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126362735296
 01/03  06:00:00,0.979946271198,3.8310523879,0.0,3.80410756913,0.0,0.0966884047487,0.0966884047487,0.0966884047487,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.321443389958
 01/03  07:00:00,1.56649250594,4.09315265224,0.0,4.06202056385,0.0,0.10310398017,0.10310398017,0.10310398017,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.685606364554
 01/03  08:00:00,1.96259529318,3.6269561626,0.0,3.5938759862,0.0,0.0908285345446,0.0908285345446,0.0908285345446,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.785854668766
 01/03  09:00:00,1.88680643467,3.40062362871,0.0,3.37265625033,0.0,0.0849234418525,0.0849234418525,0.0849234418525,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.759514549719
 01/03  10:00:00,1.62273304073,2.87415302947,0.0,2.8503505289,0.0,0.071725078801,0.071725078801,0.071725078801,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.679362477275
 01/03  11:00:00,1.49104137764,1.74694847932,0.0,1.72258618334,0.0,0.0431412461204,0.0431412461204,0.0431412461204,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.584484199024
 01/03  12:00:00,1.39405730633,0.606782730007,0.0,0.582412970094,0.0,0.0145368982437,0.0145368982437,0.0145368982437,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.499753006939
 01/03  13:00:00,1.30362349892,0.240195296219,0.0,0.216236052936,0.0,0.00542284634863,0.00542284634863,0.00542284634863,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.433666950224
 01/03  14:00:00,1.23676080856,0.0247877404808,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.39419704071
 01/03  15:00:00,1.20032325049,0.026183497021,0.0,0.0,0.0,0.0,0.0,0.0,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.354901354755
 01/03  16:00:00,1.27561644109,0.0276389650709,0.0,0.0,0.0,0.0,0.0,0.0,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.359842485803
 01/03  17:00:00,1.57932331653,0.0326920515826,0.0,0.0,0.0,0.0,0.0,0.0,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.406731165266
 01/03  18:00:00,2.15430349402,0.0397156179158,0.0,0.0,0.0,0.0,0.0,0.0,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.507593793645
 01/03  19:00:00,2.57592436183,0.043119173971,0.0,0.0,0.0,0.0,0.0,0.0,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.600188478623
 01/03  20:00:00,2.55272145854,0.0445074665725,0.0,0.0,0.0,0.0,0.0,0.0,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.615168094278
