Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.940091577827,3.15838300582,0.0,3.13041562744,0.0,0.0784668910589,0.0784668910589,0.0784668910589,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.766563166672,3.7452299177,0.0,3.71947932913,0.0,0.0925981019756,0.0925981019756,0.0925981019756,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.71373234418,4.29854575863,0.0,4.2730937276,0.0,0.10580363895,0.10580363895,0.10580363895,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417571597
 01/01  04:00:00,0.716615787627,4.78975156253,0.0,4.76465780056,0.0,0.117573032011,0.117573032011,0.117573032011,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072786257
 01/01  05:00:00,0.768013295377,4.97772587404,0.0,4.95358003229,0.0,0.121856242614,0.121856242614,0.121856242614,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137201037
 01/01  06:00:00,1.03118198892,4.8615711625,0.0,4.83462634373,0.0,0.118635724833,0.118635724833,0.118635724833,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094998
 01/01  07:00:00,1.65071240503,4.89041534529,0.0,4.8592832569,0.0,0.118919479052,0.118919479052,0.118919479052,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252543
 01/01  08:00:00,2.06139216189,4.04995602016,0.0,4.01687584376,0.0,0.0980564545345,0.0980564545345,0.0980564545345,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,1.98442860889,3.1573264558,0.0,3.12935907742,0.0,0.0763163766801,0.0763163766801,0.0763163766801,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.71769538229,2.22127126657,0.0,2.197468766,0.0,0.0535901601381,0.0535901601381,0.0535901601381,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428679028
 01/01  11:00:00,1.60109155049,1.80413295766,0.0,1.77977066169,0.0,0.0438009437023,0.0438009437023,0.0438009437023,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958445004
