Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.899259731172,1.53301425318,0.0,1.50504687481,0.0,0.0376350444035,0.0376350444035,0.0376350444035,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.724361655052,2.04412085217,0.0,2.01837026359,0.0,0.0503965903555,0.0503965903555,0.0503965903555,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.665002719523,2.31969486753,0.0,2.2942428365,0.0,0.0570740259267,0.0570740259267,0.0570740259267,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.660831242606,2.51419466596,0.0,2.48910090399,0.0,0.0617885102614,0.0617885102614,0.0617885102614,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.710249234098,2.60809900382,0.0,2.58395316207,0.0,0.0640921936967,0.0640921936967,0.0640921936967,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,0.979710569104,2.7369233792,0.0,2.70997856043,0.0,0.0671643051039,0.0671643051039,0.0671643051039,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.61199730386,3.26177765569,0.0,3.2306455673,0.0,0.0802043778867,0.0802043778867,0.0802043778867,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.02276885115,2.44846411744,0.0,2.41538394104,0.0,0.059433131442,0.059433131442,0.059433131442,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262267926
 01/01  09:00:00,1.94932380847,1.71365338109,0.0,1.68568600271,0.0,0.0412115741694,0.0412115741694,0.0412115741694,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.83330649031
 01/01  10:00:00,1.70361873874,1.62510442613,0.0,1.60130192556,0.0,0.0395135140312,0.0395135140312,0.0395135140312,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681591
 01/01  11:00:00,1.57186318681,0.6185212833,0.0,0.594158987326,0.0,0.014572577169,0.014572577169,0.014572577169,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447855
 01/01  12:00:00,1.48014422065,0.0243697599126,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.547888059991
 01/01  13:00:00,1.38691796382,0.0239592432832,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.47457375539
 01/01  14:00:00,1.31536324472,0.0247877404808,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.429211444357
 01/01  15:00:00,1.27091528488,0.026183497021,0.0,0.0,0.0,0.0,0.0,0.0,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.386367816967
 01/01  16:00:00,1.34398772443,0.0276389650709,0.0,0.0,0.0,0.0,0.0,0.0,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.391154796287
 01/01  17:00:00,1.65430059783,0.0326920515826,0.0,0.0,0.0,0.0,0.0,0.0,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.445790527325
 01/01  18:00:00,2.23715484377,0.0397156179158,0.0,0.0,0.0,0.0,0.0,0.0,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.555093213187
 01/01  19:00:00,2.67278156177,0.043119173971,0.0,0.0,0.0,0.0,0.0,0.0,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.662735363027
 01/01  20:00:00,2.65739819225,0.0445074665725,0.0,0.0,0.0,0.0,0.0,0.0,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.685600073795
 01/01  21:00:00,2.45027048207,0.0460375740095,0.0,0.0,0.0,0.0,0.0,0.0,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.627717909889
 01/01  22:00:00,2.20779756203,0.0449627668342,0.0,0.0,0.0,0.0,0.0,0.0,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550229896002
 01/01  23:00:00,1.77758757639,0.362471208647,0.0,0.323561696113,0.0,0.00795763427127,0.00795763427127,0.00795763427127,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431318988472
 01/01  24:00:00,1.34259669546,1.07460315293,0.0,1.04079151054,0.0,0.0259396011824,0.0259396011824,0.0259396011824,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875782303
 01/02  01:00:00,0.890030132944,1.84801776095,0.0,1.82005038257,0.0,0.0455433211087,0.0455433211087,0.0455433211087,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.14823927366
 01/02  02:00:00,0.723104002978,2.37563536526,0.0,2.34988477669,0.0,0.0586456569681,0.0586456569681,0.0586456569681,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.092524715535
 01/02  03:00:00,0.667077973459,2.67234600011,0.0,2.64689396908,0.0,0.0658394345228,0.0658394345228,0.0658394345228,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628292926
 01/02  04:00:00,0.663156347744,2.85342162068,0.0,2.82832785872,0.0,0.069857776972,0.069857776972,0.069857776972,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284979536
 01/02  05:00:00,0.708216168591,3.00866477783,0.0,2.98451893607,0.0,0.0736847545215,0.0736847545215,0.0736847545215,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182717959
 01/02  06:00:00,0.958932215785,3.11392813122,0.0,3.08698331245,0.0,0.0762432391603,0.0762432391603,0.0762432391603,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874500133
