Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.933101705092,2.91305315165,0.0,2.88508577327,0.0,0.0714770163134,0.0714770163134,0.0714770163134,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803467527
 01/01  02:00:00,0.74997452863,3.09367165011,0.0,3.06792106154,0.0,0.0760094639063,0.0760094639063,0.0760094639063,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101737
 01/01  03:00:00,0.688164508251,3.25655504728,0.0,3.23110301626,0.0,0.0802358146544,0.0802358146544,0.0802358146544,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417455263
 01/01  04:00:00,0.674311695117,3.05613791623,0.0,3.03104415426,0.0,0.0752689584245,0.0752689584245,0.0752689584245,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072597026
 01/01  05:00:00,0.719683113463,2.98156634994,0.0,2.95742050819,0.0,0.0735260708013,0.0735260708013,0.0735260708013,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137190936
 01/01  06:00:00,0.98259726791,2.84075047148,0.0,2.81380565271,0.0,0.0700510039036,0.0700510039036,0.0700510039036,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094915
 01/01  07:00:00,1.59847376204,2.70795486565,0.0,2.67682277726,0.0,0.0666808360692,0.0666808360692,0.0666808360692,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.01458891546,2.09346348335,0.0,2.06038330695,0.0,0.0512532103585,0.0512532103585,0.0512532103585,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.85626225332
 01/01  09:00:00,1.95227937524,1.80441599569,0.0,1.77644861731,0.0,0.0441671489511,0.0441671489511,0.0441671489511,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306482293
 01/01  10:00:00,1.6955304915,1.28776435651,0.0,1.26396185594,0.0,0.0314252677313,0.0314252677313,0.0314252677313,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428680651
