Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.894378491168,1.33868372859,0.0,1.31071635021,0.0,0.0327538604715,0.0327538604715,0.0327538604715,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803409444
 01/01  02:00:00,0.716264487612,1.71161387854,0.0,1.68586328996,0.0,0.0422994229643,0.0422994229643,0.0422994229643,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844100979
 01/01  03:00:00,0.657660806459,2.01567525758,0.0,1.99022322655,0.0,0.0497321128639,0.0497321128639,0.0497321128639,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417455244
 01/01  04:00:00,0.653746600597,2.21968296514,0.0,2.19458920317,0.0,0.0547038682524,0.0547038682524,0.0547038682524,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.709470098809,2.56777268919,0.0,2.54362684744,0.0,0.0633130584086,0.0633130584086,0.0633130584086,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,0.977771788585,2.65111299167,0.0,2.6241681729,0.0,0.0652255181153,0.0652255181153,0.0652255181153,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635101378
 01/01  07:00:00,1.60724761933,3.07076488713,0.0,3.03963279874,0.0,0.0754546808178,0.0754546808178,0.0754546808178,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385265081
 01/01  08:00:00,2.02088543768,2.36861391153,0.0,2.33553373513,0.0,0.0575497258512,0.0575497258512,0.0575497258512,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262260047
 01/01  09:00:00,1.9504518001,1.75495580208,0.0,1.72698842371,0.0,0.0423395678626,0.0423395678626,0.0423395678626,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.83330648824
 01/01  10:00:00,1.69242363413,1.17825438983,0.0,1.15445188926,0.0,0.0283184085806,0.0283184085806,0.0283184085806,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428682428
 01/01  11:00:00,1.59155863406,1.40331752287,0.0,1.37895522689,0.0,0.0342680238363,0.0342680238363,0.0342680238363,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958448443
 01/01  12:00:00,1.4804549223,0.0243697599126,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548198761639
 01/01  13:00:00,1.38737376305,0.0239592432832,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475029554615
 01/01  14:00:00,1.31576211785,0.0247877404808,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.429610317491
 01/01  15:00:00,1.2713508123,0.026183497021,0.0,0.0,0.0,0.0,0.0,0.0,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.386803344383
 01/01  16:00:00,1.3444030273,0.0276389650709,0.0,0.0,0.0,0.0,0.0,0.0,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.391570099161
 01/01  17:00:00,1.65472178199,0.0326920515826,0.0,0.0,0.0,0.0,0.0,0.0,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.446211711485
 01/01  18:00:00,2.23771236225,0.0397156179158,0.0,0.0,0.0,0.0,0.0,0.0,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.555650731666
 01/01  19:00:00,2.67302009854,0.043119173971,0.0,0.0,0.0,0.0,0.0,0.0,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.662973899791
 01/01  20:00:00,2.65740869764,0.0445074665725,0.0,0.0,0.0,0.0,0.0,0.0,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.685610579192
 01/01  21:00:00,2.45008677256,0.0460375740095,0.0,0.0,0.0,0.0,0.0,0.0,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.627534200377
 01/01  22:00:00,2.20752731948,0.0449627668342,0.0,0.0,0.0,0.0,0.0,0.0,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.54995965346
