Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.969755323208,4.38402844424,0.0,4.35606106586,0.0,0.10813063644,0.10813063644,0.10813063644,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.791519653876,4.76300075452,0.0,4.73725016595,0.0,0.117554563863,0.117554563863,0.117554563863,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.098084435464
 01/01  03:00:00,0.730624792155,4.98391791554,0.0,4.95846588452,0.0,0.122696095533,0.122696095533,0.122696095533,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417485517
 01/01  04:00:00,0.725472569941,5.14936977984,0.0,5.12427601787,0.0,0.126429837375,0.126429837375,0.126429837375,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072555762
 01/01  05:00:00,0.775877420486,5.28779556862,0.0,5.26364972687,0.0,0.129720380069,0.129720380069,0.129720380069,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188691
 01/01  06:00:00,1.04019181697,5.20912080419,0.0,5.18217598542,0.0,0.127645552965,0.127645552965,0.127645552965,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094909
 01/01  07:00:00,1.65407020294,5.00367798565,0.0,4.97254589726,0.0,0.122277276962,0.122277276962,0.122277276962,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.09278345735,5.30424665001,0.0,5.27116647362,0.0,0.129447749991,0.129447749991,0.129447749991,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.01827135586,4.52175714258,0.0,4.4937897642,0.0,0.110159123653,0.110159123653,0.110159123653,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.76506131528,4.13941068292,0.0,4.11560818235,0.0,0.100956090485,0.100956090485,0.100956090485,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.67830339466,4.9062781182,0.0,4.88191582222,0.0,0.121012785139,0.121012785139,0.121012785139,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.56686754619,3.53445659816,0.0,3.51008683825,0.0,0.0863452175728,0.0863452175728,0.0863452175728,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.54826616795
 01/01  13:00:00,1.46418960155,3.10496277888,0.0,3.08100353559,0.0,0.0760952253577,0.0760952253577,0.0760952253577,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750167762
 01/01  14:00:00,1.38911414471,2.92830834215,0.0,2.90352060167,0.0,0.072034348338,0.072034348338,0.072034348338,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927996006
 01/01  15:00:00,1.33376276905,2.46839042224,0.0,2.44220692522,0.0,0.0606988675167,0.0606988675167,0.0606988675167,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433623
 01/01  16:00:00,1.40763769318,2.50186077315,0.0,2.47422180807,0.0,0.0614767090457,0.0614767090457,0.0614767090457,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.71867948653,2.52325434688,0.0,2.4905622953,0.0,0.0622545275288,0.0622545275288,0.0622545275288,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
 01/01  18:00:00,2.31931403374,3.25205125097,0.0,3.21233563305,0.0,0.080572003888,0.080572003888,0.080572003888,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680399269
 01/01  19:00:00,2.73297173015,2.41059026873,0.0,2.36747109476,0.0,0.0587977376736,0.0587977376736,0.0587977376736,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127793727
 01/01  20:00:00,2.72589418232,2.74598640234,0.0,2.70147893577,0.0,0.0671863962013,0.0671863962013,0.0671863962013,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909667663
 01/01  21:00:00,2.52122234307,2.87437777924,0.0,2.82834020523,0.0,0.0701710229577,0.0701710229577,0.0701710229577,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498747933
 01/01  22:00:00,2.27744954097,2.84667271283,0.0,2.80170994599,0.0,0.0694274630659,0.0694274630659,0.0694274630659,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454411881
 01/01  23:00:00,1.84606000009,3.13393119712,0.0,3.09502168458,0.0,0.0763784322011,0.0763784322011,0.0763784322011,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370614241
 01/01  24:00:00,1.40130232657,3.45380314131,0.0,3.41999149892,0.0,0.0846452090507,0.0846452090507,0.0846452090507,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875805545
