Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.03200924031,6.95719594438,0.0,6.92922856601,0.0,0.17038454198,0.17038454198,0.17038454198,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803477081
 01/01  02:00:00,0.853959847388,7.34624325549,0.0,7.32049266691,0.0,0.17999478083,0.17999478083,0.17999478083,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844120077
 01/01  03:00:00,0.800229290668,7.87521314412,0.0,7.84976111309,0.0,0.192300596889,0.192300596889,0.192300596889,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417457085
 01/01  04:00:00,0.799500966899,8.20800449535,0.0,8.18291073338,0.0,0.200458234536,0.200458234536,0.200458234536,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553733
 01/01  05:00:00,0.850889945071,8.39297514815,0.0,8.3688293064,0.0,0.204732904669,0.204732904669,0.204732904669,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188677
 01/01  06:00:00,1.1151798715,8.32480568984,0.0,8.29786087107,0.0,0.202633607502,0.202633607502,0.202633607502,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.7297963718,8.15027908556,0.0,8.11914699717,0.0,0.198003445826,0.198003445826,0.198003445826,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.15623805903,7.94305640328,0.0,7.90997622688,0.0,0.192902351672,0.192902351672,0.192902351672,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.08111411535,7.12192331504,0.0,7.09395593666,0.0,0.17300188314,0.17300188314,0.17300188314,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.81576264098,6.24252677824,0.0,6.21872427767,0.0,0.151657413772,0.151657413772,0.151657413772,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428684088
 01/01  11:00:00,1.71754563205,6.53547739445,0.0,6.51111509848,0.0,0.160255020325,0.160255020325,0.160255020325,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958449942
 01/01  12:00:00,1.59650796729,4.75273260818,0.0,4.72836284827,0.0,0.115985643127,0.115985643127,0.115985643127,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266163497
 01/01  13:00:00,1.47000601821,3.35156163577,0.0,3.32760239248,0.0,0.0819116430627,0.0819116430627,0.0819116430627,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750166717
 01/01  14:00:00,1.38266448113,2.66020175636,0.0,2.63541401588,0.0,0.0655846844545,0.0655846844545,0.0655846844545,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927996312
 01/01  15:00:00,1.33436005009,2.48397058998,0.0,2.45778709296,0.0,0.0612961485557,0.0612961485557,0.0612961485557,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433622
 01/01  16:00:00,1.41428253426,2.71693967288,0.0,2.68930070781,0.0,0.0681215501322,0.0681215501322,0.0681215501322,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.73696946064,3.21065735658,0.0,3.177965305,0.0,0.0805445013813,0.0805445013813,0.0805445013813,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888751
 01/01  18:00:00,2.36127086744,4.87519029939,0.0,4.83547468147,0.0,0.122528839487,0.122528839487,0.122528839487,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.55668039737
 01/01  19:00:00,2.77780781727,4.21168378356,0.0,4.16856460958,0.0,0.103633810932,0.103633810932,0.103633810932,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127807597
 01/01  20:00:00,2.77089624031,4.56725673292,0.0,4.52274926634,0.0,0.112188456042,0.112188456042,0.112188456042,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.68690966582
 01/01  21:00:00,2.57244072539,4.95144962117,0.0,4.90541204716,0.0,0.121389406398,0.121389406398,0.121389406398,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498746815
 01/01  22:00:00,2.34269936448,5.49666511423,0.0,5.4517023474,0.0,0.134677286596,0.134677286596,0.134677286596,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454411862
 01/01  23:00:00,1.91532340959,5.94872729353,0.0,5.909817781,0.0,0.145641850458,0.145641850458,0.145641850458,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370605483
 01/01  24:00:00,1.47520949821,6.47710174008,0.0,6.44329009769,0.0,0.158552385416,0.158552385416,0.158552385416,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875800816
 01/02  01:00:00,1.01289864934,6.88357225254,0.0,6.85560487417,0.0,0.168411836447,0.168411836447,0.168411836447,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239274717
 01/02  02:00:00,0.841327195156,7.23477227984,0.0,7.20902169127,0.0,0.176868850145,0.176868850145,0.176868850145,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0925247145366
 01/02  03:00:00,0.784562254427,7.50706900212,0.0,7.4816169711,0.0,0.183323715597,0.183323715597,0.183323715597,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628291869
 01/02  04:00:00,0.781704986923,7.72114928431,0.0,7.69605552235,0.0,0.188406416162,0.188406416162,0.188406416162,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284979431
 01/02  05:00:00,0.82202934287,7.69013507634,0.0,7.66598923459,0.0,0.187497928801,0.187497928801,0.187497928801,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182717958
 01/02  06:00:00,1.06924367552,7.65963667338,0.0,7.63269185461,0.0,0.1865546989,0.1865546989,0.1865546989,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874500133
 01/02  07:00:00,1.64607410167,7.55053321583,0.0,7.51940112744,0.0,0.183984794284,0.183984794284,0.183984794284,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307146168
 01/02  08:00:00,2.05340051544,7.5178703247,0.0,7.48479014831,0.0,0.183151219524,0.183151219524,0.183151219524,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.78433720605
 01/02  09:00:00,1.96365191057,6.71722541505,0.0,6.68925803668,0.0,0.163245752855,0.163245752855,0.163245752855,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.758037714612
 01/02  10:00:00,1.68781893857,5.68813355225,0.0,5.66433105168,0.0,0.138137302715,0.138137302715,0.138137302715,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.678036151204
 01/02  11:00:00,1.59010067981,5.84100564984,0.0,5.81664335387,0.0,0.143339360437,0.143339360437,0.143339360437,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.58334538688
 01/02  12:00:00,1.47624620015,4.00952375769,0.0,3.98515399778,0.0,0.0976909325452,0.0976909325452,0.0976909325452,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.498787866464
 01/02  13:00:00,1.36941092567,2.94862326097,0.0,2.92466401769,0.0,0.0720398643449,0.0720398643449,0.0720398643449,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.432837358979
 01/02  14:00:00,1.29431475175,2.35891426886,0.0,2.33412652838,0.0,0.0580332541382,0.0580332541382,0.0580332541382,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.393717729768
 01/02  15:00:00,1.25399668304,2.18414323299,0.0,2.15795973597,0.0,0.0537474872874,0.0537474872874,0.0537474872874,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.35482730002
 01/02  16:00:00,1.33437371671,2.35837511365,0.0,2.33073614858,0.0,0.058769800908,0.058769800908,0.058769800908,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.35982996052
 01/02  17:00:00,1.65154608956,2.88377630106,0.0,2.85108424948,0.0,0.0721648948652,0.0721648948652,0.0721648948652,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.406789043438
 01/02  18:00:00,2.27248354656,4.7091033223,0.0,4.66938770439,0.0,0.118519897954,0.118519897954,0.118519897954,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.507253948229
 01/02  19:00:00,2.6794293817,4.20529979026,0.0,4.16218061629,0.0,0.103714020683,0.103714020683,0.103714020683,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.599979477806
 01/02  20:00:00,2.66633179284,4.62528281611,0.0,4.58077534954,0.0,0.113717498611,0.113717498611,0.113717498611,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.615060929966
 01/02  21:00:00,2.47828222487,5.31423510853,0.0,5.26819753452,0.0,0.130538266844,0.130538266844,0.130538266844,0.680252812296,0.146544515569,0.275874927963,0.668380946025,0.560046756171
