Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.944450823981,3.13182195659,0.0,3.10385457821,0.0,0.0828261372133,0.0828261372133,0.0828261372133,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.764232413744,3.41300632113,0.0,3.38725573256,0.0,0.0902673490477,0.0902673490477,0.0902673490477,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.700262210586,3.48959258668,0.0,3.46414055565,0.0,0.0923335169892,0.0923335169892,0.0923335169892,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.696124839078,3.67036970803,0.0,3.64527594606,0.0,0.0970821067335,0.0970821067335,0.0970821067335,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.748378417482,3.85550039969,0.0,3.83135455794,0.0,0.102221377082,0.102221377082,0.102221377082,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,1.01456448757,3.85068236299,0.0,3.82373754422,0.0,0.102018223573,0.102018223573,0.102018223573,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.62467227204,3.52154873211,0.0,3.49041664372,0.0,0.0928793460664,0.0928793460664,0.0928793460664,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.04819075538,3.23393514188,0.0,3.20085496548,0.0,0.0848550480227,0.0848550480227,0.0848550480227,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,1.98271184781,2.84041985123,0.0,2.81245247286,0.0,0.0745996156032,0.0745996156032,0.0745996156032,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.71800797401,2.057030897,0.0,2.03322839643,0.0,0.0539027499406,0.0539027499406,0.0539027499406,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428680948
 01/01  11:00:00,1.61849704712,2.3047956784,0.0,2.28043338243,0.0,0.0612064386943,0.0612064386943,0.0612064386943,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958446644
 01/01  12:00:00,1.52299599118,1.60135514186,0.0,1.57698538195,0.0,0.042473670874,0.042473670874,0.042473670874,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.54826615964
 01/01  13:00:00,1.42532702501,1.39930316804,0.0,1.37534392476,0.0,0.0372326509709,0.0372326509709,0.0372326509709,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.47575016561
 01/01  14:00:00,1.34794502206,1.15994207281,0.0,1.13515433233,0.0,0.030865227331,0.030865227331,0.030865227331,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927994364
 01/01  15:00:00,1.30135923679,1.06584289864,0.0,1.03965940162,0.0,0.0282953352533,0.0282953352533,0.0282953352533,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433622
 01/01  16:00:00,1.36421419135,0.688734598249,0.0,0.661095633178,0.0,0.0180532072182,0.0180532072182,0.0180532072182,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.67381198996,0.669060711484,0.0,0.636368659901,0.0,0.0173870309492,0.0173870309492,0.0173870309492,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
 01/01  18:00:00,2.27564392746,1.38524322929,0.0,1.34552761137,0.0,0.0369018976074,0.0369018976074,0.0369018976074,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680399269
 01/01  19:00:00,2.69869116293,0.944098931886,0.0,0.900979757915,0.0,0.0245171553126,0.0245171553126,0.0245171553126,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127808877
 01/01  20:00:00,2.68439421974,0.992564201615,0.0,0.948056735042,0.0,0.0256864322057,0.0256864322057,0.0256864322057,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909669083
 01/01  21:00:00,2.48673140993,1.3640654783,0.0,1.31802790429,0.0,0.0356800904944,0.0356800904944,0.0356800904944,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498747254
 01/01  22:00:00,2.25644528659,1.83817994979,0.0,1.79321718295,0.0,0.0484232087107,0.0484232087107,0.0484232087107,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454411854
 01/01  23:00:00,1.83323381707,2.40105037773,0.0,2.36214086519,0.0,0.0635522491849,0.0635522491849,0.0635522491849,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370614236
 01/01  24:00:00,1.39357319058,2.90141581078,0.0,2.86760416839,0.0,0.0769160730541,0.0769160730541,0.0769160730541,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875805545
 01/02  01:00:00,0.940952944499,3.63437888998,0.0,3.6064115116,0.0,0.0964661247291,0.0964661247291,0.0964661247291,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239281594
 01/02  02:00:00,0.768122329088,3.90189581346,0.0,3.87614522489,0.0,0.103663982981,0.103663982981,0.103663982981,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.092524715632
 01/02  03:00:00,0.713178709207,4.23532104496,0.0,4.20986901393,0.0,0.111940170271,0.111940170271,0.111940170271,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628292928
 01/02  04:00:00,0.71423592071,4.57729596705,0.0,4.55220220509,0.0,0.120937349939,0.120937349939,0.120937349939,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284979536
 01/02  05:00:00,0.754018119987,4.5229792359,0.0,4.49883339415,0.0,0.119486705917,0.119486705917,0.119486705917,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182717959
 01/02  06:00:00,1.00317668985,4.58365936321,0.0,4.55671454444,0.0,0.120487713227,0.120487713227,0.120487713227,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874500133
 01/02  07:00:00,1.57810597606,4.41599030191,0.0,4.38485821351,0.0,0.116016668682,0.116016668682,0.116016668682,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307146168
 01/02  08:00:00,1.98589970699,4.40957169769,0.0,4.3764915213,0.0,0.115650411079,0.115650411079,0.115650411079,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.78433720605
 01/02  09:00:00,1.91126896652,4.22810621532,0.0,4.20013883695,0.0,0.110862808805,0.110862808805,0.110862808805,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.758037714612
 01/02  10:00:00,1.65281371916,3.93069378173,0.0,3.90689128116,0.0,0.103132083306,0.103132083306,0.103132083306,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.678036151204
 01/02  11:00:00,1.55218041439,3.99102110741,0.0,3.96665881143,0.0,0.105419096404,0.105419096404,0.105419096404,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.583345385488
 01/02  12:00:00,1.43790962091,2.27270304619,0.0,2.24833328628,0.0,0.0593543575593,0.0593543575593,0.0593543575593,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.498787862209
 01/02  13:00:00,1.34584508064,1.8381955091,0.0,1.81423626582,0.0,0.0484740221769,0.0484740221769,0.0484740221769,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.432837356125
 01/02  14:00:00,1.27750023205,1.55112389023,0.0,1.52633614975,0.0,0.0412187360646,0.0412187360646,0.0412187360646,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.39371772814
 01/02  15:00:00,1.23374137728,1.26045976329,0.0,1.23427626627,0.0,0.0334921815236,0.0334921815236,0.0334921815236,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.354827300021
 01/02  16:00:00,1.3000758935,0.926456641441,0.0,0.89881767637,0.0,0.0244719763932,0.0244719763932,0.0244719763932,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.35982996182
 01/02  17:00:00,1.60471171067,0.959771514752,0.0,0.927079463169,0.0,0.0253305157054,0.0253305157054,0.0253305157054,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.406789043705
 01/02  18:00:00,2.19222643997,1.43740261684,0.0,1.39768699893,0.0,0.0382627915708,0.0382627915708,0.0382627915708,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.507253948031
 01/02  19:00:00,2.59374308113,0.707234639098,0.0,0.664115465127,0.0,0.0180277254192,0.0180277254192,0.0180277254192,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.5999794725
 01/02  20:00:00,2.569515257,0.668811382658,0.0,0.624303916085,0.0,0.0169009655098,0.0169009655098,0.0169009655098,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.615060927228
 01/02  21:00:00,2.36834856419,0.806400500016,0.0,0.760362926006,0.0,0.0206046071813,0.0206046071813,0.0206046071813,0.680252812296,0.146544515569,0.275874927963,0.668380946025,0.560046755158
 01/02  22:00:00,2.14363157596,1.09929292815,0.0,1.05433016131,0.0,0.0286107088362,0.0286107088362,0.0286107088362,0.571155699981,0.123042103946,0.258342283024,0.652776721604,0.493060058565
 01/02  23:00:00,1.73362725229,1.416538564,0.0,1.37762905146,0.0,0.0373671827434,0.0373671827434,0.0373671827434,0.429971093908,0.0926271950982,0.205880856148,0.564894596568,0.386242327824
 01/02  24:00:00,1.3226363875,1.86477516318,0.0,1.83096352079,0.0,0.0496122121686,0.0496122121686,0.0496122121686,0.295204002519,0.0635947891276,0.135920781757,0.490882893238,0.270777708687
 01/03  01:00:00,0.904961648486,2.25518793383,0.0,2.22722055546,0.0,0.060250548013,0.060250548013,0.060250548013,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148463562298
 01/03  02:00:00,0.732284007984,2.5325414627,0.0,2.50679087413,0.0,0.0677135239614,0.0677135239614,0.0677135239614,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0926368535484
 01/03  03:00:00,0.677873512651,2.8681118124,0.0,2.84265978138,0.0,0.0765559180475,0.0765559180475,0.0765559180475,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0774418849604
 01/03  04:00:00,0.673679852526,3.01175829507,0.0,2.98666453311,0.0,0.0802930294996,0.0802930294996,0.0802930294996,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0818167502084
 01/03  05:00:00,0.718753889135,3.15645285105,0.0,3.1323070093,0.0,0.0840424833124,0.0840424833124,0.0840424833124,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126362709712
 01/03  06:00:00,0.967765946874,3.18354818217,0.0,3.1566033634,0.0,0.0845081158714,0.0845081158714,0.0845081158714,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.321443354511
 01/03  07:00:00,1.55688047116,3.52485719257,0.0,3.49372510418,0.0,0.0934919660061,0.0934919660061,0.0934919660061,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.685606343943
 01/03  08:00:00,1.95428922169,3.12823696786,0.0,3.09515679146,0.0,0.0825224977078,0.0825224977078,0.0825224977078,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.785854634118
 01/03  09:00:00,1.88163834747,3.03081818844,0.0,3.00285081007,0.0,0.0797553637964,0.0797553637964,0.0797553637964,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.759514540578
 01/03  10:00:00,1.61863019819,2.57332882556,0.0,2.54952632499,0.0,0.0676222363164,0.0676222363164,0.0676222363164,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.679362477222
 01/03  11:00:00,1.51141401392,2.40332993229,0.0,2.37896763632,0.0,0.0635138813379,0.0635138813379,0.0635138813379,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.584484200087
 01/03  12:00:00,1.4098362037,1.16300768987,0.0,1.13863792996,0.0,0.0303157952915,0.0303157952915,0.0303157952915,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.499753007265
 01/03  13:00:00,1.32563444623,1.04343658381,0.0,1.01947734053,0.0,0.0274337948323,0.0274337948323,0.0274337948323,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.433666949055
 01/03  14:00:00,1.25580716918,0.717930441452,0.0,0.693142700971,0.0,0.0187820284231,0.0187820284231,0.0187820284231,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.394461372907
 01/03  15:00:00,1.20812205151,0.291653874925,0.0,0.265470377904,0.0,0.00721029567919,0.00721029567919,0.00721029567919,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.355489860093
 01/03  16:00:00,1.27693661517,0.0520376295893,0.0,0.0243986645184,0.0,0.000662794081942,0.000662794081942,0.000662794081942,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.360499865804
 01/03  17:00:00,1.58396531655,0.173044470732,0.0,0.140352419149,0.0,0.00381961162434,0.00381961162434,0.00381961162434,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.407553553665
 01/03  18:00:00,2.16700343038,0.481739622817,0.0,0.442024004901,0.0,0.0120805377142,0.0120805377142,0.0120805377142,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.508213192292
 01/03  19:00:00,2.57771175297,0.0748709691358,0.0,0.0317517951648,0.0,0.000864537811174,0.000864537811174,0.000864537811174,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.601111331957
