Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.05886363932,8.09280887136,0.0,8.06484149299,0.0,0.197238952553,0.197238952553,0.197238952553,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.890140478529,8.88256798917,0.0,8.8568174006,0.0,0.216175413833,0.216175413833,0.216175413833,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.834613253317,9.32067037776,0.0,9.29521834673,0.0,0.226684559721,0.226684559721,0.226684559721,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.833625773368,9.64419029909,0.0,9.61909653713,0.0,0.234583049272,0.234583049272,0.234583049272,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072471058
 01/01  05:00:00,0.884032429941,9.77824512289,0.0,9.75409928114,0.0,0.237875391254,0.237875391254,0.237875391254,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137186961
 01/01  06:00:00,1.15205446048,9.84799741623,0.0,9.82105259746,0.0,0.239508196688,0.239508196688,0.239508196688,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.3466350947
 01/01  07:00:00,1.7691862908,9.76546583885,0.0,9.73433375046,0.0,0.237393364855,0.237393364855,0.237393364855,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252516
 01/01  08:00:00,2.21950105885,10.5371607276,0.0,10.5040805512,0.0,0.256165351497,0.256165351497,0.256165351497,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255569
 01/01  09:00:00,2.11816993932,8.64140031546,0.0,8.61343293708,0.0,0.210057707113,0.210057707113,0.210057707113,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.83190309846,6.90436769534,0.0,6.88056519477,0.0,0.167797875598,0.167797875598,0.167797875598,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428679738
 01/01  11:00:00,1.72740944331,6.99073673672,0.0,6.96637444075,0.0,0.170118835339,0.170118835339,0.170118835339,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958446183
 01/01  12:00:00,1.60206269882,5.00681793779,0.0,4.98244817787,0.0,0.12154037424,0.12154037424,0.12154037424,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.54826616392
 01/01  13:00:00,1.47713769833,3.67408366976,0.0,3.65012442648,0.0,0.0890433220983,0.0890433220983,0.0890433220983,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750167802
 01/01  14:00:00,1.40298995467,3.51759965312,0.0,3.49281191264,0.0,0.0859101570214,0.0859101570214,0.0859101570214,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927997289
