Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.00008992512,5.61771659332,0.0,5.58974921495,0.0,0.138465237721,0.138465237721,0.138465237721,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803466146
 01/01  02:00:00,0.820766477,5.9639718829,0.0,5.93822129432,0.0,0.146801412294,0.146801412294,0.146801412294,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101568
 01/01  03:00:00,0.762023650651,6.27049518961,0.0,6.24504315858,0.0,0.154094957054,0.154094957054,0.154094957054,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417455263
 01/01  04:00:00,0.754170171341,6.31787619663,0.0,6.29278243466,0.0,0.155127438996,0.155127438996,0.155127438996,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.802414552796,6.38080452375,0.0,6.356658682,0.0,0.156257512395,0.156257512395,0.156257512395,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,1.06886318627,6.38660811287,0.0,6.3596632941,0.0,0.156316922268,0.156316922268,0.156316922268,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.68328144799,6.1959302499,0.0,6.16479816151,0.0,0.151488522019,0.151488522019,0.151488522019,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.12451138941,6.60033986018,0.0,6.56725968378,0.0,0.161175682051,0.161175682051,0.161175682051,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.05592950723,6.04779906097,0.0,6.01983168259,0.0,0.147817275021,0.147817275021,0.147817275021,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.80777352398,5.86903630257,0.0,5.845233802,0.0,0.143668299189,0.143668299189,0.143668299189,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
