Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.953796877212,3.55285683702,0.0,3.52488945864,0.0,0.0921721904441,0.0921721904441,0.0921721904441,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.78413704316,4.2708156174,0.0,4.24506502883,0.0,0.110171968439,0.110171968439,0.110171968439,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844201713
 01/01  03:00:00,0.733133071374,4.88182206959,0.0,4.85637003856,0.0,0.125204363776,0.125204363776,0.125204363776,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441759528
 01/01  04:00:00,0.729580285197,5.11764392157,0.0,5.0925501596,0.0,0.130537547911,0.130537547911,0.130537547911,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072602961
 01/01  05:00:00,0.786506995537,5.51520772222,0.0,5.49106188046,0.0,0.140349954989,0.140349954989,0.140349954989,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188822
 01/01  06:00:00,1.05284406826,5.51912528812,0.0,5.49218046935,0.0,0.140297804255,0.140297804255,0.140297804255,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094909
 01/01  07:00:00,1.67628538313,5.70694893107,0.0,5.67581684268,0.0,0.144492457152,0.144492457152,0.144492457152,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.09347104857,5.15230667263,0.0,5.11922649624,0.0,0.13013530952,0.13013530952,0.13013530952,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262287262
 01/01  09:00:00,2.03140090274,4.88052354274,0.0,4.85255616436,0.0,0.123288661698,0.123288661698,0.123288661698,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.83330649705
 01/01  10:00:00,1.78110263349,4.613202922,0.0,4.58940042143,0.0,0.116997408627,0.116997408627,0.116997408627,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681746
 01/01  11:00:00,1.69038500557,5.19638886237,0.0,5.1720265664,0.0,0.133094390222,0.133094390222,0.133094390222,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958453561
 01/01  12:00:00,1.58352458394,4.04101613078,0.0,4.01664637086,0.0,0.103002249445,0.103002249445,0.103002249445,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266173837
 01/01  13:00:00,1.46985469399,3.20119277277,0.0,3.17723352949,0.0,0.0817603144622,0.0817603144622,0.0817603144622,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.47575017109
 01/01  14:00:00,1.38806613184,2.76141441831,0.0,2.73662667783,0.0,0.0709863333768,0.0709863333768,0.0709863333768,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927998101
 01/01  15:00:00,1.31785242259,1.75088260055,0.0,1.72469910353,0.0,0.0447885204151,0.0447885204151,0.0447885204151,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516434262
 01/01  16:00:00,1.37908397431,1.28838330082,0.0,1.26074433575,0.0,0.0329229909799,0.0329229909799,0.0329229909799,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055195
 01/01  17:00:00,1.68872240224,1.26181929082,0.0,1.22912723924,0.0,0.032297443506,0.032297443506,0.032297443506,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888227
 01/01  18:00:00,2.28347011044,1.73151556334,0.0,1.69179994543,0.0,0.0447280805839,0.0447280805839,0.0447280805839,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680399268
 01/01  19:00:00,2.69977633706,1.02019338146,0.0,0.977074207487,0.0,0.0256023364338,0.0256023364338,0.0256023364338,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127801882
 01/01  20:00:00,2.68368401465,0.999285451552,0.0,0.95477798498,0.0,0.0249762276694,0.0249762276694,0.0249762276694,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909668531
 01/01  21:00:00,2.48015231303,1.15760354958,0.0,1.11156597557,0.0,0.0291009929063,0.0291009929063,0.0291009929063,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498747941
 01/01  22:00:00,2.24755971273,1.55290342443,0.0,1.50794065759,0.0,0.0395376348236,0.0395376348236,0.0395376348236,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454411881
 01/01  23:00:00,1.81892644502,1.91948976842,0.0,1.88058025588,0.0,0.0492448771279,0.0492448771279,0.0492448771279,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370614241
 01/01  24:00:00,1.38043452722,2.47326592807,0.0,2.43945428568,0.0,0.0637774096983,0.0637774096983,0.0637774096983,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875805545
 01/02  01:00:00,0.92210872933,3.00467682147,0.0,2.9767094431,0.0,0.077621919808,0.077621919808,0.077621919808,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239271347
 01/02  02:00:00,0.748867939041,3.27322343772,0.0,3.24747284914,0.0,0.0844095982858,0.0844095982858,0.0844095982858,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0925247102805
 01/02  03:00:00,0.691485079882,3.50689655865,0.0,3.48144452762,0.0,0.0902465409658,0.0902465409658,0.0902465409658,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628292726
 01/02  04:00:00,0.693013169813,3.87714360353,0.0,3.85204984157,0.0,0.0997145990421,0.0997145990421,0.0997145990421,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284979532
 01/02  05:00:00,0.733274744938,3.83816867795,0.0,3.8140228362,0.0,0.0987433308679,0.0987433308679,0.0987433308679,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182717959
 01/02  06:00:00,0.979319411285,3.77719853471,0.0,3.75025371594,0.0,0.0966304346602,0.0966304346602,0.0966304346602,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874500133
 01/02  07:00:00,1.5710548299,4.25258125659,0.0,4.2214491682,0.0,0.108965522515,0.108965522515,0.108965522515,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307146168
 01/02  08:00:00,1.966363515,3.7684466794,0.0,3.735366503,0.0,0.0961142190832,0.0961142190832,0.0961142190832,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.78433720605
 01/02  09:00:00,1.8815548035,3.20122272344,0.0,3.17325534507,0.0,0.0811486457911,0.0811486457911,0.0811486457911,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.758037714612
 01/02  10:00:00,1.61832704418,2.70198882529,0.0,2.67818632472,0.0,0.0686454083237,0.0686454083237,0.0686454083237,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.678036151204
 01/02  11:00:00,1.50063081309,2.11627579359,0.0,2.09191349762,0.0,0.053869504546,0.053869504546,0.053869504546,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.58334537605
 01/02  12:00:00,1.39518408098,0.674479968389,0.0,0.650110208476,0.0,0.0166288266699,0.0166288266699,0.0166288266699,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.498787853166
 01/02  13:00:00,1.29725584354,0.0239592432832,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.432722141197
 01/02  14:00:00,1.23562782585,0.0247877404808,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.393064057998
 01/02  15:00:00,1.1991244513,0.026183497021,0.0,0.0,0.0,0.0,0.0,0.0,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.353702555566
 01/02  16:00:00,1.27446865395,0.0276389650709,0.0,0.0,0.0,0.0,0.0,0.0,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.358694698668
 01/02  17:00:00,1.5783415488,0.0326920515826,0.0,0.0,0.0,0.0,0.0,0.0,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.405749397539
 01/02  18:00:00,2.15331023625,0.0397156179158,0.0,0.0,0.0,0.0,0.0,0.0,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.506600535877
 01/02  19:00:00,2.57500715633,0.043119173971,0.0,0.0,0.0,0.0,0.0,0.0,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.599271273124
 01/02  20:00:00,2.55190034467,0.0445074665725,0.0,0.0,0.0,0.0,0.0,0.0,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.614346980417
 01/02  21:00:00,2.3473569683,0.0460375740095,0.0,0.0,0.0,0.0,0.0,0.0,0.680252812296,0.146544515569,0.275874927963,0.668380946025,0.559659766445
 01/02  22:00:00,2.11482029447,0.0449627668342,0.0,0.0,0.0,0.0,0.0,0.0,0.571155699981,0.123042103946,0.258342283024,0.652776721604,0.492859485917
