Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.010396613,6.03097136335,0.0,6.00300398498,0.0,0.148771926229,0.148771926229,0.148771926229,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.830910039222,6.34931415572,0.0,6.32356356714,0.0,0.156944974525,0.156944974525,0.156944974525,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.772783139062,6.67524297915,0.0,6.64979094812,0.0,0.164854445465,0.164854445465,0.164854445465,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.767263051788,6.81355519046,0.0,6.78846142849,0.0,0.168220319444,0.168220319444,0.168220319444,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.816269158887,6.90089854511,0.0,6.87675270336,0.0,0.170112118486,0.170112118486,0.170112118486,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,1.08176967783,6.87413814546,0.0,6.84719332669,0.0,0.169223413831,0.169223413831,0.169223413831,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.69710890945,6.72708191817,0.0,6.69594982978,0.0,0.165315983478,0.165315983478,0.165315983478,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.14287715089,7.31293815169,0.0,7.27985797529,0.0,0.17954144353,0.17954144353,0.17954144353,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.07478444115,6.75930708855,0.0,6.73133971018,0.0,0.166672208941,0.166672208941,0.166672208941,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.83051648021,6.78156682918,0.0,6.75776432861,0.0,0.166411255414,0.166411255414,0.166411255414,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.75592364903,8.02923705064,0.0,8.00487475466,0.0,0.19863303951,0.19863303951,0.19863303951,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.64956054485,6.87647602172,0.0,6.8521062618,0.0,0.169038225864,0.169038225864,0.169038225864,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266158326
 01/01  13:00:00,1.54635224006,6.43593502194,0.0,6.41197577865,0.0,0.158257866346,0.158257866346,0.158257866346,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165276
 01/01  14:00:00,1.47217154816,6.2974475941,0.0,6.27265985361,0.0,0.155091751833,0.155091751833,0.155091751833,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995965
 01/01  15:00:00,1.42626130583,6.19780559783,0.0,6.17162210081,0.0,0.1531974043,0.1531974043,0.1531974043,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433622
 01/01  16:00:00,1.49813040093,6.14566208462,0.0,6.11802311955,0.0,0.151969416798,0.151969416798,0.151969416798,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.80892440742,6.16904142504,0.0,6.13634937346,0.0,0.152499448412,0.152499448412,0.152499448412,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
 01/01  18:00:00,2.41962638399,7.29715706408,0.0,7.25744144616,0.0,0.180884368619,0.180884368619,0.180884368619,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.55668038478
 01/01  19:00:00,2.85111889416,7.13222602662,0.0,7.08910685265,0.0,0.176944887414,0.176944887414,0.176944887414,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127807999
 01/01  20:00:00,2.80018142333,5.76108726272,0.0,5.71657979615,0.0,0.141473634768,0.141473634768,0.141473634768,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909670112
 01/01  21:00:00,2.58599645129,5.55482302581,0.0,5.5087854518,0.0,0.13494513116,0.13494513116,0.13494513116,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498747945
 01/01  22:00:00,2.34114446276,5.44295748701,0.0,5.39799472017,0.0,0.133122384852,0.133122384852,0.133122384852,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454411881
 01/01  23:00:00,1.90660579073,5.57831676789,0.0,5.53940725536,0.0,0.13692422284,0.13692422284,0.13692422284,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370614241
 01/01  24:00:00,1.45967208092,5.8083138006,0.0,5.77450215821,0.0,0.143014963402,0.143014963402,0.143014963402,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875805545
 01/02  01:00:00,0.993716082267,6.04941865649,0.0,6.02145127812,0.0,0.149229262497,0.149229262497,0.149229262497,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239281594
 01/02  02:00:00,0.817905788765,6.21456344687,0.0,6.18881285829,0.0,0.153447442659,0.153447442659,0.153447442659,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.092524715632
 01/02  03:00:00,0.75470537915,6.21890172487,0.0,6.19344969384,0.0,0.153466840214,0.153466840214,0.153466840214,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628292928
 01/02  04:00:00,0.74686609486,6.22584810865,0.0,6.20075434668,0.0,0.153567524089,0.153567524089,0.153567524089,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284979536
 01/02  05:00:00,0.787758995479,6.20676982695,0.0,6.1826239852,0.0,0.153227581409,0.153227581409,0.153227581409,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182717959
 01/02  06:00:00,1.0340238752,6.13231808664,0.0,6.10537326787,0.0,0.151334898576,0.151334898576,0.151334898576,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874500133
 01/02  07:00:00,1.60763697871,5.90486387987,0.0,5.87373179148,0.0,0.14554767133,0.14554767133,0.14554767133,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307146168
 01/02  08:00:00,2.02429660935,6.25665400126,0.0,6.22357382487,0.0,0.154047313434,0.154047313434,0.154047313434,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.78433720605
 01/02  09:00:00,1.93971839393,5.65023849923,0.0,5.62227112086,0.0,0.139312236213,0.139312236213,0.139312236213,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.758037714612
 01/02  10:00:00,1.68606423888,5.52665258736,0.0,5.50285008679,0.0,0.136382603022,0.136382603022,0.136382603022,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.678036151204
 01/02  11:00:00,1.60637110603,6.41290494165,0.0,6.38854264568,0.0,0.159609789578,0.159609789578,0.159609789578,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.583345383957
 01/02  12:00:00,1.50149252627,4.98447958612,0.0,4.9601098262,0.0,0.12293726582,0.12293726582,0.12293726582,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.498787859307
 01/02  13:00:00,1.40340731448,4.28159221314,0.0,4.25763296986,0.0,0.106036267555,0.106036267555,0.106036267555,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.43283734458
 01/02  14:00:00,1.33021257165,3.77184951191,0.0,3.74706177143,0.0,0.0939310905174,0.0939310905174,0.0939310905174,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.393717713287
 01/02  15:00:00,1.28599004132,3.42903605519,0.0,3.40285255817,0.0,0.0857408494091,0.0857408494091,0.0857408494091,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.354827296179
 01/02  16:00:00,1.35348829329,3.11010410186,0.0,3.08246513679,0.0,0.0778843775547,0.0778843775547,0.0778843775547,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.359829960452
 01/02  17:00:00,1.65376531771,2.96853596361,0.0,2.93584391203,0.0,0.0743841630884,0.0743841630884,0.0743841630884,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.406789003363
 01/02  18:00:00,2.23650300306,3.28974969371,0.0,3.2500340758,0.0,0.0825393690957,0.0825393690957,0.0825393690957,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.507253933589
 01/02  19:00:00,2.63654125208,2.45366618962,0.0,2.41054701565,0.0,0.060825896518,0.060825896518,0.060825896518,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.59997947236
 01/02  20:00:00,2.60859297988,2.26696213269,0.0,2.22245466612,0.0,0.0559786871039,0.0559786871039,0.0559786871039,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.615060928515
 01/02  21:00:00,2.40734058741,2.40854968073,0.0,2.36251210672,0.0,0.0595966581377,0.0595966581377,0.0595966581377,0.680252812296,0.146544515569,0.275874927963,0.668380946025,0.560046727421
 01/02  22:00:00,2.17856873918,2.56364459868,0.0,2.51868183184,0.0,0.0635478866539,0.0635478866539,0.0635478866539,0.571155699981,0.123042103946,0.258342283024,0.652776721604,0.49306004397
 01/02  23:00:00,1.76332397111,2.69823728416,0.0,2.65932777162,0.0,0.0670639015958,0.0670639015958,0.0670639015958,0.429971093908,0.0926271950982,0.205880856148,0.564894596568,0.386242327788
 01/02  24:00:00,1.34579494079,2.92286385372,0.0,2.88905221133,0.0,0.0727707633897,0.0727707633897,0.0727707633897,0.295204002519,0.0635947891276,0.135920781757,0.490882893238,0.270777710762
 01/03  01:00:00,0.924261906844,3.18316729042,0.0,3.15519991205,0.0,0.0795508052975,0.0795508052975,0.0795508052975,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148463563371
 01/03  02:00:00,0.747671631697,3.32086216467,0.0,3.2951115761,0.0,0.083101147672,0.083101147672,0.083101147672,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0926368535507
