Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.932907508036,2.85129972528,0.0,2.8233323469,0.0,0.0712828205119,0.0712828205119,0.0712828205119,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803466272
 01/01  02:00:00,0.750907344521,3.06865634846,0.0,3.04290575988,0.0,0.0769422798193,0.0769422798193,0.0769422798193,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101524
 01/01  03:00:00,0.68789678248,3.18131956724,0.0,3.15586753622,0.0,0.0799680872715,0.0799680872715,0.0799680872715,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417471381
 01/01  04:00:00,0.679603892292,3.20132846456,0.0,3.17623470259,0.0,0.0805611584515,0.0805611584515,0.0805611584515,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072568502
 01/01  05:00:00,0.728804221846,3.28156225407,0.0,3.25741641232,0.0,0.0826471814391,0.0826471814391,0.0826471814391,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188681
 01/01  06:00:00,0.99619983301,3.32037842497,0.0,3.2934336062,0.0,0.0836535690101,0.0836535690101,0.0836535690101,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.62047725554,3.52512453019,0.0,3.4939924418,0.0,0.0886843314054,0.0886843314054,0.0886843314054,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385250701
 01/01  08:00:00,2.03674961152,2.93827867961,0.0,2.90519850321,0.0,0.0734139051159,0.0734139051159,0.0734139051159,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262254614
 01/01  09:00:00,1.97588093998,2.71478962055,0.0,2.68682224218,0.0,0.0677687077811,0.0677687077811,0.0677687077811,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488211
 01/01  10:00:00,1.72760748181,2.53109830779,0.0,2.50729580722,0.0,0.0635022570096,0.0635022570096,0.0635022570096,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.6224505768,2.58022408452,0.0,2.55586178854,0.0,0.0651599699092,0.0651599699092,0.0651599699092,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958445108
 01/01  12:00:00,1.5208526183,1.60895821954,0.0,1.58458845963,0.0,0.0403303025174,0.0403303025174,0.0403303025174,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266155124
 01/01  13:00:00,1.414102201,1.04143263074,0.0,1.01747338746,0.0,0.0260078286332,0.0260078286332,0.0260078286332,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750163932
 01/01  14:00:00,1.32767474967,0.437972090493,0.0,0.413184350012,0.0,0.0105949536795,0.0105949536795,0.0105949536795,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995631
 01/01  15:00:00,1.27870164396,0.245422497488,0.0,0.219239000467,0.0,0.00563774253432,0.00563774253432,0.00563774253432,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433511
 01/01  16:00:00,1.34858773211,0.121878922566,0.0,0.0942399574953,0.0,0.00242674797606,0.00242674797606,0.00242674797606,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.66130731275,0.221517880472,0.0,0.18882582889,0.0,0.00488235374163,0.00488235374163,0.00488235374163,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
