Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.924704700193,2.31116902264,0.0,2.28320164427,0.0,0.0630800134249,0.0630800134249,0.0630800134249,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.746421399378,2.65441593838,0.0,2.6286653498,0.0,0.0724563346815,0.0724563346815,0.0724563346815,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.687352263489,2.91707634424,0.0,2.89162431321,0.0,0.0794235631902,0.0794235631902,0.0794235631902,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417522278
 01/01  04:00:00,0.683204371534,3.09675653947,0.0,3.0716627775,0.0,0.0841616294491,0.0841616294491,0.0841616294491,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072650952
 01/01  05:00:00,0.732902238548,3.19374500863,0.0,3.16959916688,0.0,0.0867451972999,0.0867451972999,0.0867451972999,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137189522
 01/01  06:00:00,1.00133095987,3.27753390171,0.0,3.25058908294,0.0,0.0887846958481,0.0887846958481,0.0887846958481,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094931
 01/01  07:00:00,1.62921487556,3.59777573266,0.0,3.56664364427,0.0,0.0974219560896,0.0974219560896,0.0974219560896,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.74338524604
 01/01  08:00:00,2.05943469386,3.54981535998,0.0,3.51673518358,0.0,0.0960989871368,0.0960989871368,0.0960989871368,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262254937
 01/01  09:00:00,1.98737233226,2.95148782613,0.0,2.92352044776,0.0,0.0792601000566,0.0792601000566,0.0792601000566,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.83330648821
 01/01  10:00:00,1.73974539775,2.80482134235,0.0,2.78101884178,0.0,0.0756401729529,0.0756401729529,0.0756401729529,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.62838092089,2.6271149003,0.0,2.60275260432,0.0,0.0710903113767,0.0710903113767,0.0710903113767,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.51257436236,1.207645539,0.0,1.18327577909,0.0,0.0320520400593,0.0320520400593,0.0320520400593,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266161636
 01/01  13:00:00,1.40766505457,0.742703080851,0.0,0.718743837568,0.0,0.0195706800933,0.0195706800933,0.0195706800933,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750166045
