Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.961231044288,9.19037331325,0.0,8.73261001291,0.0,0.240437438352,0.240437438352,0.240437438352,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.429253810751
 01/01  02:00:00,0.848822449848,9.79192993776,0.0,9.42874321588,0.0,0.259604272074,0.259604272074,0.259604272074,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.336936991682
 01/01  03:00:00,0.810747043308,10.2378851081,0.0,9.90113708636,0.0,0.272610827038,0.272610827038,0.272610827038,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310802636263
 01/01  04:00:00,0.810278624215,10.7232130025,0.0,10.3799754227,0.0,0.285794819316,0.285794819316,0.285794819316,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.317657407955
 01/01  05:00:00,0.814578420634,11.0315143196,0.0,10.6154174676,0.0,0.292277312187,0.292277312187,0.292277312187,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.391482974538
 01/01  06:00:00,0.870180010103,11.3492209832,0.0,10.612572768,0.0,0.292198988263,0.292198988263,0.292198988263,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.709181106169
 01/01  07:00:00,1.09576850044,11.8305296996,0.0,10.4926752038,0.0,0.288897814483,0.288897814483,0.288897814483,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30611895243
 01/01  08:00:00,1.44267125158,12.6613193382,0.0,11.1487312074,0.0,0.306961191261,0.306961191261,0.306961191261,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47886673826
 01/01  09:00:00,1.38225881479,11.6825629047,0.0,10.2079729574,0.0,0.281059026455,0.281059026455,0.281059026455,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44608045778
 01/01  10:00:00,1.18809318158,10.6050664143,0.0,9.26219657821,0.0,0.25501869607,0.25501869607,0.25501869607,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31860595507
