Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.946158722443,8.63969678793,0.0,8.18518815728,0.0,0.225365116507,0.225365116507,0.225365116507,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.425999141067
 01/01  02:00:00,0.819040717994,8.70902257291,0.0,8.34708034517,0.0,0.229822540219,0.229822540219,0.229822540219,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.335692497537
 01/01  03:00:00,0.769356285674,8.73458257837,0.0,8.39783815323,0.0,0.231220069403,0.231220069403,0.231220069403,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310799039639
 01/01  04:00:00,0.762195841665,8.97695392477,0.0,8.63362430862,0.0,0.237712036767,0.237712036767,0.237712036767,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.317749444278
 01/01  05:00:00,0.759841059723,9.04410085359,0.0,8.62737421924,0.0,0.237539951276,0.237539951276,0.237539951276,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392112756905
 01/01  06:00:00,0.817274267728,9.42841908316,0.0,8.69105331262,0.0,0.239293245888,0.239293245888,0.239293245888,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.70989866155
 01/01  07:00:00,1.05748729277,10.4411388763,0.0,9.10231412003,0.0,0.250616606817,0.250616606817,0.250616606817,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.3070892129
 01/01  08:00:00,1.38346260865,10.5118039124,0.0,8.99829244189,0.0,0.24775254833,0.24775254833,0.24775254833,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47979007795
 01/01  09:00:00,1.32246549691,9.51193200522,0.0,8.0362989868,0.0,0.221265708575,0.221265708575,0.221265708575,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44712352884
 01/01  10:00:00,1.13773363681,8.77758504909,0.0,7.43315419645,0.0,0.204659151299,0.204659151299,0.204659151299,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32016697159
 01/01  11:00:00,1.16371279801,9.70313946313,0.0,8.51439276292,0.0,0.234429200664,0.234429200664,0.234429200664,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16391217285
 01/01  12:00:00,1.14182215328,8.11282052686,0.0,7.06826140399,0.0,0.19461245413,0.19461245413,0.19461245413,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.0197169869
 01/01  13:00:00,1.08881456572,6.80599403813,0.0,5.87043939178,0.0,0.161632479553,0.161632479553,0.161632479553,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.911130984337
 01/01  14:00:00,1.04780113861,6.1926170621,0.0,5.32366687318,0.0,0.146578036089,0.146578036089,0.146578036089,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.843681970363
 01/01  15:00:00,1.04371404096,6.01162798246,0.0,5.20464213104,0.0,0.143300893968,0.143300893968,0.143300893968,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.780294821407
 01/01  16:00:00,1.12817562988,6.52024086095,0.0,5.70443360481,0.0,0.157061794946,0.157061794946,0.157061794946,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.787632545728
 01/01  17:00:00,1.40689540105,7.14489531005,0.0,6.24201700361,0.0,0.171863231758,0.171863231758,0.171863231758,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.869552562001
 01/01  18:00:00,1.93901304883,8.84489490671,0.0,7.77289534772,0.0,0.214013341168,0.214013341168,0.214013341168,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03151410553
 01/01  19:00:00,2.25608694031,8.02196020923,0.0,6.78831313699,0.0,0.186904558772,0.186904558772,0.186904558772,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18969208923
 01/01  20:00:00,2.22251670373,8.11092899998,0.0,6.84204737924,0.0,0.188384038966,0.188384038966,0.188384038966,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22351143489
 01/01  21:00:00,2.07848900822,8.44759803735,0.0,7.26351118919,0.0,0.19998832207,0.19998832207,0.19998832207,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13715689573
 01/01  22:00:00,1.91984428439,8.81868842657,0.0,7.75239645507,0.0,0.213448939319,0.213448939319,0.213448939319,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02045765998
 01/01  23:00:00,1.61039350326,9.37076287786,0.0,8.49092050516,0.0,0.233782932307,0.233782932307,0.233782932307,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.840178649931
 01/01  24:00:00,1.3057185366,10.0985235151,0.0,9.42479494507,0.0,0.259495563209,0.259495563209,0.259495563209,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.63926153301
 01/02  01:00:00,0.987049619305,10.3492596645,0.0,9.90908635247,0.0,0.272829696445,0.272829696445,0.272829696445,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411663822474
 01/02  02:00:00,0.867202206207,10.5935818421,0.0,10.2396446616,0.0,0.281931052507,0.281931052507,0.281931052507,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.327687450255
 01/02  03:00:00,0.820485738089,10.6797312259,0.0,10.349682667,0.0,0.284960760245,0.284960760245,0.284960760245,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.304103173422
 01/02  04:00:00,0.806798772409,10.639175702,0.0,10.3031793684,0.0,0.283680371682,0.283680371682,0.283680371682,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310416161754
 01/02  05:00:00,0.798724374497,10.5385050082,0.0,10.1366191467,0.0,0.279094421666,0.279094421666,0.279094421666,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.377271983984
 01/02  06:00:00,0.851835369761,10.7923747269,0.0,10.0950919133,0.0,0.277951040522,0.277951040522,0.277951040522,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.669815704625
