Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.09750238649,14.1334007829,0.0,13.681941097,0.0,0.376708780558,0.376708780558,0.376708780558,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.422950196287
 01/01  02:00:00,0.965486046932,14.0234130365,0.0,13.6659273375,0.0,0.376267869157,0.376267869157,0.376267869157,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.33123596883
 01/01  03:00:00,0.916241714091,14.0643076853,0.0,13.7326694164,0.0,0.378105497821,0.378105497821,0.378105497821,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.305692883401
 01/01  04:00:00,0.903483142442,14.1036186638,0.0,13.7651333861,0.0,0.378999337544,0.378999337544,0.378999337544,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.31290510584
 01/01  05:00:00,0.902597377708,14.2238939567,0.0,13.8122375267,0.0,0.380296269261,0.380296269261,0.380296269261,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.3870425526
 01/01  06:00:00,0.961416818614,14.6587092261,0.0,13.9262641507,0.0,0.383435796774,0.383435796774,0.383435796774,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.704977966317
 01/01  07:00:00,1.17934945452,14.862276609,0.0,13.5283084293,0.0,0.372478768565,0.372478768565,0.372478768565,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30223263632
 01/01  08:00:00,1.49297214996,14.4842029097,0.0,12.9756435713,0.0,0.357262089644,0.357262089644,0.357262089644,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47483794586
 01/01  09:00:00,1.4224070396,13.1370589431,0.0,11.6661434999,0.0,0.321207251259,0.321207251259,0.321207251259,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44240595363
 01/01  10:00:00,1.22101384439,11.7973284158,0.0,10.4578644062,0.0,0.287939358879,0.287939358879,0.287939358879,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31520012853
 01/01  11:00:00,1.24295181765,12.576519468,0.0,11.3923283332,0.0,0.313668220298,0.313668220298,0.313668220298,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15935660739
 01/01  12:00:00,1.24904552353,12.00334147,0.0,10.9625795398,0.0,0.301835824385,0.301835824385,0.301835824385,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01591979418
 01/01  13:00:00,1.20211066196,10.9158590831,0.0,9.98531697172,0.0,0.274928575794,0.274928575794,0.274928575794,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.90611844937
 01/01  14:00:00,1.16115613171,10.3044735286,0.0,9.44068356809,0.0,0.259933029191,0.259933029191,0.259933029191,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.838521742004
 01/01  15:00:00,1.162243624,10.3107105941,0.0,9.50959825905,0.0,0.261830477003,0.261830477003,0.261830477003,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.774421305063
 01/01  16:00:00,1.23939338773,10.5538209954,0.0,9.74382660669,0.0,0.268279552802,0.268279552802,0.268279552802,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.781819678312
 01/01  17:00:00,1.52929972041,11.5851382309,0.0,10.6877023022,0.0,0.294267551124,0.294267551124,0.294267551124,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.86411018426
 01/01  18:00:00,2.07861353477,13.9097747505,0.0,12.8431398555,0.0,0.353613827103,0.353613827103,0.353613827103,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02614944152
 01/01  19:00:00,2.39438323761,13.0394451019,0.0,11.8111899353,0.0,0.325200856071,0.325200856071,0.325200856071,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18430018357
 01/01  20:00:00,2.35957429769,13.0836185254,0.0,11.8199348726,0.0,0.325441632921,0.325441632921,0.325441632921,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.2183134669
 01/01  21:00:00,2.21206019099,13.2932341852,0.0,12.1147733556,0.0,0.333559504838,0.333559504838,0.333559504838,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13153087711
 01/01  22:00:00,2.05378639759,13.6780932845,0.0,12.6171306946,0.0,0.347391052513,0.347391052513,0.347391052513,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.0151282783
 01/01  23:00:00,1.74087440866,14.1045777829,0.0,13.2299447968,0.0,0.364263837704,0.364263837704,0.364263837704,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.8349692633
 01/01  24:00:00,1.42425921215,14.3987712699,0.0,13.7301539495,0.0,0.378036238754,0.378036238754,0.378036238754,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.634150283349
 01/02  01:00:00,1.11251270292,14.9013159891,0.0,14.4658649796,0.0,0.398292780062,0.398292780062,0.398292780062,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.406941519961
 01/02  02:00:00,0.995584307065,15.2514618167,0.0,14.9024410511,0.0,0.410313153366,0.410313153366,0.410313153366,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.322771035435
 01/02  03:00:00,0.958596940553,15.6912976762,0.0,15.3658368807,0.0,0.423071962709,0.423071962709,0.423071962709,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.299515409942
 01/02  04:00:00,0.952076464145,15.9108870263,0.0,15.5796181552,0.0,0.428958063419,0.428958063419,0.428958063419,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.305688699236
 01/02  05:00:00,0.961456231915,16.4444558976,0.0,16.046987587,0.0,0.441826279084,0.441826279084,0.441826279084,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.372854433061
 01/02  06:00:00,1.02172596151,16.9581917851,0.0,16.2654632697,0.0,0.447841632272,0.447841632272,0.447841632272,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.665261406451
 01/02  07:00:00,1.28296120411,18.9211879473,0.0,17.6773688385,0.0,0.486716030379,0.486716030379,0.486716030379,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21208356536
 01/02  08:00:00,1.57681244994,18.1870766552,0.0,16.7892699779,0.0,0.462263751538,0.462263751538,0.462263751538,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36408528477
 01/02  09:00:00,1.49720670285,16.915545666,0.0,15.5609553615,0.0,0.428444215407,0.428444215407,0.428444215407,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.3260808149
 01/02  10:00:00,1.27454587272,15.2691429947,0.0,14.0376438473,0.0,0.386502445678,0.386502445678,0.386502445678,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.20723526635
 01/02  11:00:00,1.28358887001,15.8081732889,0.0,14.7175139181,0.0,0.405221501951,0.405221501951,0.405221501951,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.06582484339
