Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.76147430277,4.44099339146,0.0,4.04933209578,0.108422779899,0.108422779899,0.108422779899,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365195148349
 01/01  02:00:00,0.654391048957,4.62305947501,0.0,4.31159731409,0.115445055022,0.115445055022,0.115445055022,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.287093810695
 01/01  03:00:00,0.618984518273,4.94902243622,0.0,4.65937998428,0.12475710032,0.12475710032,0.12475710032,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265556633308
 01/01  04:00:00,0.605066031912,4.930540392,0.0,4.63523317442,0.124110558078,0.124110558078,0.124110558078,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271560436865
 01/01  05:00:00,0.601875939412,4.91762011377,0.0,4.56001325095,0.122096509091,0.122096509091,0.122096509091,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334757119936
 01/01  06:00:00,0.652813537972,5.12638097637,0.0,4.4939111709,0.120326594669,0.120326594669,0.120326594669,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.606971328859
 01/01  07:00:00,0.852569224415,5.45299889017,0.0,4.30580122479,0.115289861993,0.115289861993,0.115289861993,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11773668312
 01/01  08:00:00,1.14184980504,5.55541155357,0.0,4.26053050546,0.114077717095,0.114077717095,0.114077717095,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26357654719
 01/01  09:00:00,1.11720431753,5.57416026968,0.0,4.31326702621,0.115489762353,0.115489762353,0.115489762353,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23442709614
 01/01  10:00:00,0.983193308015,5.32692574222,0.0,4.18018469859,0.111926420158,0.111926420158,0.111926420158,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12421621208
