Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.806845455792,6.13534079364,0.0,5.74383639025,0.153793932922,0.153793932922,0.153793932922,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365038256064
 01/01  02:00:00,0.698729336754,6.27879107151,0.0,5.96752655713,0.159783342818,0.159783342818,0.159783342818,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.28689616416
 01/01  03:00:00,0.662883918908,6.58837803761,0.0,6.29891783917,0.168656500955,0.168656500955,0.168656500955,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265374379815
 01/01  04:00:00,0.653609392133,6.7433723812,0.0,6.44821183779,0.172653918299,0.172653918299,0.172653918299,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.2714137627
 01/01  05:00:00,0.654323696235,6.87625271751,0.0,6.5188118102,0.174544265914,0.174544265914,0.174544265914,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334591164429
 01/01  06:00:00,0.706434691398,7.12886339735,0.0,6.49653329312,0.173947748094,0.173947748094,0.173947748094,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.606831627613
 01/01  07:00:00,0.921568219722,8.02985173562,0.0,6.88274904455,0.1842888573,0.1842888573,0.1842888573,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11764170881
 01/01  08:00:00,1.21522139919,8.29554294393,0.0,7.00078445744,0.187449311243,0.187449311243,0.187449311243,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26345398557
 01/01  09:00:00,1.17255015373,7.6410544898,0.0,6.38030193424,0.170835598549,0.170835598549,0.170835598549,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23428640823
 01/01  10:00:00,1.03856289544,7.39481218482,0.0,6.24810665838,0.167296007584,0.167296007584,0.167296007584,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12418069489
 01/01  11:00:00,1.07405248883,8.52424744248,0.0,7.51152230757,0.20112455847,0.20112455847,0.20112455847,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.98967055661
 01/01  12:00:00,1.0624426946,7.29945481741,0.0,6.40872310578,0.171596588844,0.171596588844,0.171596588844,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.867670070045
 01/01  13:00:00,1.03295533546,6.83611710421,0.0,6.03914239153,0.161700890618,0.161700890618,0.161700890618,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.77430155204
 01/01  14:00:00,1.00042902539,6.56652952909,0.0,5.82672799207,0.156013394721,0.156013394721,0.156013394721,0.105285248323,0.0218139126677,0.361435815596,0.340532654084,0.716344351203
 01/01  15:00:00,0.993716480377,6.40437455402,0.0,5.71809509733,0.153104697643,0.153104697643,0.153104697643,0.110826537357,0.0229620193354,0.331767743197,0.359707482845,0.661501435655
 01/01  16:00:00,1.05645478715,6.45443569211,0.0,5.76071533012,0.154245874511,0.154245874511,0.154245874511,0.138533188893,0.0287025099169,0.339922588697,0.379702625135,0.667564999418
 01/01  17:00:00,1.28625793663,6.41546279785,0.0,5.64672282381,0.151193671301,0.151193671301,0.151193671301,0.23273572157,0.0482202235015,0.389638662656,0.4491216576,0.737802764194
 01/01  18:00:00,1.74340009496,7.64690921909,0.0,6.73167467361,0.180243769645,0.180243769645,0.180243769645,0.432223571359,0.0895518497538,0.480421867651,0.54561103655,0.877650779816
 01/01  19:00:00,2.02975193515,7.90840600044,0.0,6.85206707534,0.183467333079,0.183467333079,0.183467333079,0.642793999216,0.133179675089,0.432594020017,0.592368907752,1.01553429924
 01/01  20:00:00,1.94794057534,6.64274478706,0.0,5.55587024854,0.148761050676,0.148761050676,0.148761050676,0.681583297609,0.141216379006,0.349590650728,0.611441197322,1.04475614073
 01/01  21:00:00,1.8036039671,6.09222817222,0.0,5.07869939775,0.135984575716,0.135984575716,0.135984575716,0.587380696143,0.121698665421,0.310730298291,0.632461731524,0.969962402242
 01/01  22:00:00,1.65764884502,5.96525269835,0.0,5.05300145797,0.135296501237,0.135296501237,0.135296501237,0.493178163466,0.102180951837,0.293949140492,0.617696087987,0.869701981907
 01/01  23:00:00,1.37341235908,6.02508214829,0.0,5.27205488326,0.141161760187,0.141161760187,0.141161760187,0.371268979252,0.0769227476707,0.234174068073,0.534536803897,0.71620633468
 01/01  24:00:00,1.08838918811,6.15598266875,0.0,5.57858708646,0.149369304744,0.149369304744,0.149369304744,0.254901084073,0.05281263592,0.151455627092,0.464502536285,0.545398878951
 01/02  01:00:00,0.805333502646,6.31060092856,0.0,5.93287992416,0.158855662852,0.158855662852,0.158855662852,0.13299183107,0.0275544175015,0.0863692416722,0.38421434955,0.351254857067
 01/02  02:00:00,0.700728954311,6.49358435496,0.0,6.1896194314,0.165729984451,0.165729984451,0.165729984451,0.0775785967864,0.0160734078338,0.0722387554862,0.353760209753,0.279596573338
 01/02  03:00:00,0.661814990321,6.64063168365,0.0,6.35651943123,0.170198810795,0.170198810795,0.170198810795,0.0554132755573,0.0114810068172,0.0597152550472,0.349658642104,0.26002643379
 01/02  04:00:00,0.652407257196,6.74371123271,0.0,6.45430955409,0.172817187534,0.172817187534,0.172817187534,0.0554132755573,0.0114810068172,0.0526110263622,0.344736760925,0.265654897904
 01/02  05:00:00,0.65395063188,6.95035030762,0.0,6.60464003473,0.176842357174,0.176842357174,0.176842357174,0.0554132755573,0.0114810068172,0.0631517086927,0.331714283638,0.322860530003
 01/02  06:00:00,0.709441921867,7.36040722578,0.0,6.7618478674,0.181051671164,0.181051671164,0.181051671164,0.0554132755573,0.0114810068172,0.0759814879778,0.370166480351,0.57306088177
 01/02  07:00:00,0.926275420916,8.52505343614,0.0,7.45538930143,0.199621570711,0.199621570711,0.199621570711,0.127450542036,0.0264063108338,0.129758030703,0.427690966632,1.04020315245
 01/02  08:00:00,1.19179729118,8.11674302648,0.0,6.91627629076,0.185186565156,0.185186565156,0.185186565156,0.260442373107,0.0539607283354,0.207405929039,0.454453695544,1.1691622348
 01/02  09:00:00,1.14708668249,7.80305086283,0.0,6.64075782969,0.177809428197,0.177809428197,0.177809428197,0.24935972625,0.0516645292523,0.268690649238,0.38421434955,1.13582688581
 01/02  10:00:00,0.991250264442,7.21868770516,0.0,6.16289536889,0.165014435052,0.165014435052,0.165014435052,0.127450542036,0.0264063108338,0.330033495679,0.326997480842,1.03326750472
 01/02  11:00:00,1.00948173507,7.93614348329,0.0,7.001558403,0.187470034001,0.187470034001,0.187470034001,0.105285248323,0.0218139126677,0.344876619894,0.334687920184,0.911530501989
 01/02  12:00:00,0.99711038724,6.75486378247,0.0,5.92904724291,0.158753041001,0.158753041001,0.158753041001,0.105285248323,0.0218139126677,0.361119725873,0.334790459375,0.802754897972
 01/02  13:00:00,0.973400859884,6.34115689813,0.0,5.60053315645,0.149956921136,0.149956921136,0.149956921136,0.105285248323,0.0218139126677,0.3518459739,0.329150803858,0.717950581037
 01/02  14:00:00,0.92510328381,5.33228337126,0.0,4.64140029535,0.124275685654,0.124275685654,0.124275685654,0.105285248323,0.0218139126677,0.317847783081,0.340532654084,0.667425890096
 01/02  15:00:00,0.913541002978,4.82711068716,0.0,4.1849790962,0.112054792419,0.112054792419,0.112054792419,0.110826537357,0.0229620193354,0.292642171022,0.359707482845,0.617353569926
 01/02  16:00:00,0.974982561769,4.75184406703,0.0,4.1019863332,0.109832621981,0.109832621981,0.109832621981,0.138533188893,0.0287025099169,0.302863615842,0.379702625135,0.623702371264
 01/02  17:00:00,1.21081166459,4.88535114612,0.0,4.17043317503,0.111665318508,0.111665318508,0.111665318508,0.23273572157,0.0482202235015,0.353720743409,0.4491216576,0.683980761233
 01/02  18:00:00,1.67261628842,6.2588540161,0.0,5.40837864527,0.144811893319,0.144811893319,0.144811893319,0.432223571359,0.0895518497538,0.445069937436,0.54561103655,0.812891605171
 01/02  19:00:00,1.92874443116,5.33372361598,0.0,4.36108624881,0.116770144629,0.116770144629,0.116770144629,0.642793999216,0.133179675089,0.398283704478,0.592368907752,0.931832741303
 01/02  20:00:00,1.87512887643,5.10873162688,0.0,4.11548689707,0.110194105957,0.110194105957,0.110194105957,0.681583297609,0.141216379006,0.315345896534,0.611441197322,0.951126332023
 01/02  21:00:00,1.74631513378,5.16501415723,0.0,4.24086308912,0.113551112731,0.113551112731,0.113551112731,0.587380696143,0.121698665421,0.275874927963,0.632461731524,0.880584695889
 01/02  22:00:00,1.60858183927,5.38747225974,0.0,4.55029704026,0.121836352959,0.121836352959,0.121836352959,0.493178163466,0.102180951837,0.258342283024,0.617696087987,0.794625961011
