Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.950435448746,8.79684466164,0.0,8.34051747368,0.0,0.22964184281,0.22964184281,0.22964184281,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.427817698367
 01/01  02:00:00,0.829644174147,9.09474065442,0.0,8.7321944439,0.0,0.240425996372,0.240425996372,0.240425996372,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.336296480322
 01/01  03:00:00,0.785057163986,9.30443010829,0.0,8.96808897647,0.0,0.246920947715,0.246920947715,0.246920947715,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310395746317
 01/01  04:00:00,0.773526025896,9.38782896257,0.0,9.04513293615,0.0,0.249042220998,0.249042220998,0.249042220998,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.317115854552
 01/01  05:00:00,0.770565762938,9.43260549386,0.0,9.01689197207,0.0,0.248264654491,0.248264654491,0.248264654491,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.391099644341
 01/01  06:00:00,0.825784405753,9.73645309985,0.0,9.00013877381,0.0,0.247803383912,0.247803383912,0.247803383912,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.708847217052
 01/01  07:00:00,1.06771934796,10.8117164938,0.0,9.47393905584,0.0,0.260848662006,0.260848662006,0.260848662006,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30604189454
 01/01  08:00:00,1.37686578461,10.2707349886,0.0,8.75869792589,0.0,0.241155724289,0.241155724289,0.241155724289,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47831567022
 01/01  09:00:00,1.34087317509,10.1790695688,0.0,8.70485990586,0.0,0.239673386752,0.239673386752,0.239673386752,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44570017335
 01/01  10:00:00,1.18048923337,10.3291257377,0.0,8.98602363797,0.0,0.247414747858,0.247414747858,0.247414747858,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31883821872
 01/01  11:00:00,1.17381447221,10.0678048757,0.0,8.88128230339,0.0,0.244530874865,0.244530874865,0.244530874865,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16168804491
 01/01  12:00:00,1.21181526285,10.6534998697,0.0,9.61038851048,0.0,0.264605563699,0.264605563699,0.264605563699,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01826922328
 01/01  13:00:00,1.15634362015,9.25609345942,0.0,8.32307281248,0.0,0.229161533985,0.229161533985,0.229161533985,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.908596984927
 01/01  14:00:00,1.13219254564,9.25429603636,0.0,8.38873548767,0.0,0.23096944312,0.23096944312,0.23096944312,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.840292330134
 01/01  15:00:00,1.11608644871,8.63632305267,0.0,7.8331845779,0.0,0.215673301712,0.215673301712,0.215673301712,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.776447444753
 01/01  16:00:00,1.20102427127,9.161520993,0.0,8.35027270372,0.0,0.229910436336,0.229910436336,0.229910436336,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.783073578862
 01/01  17:00:00,1.46480846232,9.24415234567,0.0,8.34540066218,0.0,0.229776293029,0.229776293029,0.229776293029,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.865425939057
 01/01  18:00:00,1.96907538322,9.9329931993,0.0,8.86474961177,0.0,0.244075675558,0.244075675558,0.244075675558,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02775813408
 01/01  19:00:00,2.30326458913,9.73331823112,0.0,8.5017900864,0.0,0.234082207583,0.234082207583,0.234082207583,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18757316171
 01/01  20:00:00,2.22406834688,8.16389035092,0.0,6.89840255652,0.0,0.189935682111,0.189935682111,0.189935682111,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22011760855
 01/01  21:00:00,2.06521386481,7.96276875489,0.0,6.78136227324,0.0,0.186713178661,0.186713178661,0.186713178661,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13447652922
 01/01  22:00:00,1.8956645789,7.93883103571,0.0,6.87419737028,0.0,0.189269233825,0.189269233825,0.189269233825,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01879935391
 01/01  23:00:00,1.57401227784,8.04836492496,0.0,7.16956616216,0.0,0.197401706887,0.197401706887,0.197401706887,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.839135040031
 01/01  24:00:00,1.25251782442,8.1657107155,0.0,7.49256228159,0.0,0.206294851026,0.206294851026,0.206294851026,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.638681396857
 01/02  01:00:00,0.929343083371,8.2533552477,0.0,7.81320362738,0.0,0.215123160511,0.215123160511,0.215123160511,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411642130739
 01/02  02:00:00,0.808337171038,8.45565002987,0.0,8.10168561895,0.0,0.223066017339,0.223066017339,0.223066017339,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.327714680718
 01/02  03:00:00,0.75995844728,8.48161748908,0.0,8.15135103695,0.0,0.224433469436,0.224433469436,0.224433469436,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.304321066627
 01/02  04:00:00,0.756619984859,8.81700374927,0.0,8.48070203044,0.0,0.233501584132,0.233501584132,0.233501584132,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310721546967
 01/02  05:00:00,0.757917604733,9.05703041937,0.0,8.65453046419,0.0,0.238287651902,0.238287651902,0.238287651902,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.377886077734
 01/02  06:00:00,0.807158290528,9.17027366753,0.0,8.47243484234,0.0,0.233273961288,0.233273961288,0.233273961288,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.670371716189
 01/02  07:00:00,1.02139691218,9.42606703534,0.0,8.1774383352,0.0,0.225151738448,0.225151738448,0.225151738448,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21689315675
 01/02  08:00:00,1.35151570745,10.0100726327,0.0,8.60656514284,0.0,0.236967009049,0.236967009049,0.236967009049,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36978609728
 01/02  09:00:00,1.28367991685,9.1663111274,0.0,7.80573154006,0.0,0.214917429403,0.214917429403,0.214917429403,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33207009775
