Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.936683544183,8.2388907963,0.0,7.78313846354,0.0,0.215889938247,0.215889938247,0.215889938247,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.427242843177
 01/01  02:00:00,0.811154007217,8.35958578125,0.0,7.99726371873,0.0,0.221935829442,0.221935829442,0.221935829442,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.336072332324
 01/01  03:00:00,0.765692453712,8.53415955443,0.0,8.19758282851,0.0,0.227556237441,0.227556237441,0.227556237441,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310631340417
 01/01  04:00:00,0.750359259256,8.48196044199,0.0,8.13904227468,0.0,0.225875454357,0.225875454357,0.225875454357,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.31733799545
 01/01  05:00:00,0.750264876905,8.63187745662,0.0,8.21577662926,0.0,0.227963768458,0.227963768458,0.227963768458,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.391486949911
 01/01  06:00:00,0.803829158752,8.87435923854,0.0,8.13726168457,0.0,0.225848136912,0.225848136912,0.225848136912,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.709630444967
 01/01  07:00:00,1.04724290778,9.99770838501,0.0,8.65911548745,0.0,0.240372221824,0.240372221824,0.240372221824,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30685735418
 01/01  08:00:00,1.35969647631,9.58560393229,0.0,8.07258455646,0.0,0.223986415987,0.223986415987,0.223986415987,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47929798329
 01/01  09:00:00,1.32175666976,9.43209397138,0.0,7.95691363847,0.0,0.220556881422,0.220556881422,0.220556881422,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44667084332
 01/01  10:00:00,1.15062084628,9.18512811044,0.0,7.84120987409,0.0,0.217546360775,0.217546360775,0.217546360775,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.3196543553
 01/01  11:00:00,1.16599055999,9.71165916645,0.0,8.52384482892,0.0,0.236706962646,0.236706962646,0.236706962646,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16297981017
 01/01  12:00:00,1.13590789163,7.86332549007,0.0,6.81925463158,0.0,0.188698192487,0.188698192487,0.188698192487,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01922872252
 01/01  13:00:00,1.10987782852,7.52722144693,0.0,6.5922978192,0.0,0.182695742352,0.182695742352,0.182695742352,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910499965719
 01/01  14:00:00,1.06711319647,6.85526954302,0.0,5.98757815265,0.0,0.165890093948,0.165890093948,0.165890093948,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.842423171823
 01/01  15:00:00,1.06618745885,6.78755241304,0.0,5.98251748416,0.0,0.165774311853,0.165774311853,0.165774311853,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.778343898869
 01/01  16:00:00,1.15141867001,7.31097541439,0.0,6.49706381422,0.0,0.180304835081,0.180304835081,0.180304835081,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.785736889755
 01/01  17:00:00,1.42458044816,7.73170050507,0.0,6.83059696294,0.0,0.189548278869,0.189548278869,0.189548278869,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.867777797699
 01/01  18:00:00,1.95445108087,9.32544857921,0.0,8.25484813627,0.0,0.229451373202,0.229451373202,0.229451373202,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03011498949
 01/01  19:00:00,2.26573179037,8.32449345857,0.0,7.09155561884,0.0,0.196549408831,0.196549408831,0.196549408831,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18898285673
 01/01  20:00:00,2.22537158706,8.17012043583,0.0,6.90281720079,0.0,0.191238922297,0.191238922297,0.191238922297,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22193304919
 01/01  21:00:00,2.0740055535,8.23090360474,0.0,7.04770552415,0.0,0.195504867351,0.195504867351,0.195504867351,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13626812816
 01/01  22:00:00,1.90835390245,8.34537188777,0.0,7.27983536937,0.0,0.201958557374,0.201958557374,0.201958557374,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01970220688
 01/01  23:00:00,1.58829142293,8.50844990867,0.0,7.62919838024,0.0,0.211680851979,0.211680851979,0.211680851979,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.839587805663
 01/01  24:00:00,1.26754935608,8.64789549648,0.0,7.97460415912,0.0,0.221326382689,0.221326382689,0.221326382689,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.638824300317
 01/02  01:00:00,0.944578854191,8.73947599879,0.0,8.29930489492,0.0,0.230358931331,0.230358931331,0.230358931331,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411661614287
 01/02  02:00:00,0.822509506631,8.9006243326,0.0,8.54659012653,0.0,0.237238352932,0.237238352932,0.237238352932,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.327784475875
 01/02  03:00:00,0.782005873028,9.20884065799,0.0,8.87855521605,0.0,0.246480895185,0.246480895185,0.246480895185,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.304340056435
 01/02  04:00:00,0.772935222181,9.33398269042,0.0,8.99752658218,0.0,0.249816821455,0.249816821455,0.249816821455,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310875936369
 01/02  05:00:00,0.766905821878,9.31097052611,0.0,8.90852530483,0.0,0.247275869046,0.247275869046,0.247275869046,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.377831343829
 01/02  06:00:00,0.818593871461,9.51593206876,0.0,8.81831728807,0.0,0.244709542221,0.244709542221,0.244709542221,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.670147671697
 01/02  07:00:00,1.03354401011,9.79906664475,0.0,8.55030180028,0.0,0.237298836378,0.237298836378,0.237298836378,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21702930109
 01/02  08:00:00,1.35052051226,9.90760567468,0.0,8.50381316059,0.0,0.235971813863,0.235971813863,0.235971813863,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37007112155
 01/02  09:00:00,1.29249997283,9.42609563276,0.0,8.06516947078,0.0,0.223737485385,0.223737485385,0.223737485385,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.3324166724
 01/02  10:00:00,1.08505835099,8.34972565751,0.0,7.11192370938,0.0,0.197014923947,0.197014923947,0.197014923947,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21353806708
 01/02  11:00:00,1.10543819707,9.27032752246,0.0,8.17332598776,0.0,0.227070829011,0.227070829011,0.227070829011,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07216700734
 01/02  12:00:00,1.09979565109,8.36288883589,0.0,7.39425144349,0.0,0.205074711466,0.205074711466,0.205074711466,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.943795256424
 01/02  13:00:00,1.06313963644,7.50067026097,0.0,6.63202680125,0.0,0.183768056367,0.183768056367,0.183768056367,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.844219797711
 01/02  14:00:00,1.03640272606,7.25831062157,0.0,6.44769082974,0.0,0.178767656055,0.178767656055,0.178767656055,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.785351573287
