Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.773260707697,4.88106019226,0.0,4.48952619346,0.120209184826,0.120209184826,0.120209184826,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365067851471
 01/01  02:00:00,0.667327807528,5.1061033843,0.0,4.79475437522,0.128381813593,0.128381813593,0.128381813593,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.286980658855
 01/01  03:00:00,0.628109318815,5.28970925785,0.0,5.00016950968,0.133881900862,0.133881900862,0.133881900862,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265453929548
 01/01  04:00:00,0.617753351628,5.40428619582,0.0,5.1090742896,0.136797877795,0.136797877795,0.136797877795,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271465125517
 01/01  05:00:00,0.61765050991,5.50666753267,0.0,5.14915581558,0.137871079589,0.137871079589,0.137871079589,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334661974198
 01/01  06:00:00,0.668455017565,5.71043284358,0.0,5.07808310785,0.135968074262,0.135968074262,0.135968074262,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.606851259124
 01/01  07:00:00,0.865565572288,5.9382725853,0.0,4.79118380413,0.128286209865,0.128286209865,0.128286209865,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11762779892
 01/01  08:00:00,1.16439576778,6.39736042598,0.0,5.10256841152,0.136623679836,0.136623679836,0.136623679836,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26348751354
 01/01  09:00:00,1.12664451204,5.92665180191,0.0,4.66583576361,0.124929956861,0.124929956861,0.124929956861,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23434989098
 01/01  10:00:00,0.991742272547,5.64609263818,0.0,4.49946812315,0.120475384691,0.120475384691,0.120475384691,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12409968347
 01/01  11:00:00,1.01716152084,6.39951997726,0.0,5.3867804143,0.144233590481,0.144233590481,0.144233590481,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989684984665
 01/01  12:00:00,1.00329649441,5.09053812008,0.0,4.19975367148,0.112450388652,0.112450388652,0.112450388652,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.867722807012
 01/01  13:00:00,0.978650761841,4.80794498708,0.0,4.01099615608,0.107396317002,0.107396317002,0.107396317002,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.774275670362
 01/01  14:00:00,0.946993603629,4.57071707197,0.0,3.83104250421,0.102577972958,0.102577972958,0.102577972958,0.105285248323,0.0218139126677,0.361435815596,0.340532654084,0.716217381936
 01/01  15:00:00,0.937965528203,4.32219762209,0.0,3.6359300743,0.0973537454695,0.0973537454695,0.0973537454695,0.110826537357,0.0229620193354,0.331767743197,0.359707482845,0.66148952676
 01/01  16:00:00,0.998585670736,4.29318080556,0.0,3.59944192723,0.0963767580935,0.0963767580935,0.0963767580935,0.138533188893,0.0287025099169,0.339922588697,0.379702625135,0.667583515761
 01/01  17:00:00,1.22911222835,4.28130312685,0.0,3.51246698866,0.0940479630236,0.0940479630236,0.0940479630236,0.23273572157,0.0482202235015,0.389638662656,0.4491216576,0.73789892834
 01/01  18:00:00,1.6819740518,5.35286135014,0.0,4.43755854512,0.118817726491,0.118817726491,0.118817726491,0.432223571359,0.0895518497538,0.480421867651,0.54561103655,0.877719039362
 01/01  19:00:00,1.93874546848,4.50970292584,0.0,3.45319271745,0.0924608664089,0.0924608664089,0.0924608664089,0.642793999216,0.133179675089,0.432594020017,0.592368907752,1.01570558252
 01/01  20:00:00,1.88527609599,4.30254219725,0.0,3.21550148329,0.0860965713214,0.0860965713214,0.0860965713214,0.681583297609,0.141216379006,0.349590650728,0.611441197322,1.04492231616
 01/01  21:00:00,1.75666600671,4.33916774634,0.0,3.32567858725,0.0890466153309,0.0890466153309,0.0890466153309,0.587380696143,0.121698665421,0.310730298291,0.632461731524,0.96992278687
 01/01  22:00:00,1.61669154384,4.43553236308,0.0,3.52334399705,0.0943392000618,0.0943392000618,0.0943392000618,0.493178163466,0.102180951837,0.293949140492,0.617696087987,0.869639107556
 01/01  23:00:00,1.33728221871,4.6756626076,0.0,3.92268035902,0.105031619813,0.105031619813,0.105031619813,0.371268979252,0.0769227476707,0.234174068073,0.534536803897,0.716161318236
 01/01  24:00:00,1.05691877048,4.98061073063,0.0,4.40324208676,0.117898887106,0.117898887106,0.117898887106,0.254901084073,0.05281263592,0.151455627092,0.464502536285,0.545371940541
 01/02  01:00:00,0.776644676955,5.23919134638,0.0,4.86142074585,0.130166837162,0.130166837162,0.130166837162,0.13299183107,0.0275544175015,0.0863692416722,0.38421434955,0.3513044532
 01/02  02:00:00,0.673084541251,5.46114556084,0.0,5.15716657255,0.138085571391,0.138085571391,0.138085571391,0.0775785967864,0.0160734078338,0.0722387554862,0.353760209753,0.279610638072
 01/02  03:00:00,0.635856459617,5.67119597113,0.0,5.38703025526,0.144240280091,0.144240280091,0.144240280091,0.0554132755573,0.0114810068172,0.0597152550472,0.349658642104,0.260079897244
 01/02  04:00:00,0.628033213884,5.83347991679,0.0,5.54399720111,0.148443144222,0.148443144222,0.148443144222,0.0554132755573,0.0114810068172,0.0526110263622,0.344736760925,0.265735934976
 01/02  05:00:00,0.629299690195,6.02978446661,0.0,5.68398618832,0.15219141549,0.15219141549,0.15219141549,0.0554132755573,0.0114810068172,0.0631517086927,0.331714283638,0.322948535402
 01/02  06:00:00,0.681162250821,6.3043110104,0.0,5.70566963869,0.152772000118,0.152772000118,0.152772000118,0.0554132755573,0.0114810068172,0.0759814879778,0.370166480351,0.5731428951
 01/02  07:00:00,0.898239979507,7.47806811088,0.0,6.40833246683,0.171586129301,0.171586129301,0.171586129301,0.127450542036,0.0264063108338,0.129758030703,0.427690966632,1.0402746618
 01/02  08:00:00,1.16605900464,7.15554297054,0.0,5.95501270874,0.159448278616,0.159448278616,0.159448278616,0.260442373107,0.0539607283354,0.207405929039,0.454453695544,1.16922576087
 01/02  09:00:00,1.12636886691,7.02930195548,0.0,5.86699685777,0.157091612625,0.157091612625,0.157091612625,0.24935972625,0.0516645292523,0.268690649238,0.38421434955,1.13583895038
 01/02  10:00:00,0.973474771396,6.5548164721,0.0,5.49902312193,0.147238942005,0.147238942005,0.147238942005,0.127450542036,0.0264063108338,0.330033495679,0.326997480842,1.03326851861
 01/02  11:00:00,0.991825088685,7.27671934111,0.0,6.34212479526,0.169813387617,0.169813387617,0.169813387617,0.105285248323,0.0218139126677,0.344876619894,0.334687920184,0.911539967546
 01/02  12:00:00,0.970066632202,5.74487828848,0.0,4.91902752779,0.131709285963,0.131709285963,0.131709285963,0.105285248323,0.0218139126677,0.361119725873,0.334790459375,0.802789119102
 01/02  13:00:00,0.933844444813,4.86382056269,0.0,4.12319544855,0.110400506065,0.110400506065,0.110400506065,0.105285248323,0.0218139126677,0.3518459739,0.329150803858,0.717951953495
 01/02  14:00:00,0.883463060646,3.77716402154,0.0,3.08623732782,0.0826354624901,0.0826354624901,0.0826354624901,0.105285248323,0.0218139126677,0.317847783081,0.340532654084,0.667469507888
 01/02  15:00:00,0.887367608662,3.849631939,0.0,3.20746527706,0.0858813981028,0.0858813981028,0.0858813981028,0.110826537357,0.0229620193354,0.292642171022,0.359707482845,0.617388640903
 01/02  16:00:00,0.949134234575,3.7864235263,0.0,3.13661299536,0.0839842947875,0.0839842947875,0.0839842947875,0.138533188893,0.0287025099169,0.302863615842,0.379702625135,0.623655168367
 01/02  17:00:00,1.18769847986,4.02220284627,0.0,3.30721088138,0.0885521337815,0.0885521337815,0.0885521337815,0.23273572157,0.0482202235015,0.353720743409,0.4491216576,0.684054755042
 01/02  18:00:00,1.64523116816,5.23613583562,0.0,4.38560975371,0.117426773058,0.117426773058,0.117426773058,0.432223571359,0.0895518497538,0.445069937436,0.54561103655,0.81294231625
 01/02  19:00:00,1.90817315272,4.56548196737,0.0,3.59279808907,0.0961988661881,0.0961988661881,0.0961988661881,0.642793999216,0.133179675089,0.398283704478,0.592368907752,0.93187925243
 01/02  20:00:00,1.85735824489,4.44505915564,0.0,3.45179621579,0.0924234744172,0.0924234744172,0.0924234744172,0.681583297609,0.141216379006,0.315345896534,0.611441197322,0.951144542062
 01/02  21:00:00,1.73101678591,4.59367900854,0.0,3.66950630313,0.0982527648591,0.0982527648591,0.0982527648591,0.587380696143,0.121698665421,0.275874927963,0.632461731524,0.880606333183
 01/02  22:00:00,1.59389993849,4.83918238289,0.0,4.00196308196,0.107154452175,0.107154452175,0.107154452175,0.493178163466,0.102180951837,0.258342283024,0.617696087987,0.79467004245
 01/02  23:00:00,1.32750914363,5.30848947836,0.0,4.61436327515,0.123551756666,0.123551756666,0.123551756666,0.371268979252,0.0769227476707,0.205880856148,0.534536803897,0.657305272856
 01/02  24:00:00,1.06632961379,5.87564334014,0.0,5.33490402897,0.142844575756,0.142844575756,0.142844575756,0.254901084073,0.05281263592,0.135920781757,0.464502536285,0.508742607841
 01/03  01:00:00,0.809560425322,6.46863080804,0.0,6.09074539925,0.163082585529,0.163082585529,0.163082585529,0.13299183107,0.0275544175015,0.0863692416722,0.38421434955,0.351419261461
 01/03  02:00:00,0.71667228902,7.08924158017,0.0,6.78506493659,0.18167331916,0.18167331916,0.18167331916,0.0775785967864,0.0160734078338,0.0722387554862,0.353760209753,0.279808293365
 01/03  03:00:00,0.682268934862,7.40478635048,0.0,7.1204254498,0.190652755336,0.190652755336,0.190652755336,0.0554132755573,0.0114810068172,0.0597152550472,0.349658642104,0.260275082054
 01/03  04:00:00,0.682548660814,7.86967313164,0.0,7.58001905164,0.202958591152,0.202958591152,0.202958591152,0.0554132755573,0.0114810068172,0.0526110263622,0.344736760925,0.265907299297
 01/03  05:00:00,0.685782985323,8.1394836737,0.0,7.79350247309,0.208674710618,0.208674710618,0.208674710618,0.0554132755573,0.0114810068172,0.0631517086927,0.331714283638,0.323131457724
 01/03  06:00:00,0.741871836423,8.57196389954,0.0,7.97302778731,0.21348158572,0.21348158572,0.21348158572,0.0554132755573,0.0114810068172,0.0759814879778,0.370166480351,0.573437635623
