Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.926599952213,7.9313361694,0.0,7.47481994706,0.0,0.205806346276,0.205806346276,0.205806346276,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428006732752
 01/01  02:00:00,0.798466291927,7.96274731352,0.0,7.59982384339,0.0,0.209248114153,0.209248114153,0.209248114153,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.33667373992
 01/01  03:00:00,0.749610838453,8.01806989693,0.0,7.68068989505,0.0,0.211474622182,0.211474622182,0.211474622182,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.31143461637
 01/01  04:00:00,0.736312339733,8.03754338468,0.0,7.69354388813,0.0,0.211828534834,0.211828534834,0.211828534834,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.31841932468
 01/01  05:00:00,0.733600665765,8.09133564723,0.0,7.67433159579,0.0,0.211299557318,0.211299557318,0.211299557318,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392390173988
 01/01  06:00:00,0.787153191862,8.33485241521,0.0,7.59706557711,0.0,0.209172170021,0.209172170021,0.209172170021,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710319729111
 01/01  07:00:00,1.0095830283,8.70175154371,0.0,7.36244672478,0.0,0.202712342346,0.202712342346,0.202712342346,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30756927554
 01/01  08:00:00,1.34870386998,9.24998648995,0.0,7.73586629301,0.0,0.21299380966,0.21299380966,0.21299380966,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48039880441
 01/01  09:00:00,1.29052460691,8.35280246688,0.0,6.87621619022,0.0,0.189324818569,0.189324818569,0.189324818569,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44807678707
 01/01  10:00:00,1.12641233275,8.3671166985,0.0,7.02196809374,0.0,0.193337847236,0.193337847236,0.193337847236,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32088472371
 01/01  11:00:00,1.12538328521,8.31157029191,0.0,7.12227725234,0.0,0.196099687866,0.196099687866,0.196099687866,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16445851222
 01/01  12:00:00,1.17786445542,9.4232909802,0.0,8.37730616295,0.0,0.230654756268,0.230654756268,0.230654756268,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02114268127
 01/01  13:00:00,1.13430788896,8.45842975544,0.0,7.522742181,0.0,0.207125802791,0.207125802791,0.207125802791,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.911263912422
 01/01  14:00:00,1.10567600605,8.29240294086,0.0,7.42566334425,0.0,0.204452903532,0.204452903532,0.204452903532,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.84147137806
 01/01  15:00:00,1.08547689532,7.5258445403,0.0,6.72145549689,0.0,0.185063748327,0.185063748327,0.185063748327,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.7776980134
 01/01  16:00:00,1.16674360887,7.91880045656,0.0,7.10521013058,0.0,0.195629773942,0.195629773942,0.195629773942,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.785415615557
 01/01  17:00:00,1.44100221968,8.38177409625,0.0,7.48076562772,0.0,0.205970050395,0.205970050395,0.205970050395,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.867682724101
 01/01  18:00:00,1.96163386416,9.66499610574,0.0,8.59447604587,0.0,0.2366341565,0.2366341565,0.2366341565,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03003460642
 01/01  19:00:00,2.26651507877,8.40023884,0.0,7.16705975373,0.0,0.19733269723,0.19733269723,0.19733269723,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18922410327
 01/01  20:00:00,2.22817744012,8.31544414287,0.0,7.04764349426,0.0,0.194044775351,0.194044775351,0.194044775351,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22243046275
 01/01  21:00:00,2.06704768433,8.03117611862,0.0,6.84796600514,0.0,0.188546998179,0.188546998179,0.188546998179,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13628016104
 01/01  22:00:00,1.89989649581,8.0933716318,0.0,7.02789922399,0.0,0.193501150734,0.193501150734,0.193501150734,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01963809629
