Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.799860752693,5.87464976003,0.0,5.48297439737,0.146809229823,0.146809229823,0.146809229823,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365209215332
 01/01  02:00:00,0.694805615094,6.13244086672,0.0,5.82098491648,0.155859621159,0.155859621159,0.155859621159,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.287087600015
 01/01  03:00:00,0.658347093045,6.41914881433,0.0,6.12947821961,0.164119675092,0.164119675092,0.164119675092,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265584776091
 01/01  04:00:00,0.649517826863,6.59076351336,0.0,6.29540163881,0.168562353029,0.168562353029,0.168562353029,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.27161509384
 01/01  05:00:00,0.648996797186,6.67752459455,0.0,6.31986484249,0.169217366865,0.169217366865,0.169217366865,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334810009173
 01/01  06:00:00,0.699667715139,6.87632898728,0.0,6.24380287816,0.167180771836,0.167180771836,0.167180771836,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.607027632509
 01/01  07:00:00,0.897225704007,7.12088730501,0.0,5.97361417206,0.159946341584,0.159946341584,0.159946341584,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11781215069
 01/01  08:00:00,1.19991238347,7.72399526546,0.0,6.42902925302,0.17214029553,0.17214029553,0.17214029553,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26366151151
 01/01  09:00:00,1.16026576819,7.18248632398,0.0,5.92150944883,0.158551213004,0.158551213004,0.158551213004,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23451072782
 01/01  10:00:00,1.0301643986,7.08123961238,0.0,5.93444284305,0.158897510744,0.158897510744,0.158897510744,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12427193778
 01/01  11:00:00,1.06358421365,8.13344617934,0.0,7.12055721063,0.190656283295,0.190656283295,0.190656283295,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989834390414
 01/01  12:00:00,1.05221165985,6.91749126783,0.0,6.02661837242,0.16136555409,0.16136555409,0.16136555409,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.867811253826
 01/01  13:00:00,1.01857575154,6.29913899245,0.0,5.50209924676,0.1473213067,0.1473213067,0.1473213067,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.774366585048
 01/01  14:00:00,0.982696172857,5.90434496757,0.0,5.16444826649,0.138280542187,0.138280542187,0.138280542187,0.105285248323,0.0218139126677,0.361435815596,0.340532654084,0.716439515256
 01/01  15:00:00,0.9785924771,5.83974869293,0.0,5.15324966593,0.137980694366,0.137980694366,0.137980694366,0.110826537357,0.0229620193354,0.331767743197,0.359707482845,0.661721005966
 01/01  16:00:00,1.03807911862,5.76834209696,0.0,5.074427961,0.135870205979,0.135870205979,0.135870205979,0.138533188893,0.0287025099169,0.339922588697,0.379702625135,0.667758773379
 01/01  17:00:00,1.26952265288,5.79069270771,0.0,5.02169991183,0.134458387552,0.134458387552,0.134458387552,0.23273572157,0.0482202235015,0.389638662656,0.4491216576,0.738055586026
 01/01  18:00:00,1.72536465357,6.97354495036,0.0,6.05809397629,0.162208328253,0.162208328253,0.162208328253,0.432223571359,0.0895518497538,0.480421867651,0.54561103655,0.877867208401
 01/01  19:00:00,2.01112304036,7.21289288786,0.0,6.15632230949,0.164838438281,0.164838438281,0.164838438281,0.642793999216,0.133179675089,0.432594020017,0.592368907752,1.0157659525
 01/01  20:00:00,1.9297281812,5.96270268023,0.0,4.87568078823,0.130548656533,0.130548656533,0.130548656533,0.681583297609,0.141216379006,0.349590650728,0.611441197322,1.04490349421
 01/01  21:00:00,1.78823899918,5.51845566521,0.0,4.50485451213,0.1206196078,0.1206196078,0.1206196078,0.587380696143,0.121698665421,0.310730298291,0.632461731524,0.970034780853
 01/01  22:00:00,1.64340968311,5.43350843084,0.0,4.52120274019,0.12105733933,0.12105733933,0.12105733933,0.493178163466,0.102180951837,0.293949140492,0.617696087987,0.86975643218
 01/01  23:00:00,1.35926554534,5.49683745198,0.0,4.74370514904,0.127014946444,0.127014946444,0.127014946444,0.371268979252,0.0769227476707,0.234174068073,0.534536803897,0.716311372589
 01/01  24:00:00,1.07425631228,5.62828858357,0.0,5.05075789975,0.135236428906,0.135236428906,0.135236428906,0.254901084073,0.05281263592,0.151455627092,0.464502536285,0.545533980488
 01/02  01:00:00,0.792507904069,5.83178025499,0.0,5.45387442354,0.146030064276,0.146030064276,0.146030064276,0.13299183107,0.0275544175015,0.0863692416722,0.38421434955,0.351439684125
 01/02  02:00:00,0.688719305672,6.04526628071,0.0,5.74108771383,0.153720335812,0.153720335812,0.153720335812,0.0775785967864,0.0160734078338,0.0722387554862,0.353760209753,0.279810216654
 01/02  03:00:00,0.652735001241,6.30174810303,0.0,6.01740350703,0.161118821715,0.161118821715,0.161118821715,0.0554132755573,0.0114810068172,0.0597152550472,0.349658642104,0.260258777375
 01/02  04:00:00,0.648047538575,6.58111099699,0.0,6.29148446739,0.168457468914,0.168457468914,0.168457468914,0.0554132755573,0.0114810068172,0.0526110263622,0.344736760925,0.265879748887
 01/02  05:00:00,0.648787887003,6.75774822572,0.0,6.41182383363,0.171679612297,0.171679612297,0.171679612297,0.0554132755573,0.0114810068172,0.0631517086927,0.331714283638,0.323074649199
 01/02  06:00:00,0.698616964535,6.95631808792,0.0,6.35756154307,0.170226713832,0.170226713832,0.170226713832,0.0554132755573,0.0114810068172,0.0759814879778,0.370166480351,0.573258068238
 01/02  07:00:00,0.891581209171,7.22948790999,0.0,6.15964328486,0.164927358965,0.164927358965,0.164927358965,0.127450542036,0.0264063108338,0.129758030703,0.427690966632,1.04038364288
 01/02  08:00:00,1.18512436053,7.86772613852,0.0,6.66705825484,0.178513634506,0.178513634506,0.178513634506,0.260442373107,0.0539607283354,0.207405929039,0.454453695544,1.16936338275
 01/02  09:00:00,1.13069872082,7.19102437014,0.0,6.02870656882,0.161421466535,0.161421466535,0.161421466535,0.24935972625,0.0516645292523,0.268690649238,0.38421434955,1.13585165399
 01/02  10:00:00,0.975830383477,6.64279317179,0.0,5.58699961189,0.149594554087,0.149594554087,0.149594554087,0.127450542036,0.0264063108338,0.330033495679,0.326997480842,1.03326872834
 01/02  11:00:00,0.992527854596,7.30302712102,0.0,6.36837142499,0.170516153527,0.170516153527,0.170516153527,0.105285248323,0.0218139126677,0.344876619894,0.334687920184,0.911601117741
 01/02  12:00:00,0.987990126842,6.41431444416,0.0,5.58842728106,0.149632780603,0.149632780603,0.149632780603,0.105285248323,0.0218139126677,0.361119725873,0.334790459375,0.802825521512
 01/02  13:00:00,0.966154244287,6.07057828885,0.0,5.32988935678,0.142710305539,0.142710305539,0.142710305539,0.105285248323,0.0218139126677,0.3518459739,0.329150803858,0.718015771425
 01/02  14:00:00,0.923826843304,5.28474037661,0.0,4.59372828844,0.122999245148,0.122999245148,0.122999245148,0.105285248323,0.0218139126677,0.317847783081,0.340532654084,0.667554902352
 01/02  15:00:00,0.919512130339,5.05026857219,0.0,4.40798645401,0.11802591978,0.11802591978,0.11802591978,0.110826537357,0.0229620193354,0.292642171022,0.359707482845,0.61750409715
 01/02  16:00:00,0.97532555848,4.76479675802,0.0,4.11479644184,0.110175618692,0.110175618692,0.110175618692,0.138533188893,0.0287025099169,0.302863615842,0.379702625135,0.623844953609
 01/02  17:00:00,1.21299193811,4.96696059353,0.0,4.25186118804,0.113845592026,0.113845592026,0.113845592026,0.23273572157,0.0482202235015,0.353720743409,0.4491216576,0.68416219564
 01/02  18:00:00,1.67291020005,6.26998745141,0.0,5.41935554343,0.145105804953,0.145105804953,0.145105804953,0.432223571359,0.0895518497538,0.445069937436,0.54561103655,0.81304814232
 01/02  19:00:00,1.92711627252,5.2730129977,0.0,4.30027840874,0.115141985984,0.115141985984,0.115141985984,0.642793999216,0.133179675089,0.398283704478,0.592368907752,0.931929963095
 01/02  20:00:00,1.87257090471,5.01329611147,0.0,4.0199527575,0.107636134237,0.107636134237,0.107636134237,0.681583297609,0.141216379006,0.315345896534,0.611441197322,0.95122495618
 01/02  21:00:00,1.74566474993,5.14084935787,0.0,4.21657280416,0.112900728876,0.112900728876,0.112900728876,0.587380696143,0.121698665421,0.275874927963,0.632461731524,0.880710181488
 01/02  22:00:00,1.60683003898,5.32220506691,0.0,4.48487147968,0.120084552666,0.120084552666,0.120084552666,0.493178163466,0.102180951837,0.258342283024,0.617696087987,0.794784328748
 01/02  23:00:00,1.33776211439,5.69150992947,0.0,4.9972872657,0.133804727418,0.133804727418,0.133804727418,0.371268979252,0.0769227476707,0.205880856148,0.534536803897,0.657401733413
 01/02  24:00:00,1.06794887052,5.93621901096,0.0,5.39537940359,0.144463832482,0.144463832482,0.144463832482,0.254901084073,0.05281263592,0.135920781757,0.464502536285,0.508842904034
 01/03  01:00:00,0.803059695889,6.2259350265,0.0,5.84795866787,0.156581856096,0.156581856096,0.156581856096,0.13299183107,0.0275544175015,0.0863692416722,0.38421434955,0.351510211304
 01/03  02:00:00,0.700293007054,6.47755176519,0.0,6.17333784169,0.165294037194,0.165294037194,0.165294037194,0.0775785967864,0.0160734078338,0.0722387554862,0.353760209753,0.279845573279
 01/03  03:00:00,0.661839983913,6.64182241765,0.0,6.35745288226,0.170223804387,0.170223804387,0.170223804387,0.0554132755573,0.0114810068172,0.0597152550472,0.349658642104,0.260283716765
