Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.724206017308,3.04898007733,0.0,2.65745056853,0.0711544944373,0.0711544944373,0.0711544944373,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365063361477
 01/01  02:00:00,0.617826887029,3.25731941705,0.0,2.94601312054,0.0788808930936,0.0788808930936,0.0788808930936,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.286937946288
 01/01  03:00:00,0.577149106445,3.38640444287,0.0,3.09692718595,0.0829216884918,0.0829216884918,0.0829216884918,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265391438287
 01/01  04:00:00,0.565473176923,3.45171207485,0.0,3.15653452255,0.0845177030897,0.0845177030897,0.0845177030897,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271430771584
 01/01  05:00:00,0.564408688433,3.51819334494,0.0,3.16070083644,0.0846292581123,0.0846292581123,0.0846292581123,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334642765606
 01/01  06:00:00,0.613809892443,3.66958763328,0.0,3.03721808631,0.0813229491403,0.0813229491403,0.0813229491403,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.606871070364
 01/01  07:00:00,0.812508809464,3.95676760007,0.0,2.80964032408,0.0752294470415,0.0752294470415,0.0752294470415,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11766629374
 01/01  08:00:00,1.10875377867,4.31931244823,0.0,3.0244728988,0.0809816907234,0.0809816907234,0.0809816907234,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26353504851
 01/01  09:00:00,1.07650442452,4.05407596957,0.0,2.79322314589,0.0747898693394,0.0747898693394,0.0747898693394,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23438667635
 01/01  10:00:00,0.928185989974,3.27252305932,0.0,2.12579263585,0.0569191021177,0.0569191021177,0.0569191021177,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12420559191
 01/01  11:00:00,0.954314901141,4.05243631651,0.0,3.03960914187,0.0813869707825,0.0813869707825,0.0813869707825,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989772596344
 01/01  12:00:00,0.959383230715,3.45040763567,0.0,2.55969806438,0.0685371249573,0.0685371249573,0.0685371249573,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.867647929707
 01/01  13:00:00,0.936566999672,3.23619225852,0.0,2.43926806516,0.0653125548332,0.0653125548332,0.0653125548332,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.774251032717
 01/01  14:00:00,0.904400350573,2.98005940813,0.0,2.24028614449,0.0599847199019,0.0599847199019,0.0599847199019,0.105285248323,0.0218139126677,0.361435815596,0.340532654084,0.716316077818
 01/01  15:00:00,0.901597535719,2.96407890317,0.0,2.27767234135,0.0609857529851,0.0609857529851,0.0609857529851,0.110826537357,0.0229620193354,0.331767743197,0.359707482845,0.661628540786
 01/01  16:00:00,0.960941903584,2.88738032488,0.0,2.19353705486,0.0587329909412,0.0587329909412,0.0587329909412,0.138533188893,0.0287025099169,0.339922588697,0.379702625135,0.667687907444
 01/01  17:00:00,1.19099784127,2.85788195633,0.0,2.08898558499,0.0559335759419,0.0559335759419,0.0559335759419,0.23273572157,0.0482202235015,0.389638662656,0.4491216576,0.737959161495
 01/01  18:00:00,1.6300656066,3.41427644315,0.0,2.49890198767,0.0669092812813,0.0669092812813,0.0669092812813,0.432223571359,0.0895518497538,0.480421867651,0.54561103655,0.877790689818
 01/01  19:00:00,1.89188735543,2.75968474947,0.0,1.70315401427,0.0456027533569,0.0456027533569,0.0456027533569,0.642793999216,0.133179675089,0.432594020017,0.592368907752,1.01572610933
 01/01  20:00:00,1.83826144478,2.54668986148,0.0,1.45961645374,0.0390819201185,0.0390819201185,0.0390819201185,0.681583297609,0.141216379006,0.349590650728,0.611441197322,1.04495500995
 01/01  21:00:00,1.70754073796,2.5045078515,0.0,1.49096702909,0.0399213465847,0.0399213465847,0.0399213465847,0.587380696143,0.121698665421,0.310730298291,0.632461731524,0.969974450182
 01/01  22:00:00,1.56751992287,2.59913052239,0.0,1.68690129392,0.045167579091,0.045167579091,0.045167579091,0.493178163466,0.102180951837,0.293949140492,0.617696087987,0.869679969994
 01/01  23:00:00,1.28496780431,2.72189739365,0.0,1.96886182133,0.0527172054196,0.0527172054196,0.0527172054196,0.371268979252,0.0769227476707,0.234174068073,0.534536803897,0.716214641974
 01/01  24:00:00,0.998522469196,2.79969567259,0.0,2.2222795873,0.0595025858263,0.0595025858263,0.0595025858263,0.254901084073,0.05281263592,0.151455627092,0.464502536285,0.545419381954
 01/02  01:00:00,0.716222195034,2.98253484499,0.0,2.6047852346,0.0697443552407,0.0697443552407,0.0697443552407,0.13299183107,0.0275544175015,0.0863692416722,0.38421434955,0.351283463059
 01/02  02:00:00,0.612606134851,3.20245072196,0.0,2.89844241546,0.0776071649912,0.0776071649912,0.0776071649912,0.0775785967864,0.0160734078338,0.0722387554862,0.353760209753,0.27963995628
 01/02  03:00:00,0.573063880851,3.32602441015,0.0,3.04187728272,0.0814477013253,0.0814477013253,0.0814477013253,0.0554132755573,0.0114810068172,0.0597152550472,0.349658642104,0.260061308811
 01/02  04:00:00,0.563730461748,3.43187755813,0.0,3.14244285697,0.0841403920864,0.0841403920864,0.0841403920864,0.0554132755573,0.0114810068172,0.0526110263622,0.344736760925,0.265687920447
 01/02  05:00:00,0.563574789508,3.57506764677,0.0,3.22931798951,0.0864665148026,0.0864665148026,0.0864665148026,0.0554132755573,0.0114810068172,0.0631517086927,0.331714283638,0.322899914376
 01/02  06:00:00,0.615272207773,3.84341521682,0.0,3.24483376682,0.0868819570702,0.0868819570702,0.0868819570702,0.0554132755573,0.0114810068172,0.0759814879778,0.370166480351,0.57308297339
 01/02  07:00:00,0.812157090261,4.26301086806,0.0,3.19334197642,0.0855032400559,0.0855032400559,0.0855032400559,0.127450542036,0.0264063108338,0.129758030703,0.427690966632,1.04020790938
 01/02  08:00:00,1.08579375249,4.15782814287,0.0,2.95729708093,0.0791830264641,0.0791830264641,0.0791830264641,0.260442373107,0.0539607283354,0.207405929039,0.454453695544,1.16922656102
 01/02  09:00:00,1.04819529257,4.10962584513,0.0,2.9474004048,0.0789180382851,0.0789180382851,0.0789180382851,0.24935972625,0.0516645292523,0.268690649238,0.38421434955,1.13575929301
 01/02  10:00:00,0.908369349919,4.12316156908,0.0,3.06749099335,0.0821335205282,0.0821335205282,0.0821335205282,0.127450542036,0.0264063108338,0.330033495679,0.326997480842,1.03314574418
 01/02  11:00:00,0.917419219335,4.4977782809,0.0,3.5632431326,0.0954075182659,0.0954075182659,0.0954075182659,0.105285248323,0.0218139126677,0.344876619894,0.334687920184,0.911480569999
 01/02  12:00:00,0.914356906838,3.66420011908,0.0,2.83840222771,0.0759995605993,0.0759995605993,0.0759995605993,0.105285248323,0.0218139126677,0.361119725873,0.334790459375,0.802736249785
 01/02  13:00:00,0.887690905139,3.14006238876,0.0,2.39947087972,0.0642469663915,0.0642469663915,0.0642469663915,0.105285248323,0.0218139126677,0.3518459739,0.329150803858,0.717918348403
 01/02  14:00:00,0.860060213878,2.90311447314,0.0,2.21219684815,0.059232615722,0.059232615722,0.059232615722,0.105285248323,0.0218139126677,0.317847783081,0.340532654084,0.667460439165
 01/02  15:00:00,0.859726785249,2.81732039188,0.0,2.17514648298,0.0582405746907,0.0582405746907,0.0582405746907,0.110826537357,0.0229620193354,0.292642171022,0.359707482845,0.617395887865
 01/02  16:00:00,0.921249419744,2.74503667425,0.0,2.09518170401,0.0560994799559,0.0560994799559,0.0560994799559,0.138533188893,0.0287025099169,0.302863615842,0.379702625135,0.623699607675
 01/02  17:00:00,1.15456464534,2.78477226566,0.0,2.06974123068,0.0554182992636,0.0554182992636,0.0554182992636,0.23273572157,0.0482202235015,0.353720743409,0.4491216576,0.684093825138
 01/02  18:00:00,1.59847490749,3.48998057178,0.0,2.63937499396,0.0706705123889,0.0706705123889,0.0706705123889,0.432223571359,0.0895518497538,0.445069937436,0.54561103655,0.813021812154
 01/02  19:00:00,1.86317472467,2.88493217219,0.0,1.91221418277,0.051200438135,0.051200438135,0.051200438135,0.642793999216,0.133179675089,0.398283704478,0.592368907752,0.931913363562
 01/02  20:00:00,1.81233772974,2.76368292139,0.0,1.77038740915,0.0474029592677,0.0474029592677,0.0474029592677,0.681583297609,0.141216379006,0.315345896534,0.611441197322,0.951177114451
 01/02  21:00:00,1.68631245181,2.92412314351,0.0,1.99990610413,0.053548430758,0.053548430758,0.053548430758,0.587380696143,0.121698665421,0.275874927963,0.632461731524,0.880650667157
 01/02  22:00:00,1.54626315848,3.06009961364,0.0,2.22284302625,0.0595176721703,0.0595176721703,0.0595176721703,0.493178163466,0.102180951837,0.258342283024,0.617696087987,0.79470732891
 01/02  23:00:00,1.27579130995,3.37696466079,0.0,2.68282560319,0.0718339229784,0.0718339229784,0.0718339229784,0.371268979252,0.0769227476707,0.205880856148,0.534536803897,0.65731812725
