Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.937524024918,8.32839366584,0.0,7.87157873532,0.0,0.216730418982,0.216730418982,0.216730418982,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428305440944
 01/01  02:00:00,0.811607390309,8.44010678497,0.0,8.0771042873,0.0,0.222389212534,0.222389212534,0.222389212534,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.336752767466
 01/01  03:00:00,0.762996587301,8.50407383139,0.0,8.16685596478,0.0,0.22486037103,0.22486037103,0.22486037103,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311272481096
 01/01  04:00:00,0.750521950835,8.55339804307,0.0,8.20963236854,0.0,0.226038145936,0.226038145936,0.226038145936,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318185502662
 01/01  05:00:00,0.752293587098,8.77014109992,0.0,8.35325245406,0.0,0.229992478651,0.229992478651,0.229992478651,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392274768406
 01/01  06:00:00,0.807976371571,9.09114851452,0.0,8.35335673077,0.0,0.229995349731,0.229995349731,0.229995349731,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710324674753
 01/01  07:00:00,1.03052589193,9.46222769626,0.0,8.12308475962,0.0,0.223655205973,0.223655205973,0.223655205973,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30740739325
 01/01  08:00:00,1.36694694791,9.91225780702,0.0,8.39844898425,0.0,0.231236887588,0.231236887588,0.231236887588,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48008743023
 01/01  09:00:00,1.31805854965,9.35252549478,0.0,7.87624008737,0.0,0.216858761316,0.216858761316,0.216858761316,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44777591782
 01/01  10:00:00,1.15110533181,9.26325288074,0.0,7.91880983491,0.0,0.218030846298,0.218030846298,0.218030846298,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32017916478
 01/01  11:00:00,1.18205902968,10.3691262112,0.0,9.18072196474,0.0,0.252775432335,0.252775432335,0.252775432335,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16356971914
 01/01  12:00:00,1.16657862454,9.01142583679,0.0,7.96740843488,0.0,0.219368925391,0.219368925391,0.219368925391,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01917526593
 01/01  13:00:00,1.13422745401,8.45453498917,0.0,7.51982080959,0.0,0.20704536784,0.20704536784,0.20704536784,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910290517559
 01/01  14:00:00,1.08918761354,7.69416353625,0.0,6.82681025999,0.0,0.187964511023,0.187964511023,0.187964511023,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.84208505771
 01/01  15:00:00,1.07750047095,7.23695932521,0.0,6.4317543429,0.0,0.177087323954,0.177087323954,0.177087323954,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.778513952299
 01/01  16:00:00,1.15137480425,7.36073624094,0.0,6.54702011635,0.0,0.180260969319,0.180260969319,0.180260969319,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.785541414175
 01/01  17:00:00,1.41505378878,7.43961543974,0.0,6.53832700817,0.0,0.180021619496,0.180021619496,0.180021619496,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.867962687132
 01/01  18:00:00,1.93957123191,8.86435445931,0.0,7.79316837645,0.0,0.214571524242,0.214571524242,0.214571524242,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03070062941
 01/01  19:00:00,2.25329180368,7.92001004931,0.0,6.68679467831,0.0,0.184109422139,0.184109422139,0.184109422139,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18926038799
 01/01  20:00:00,2.21744659347,7.92660467347,0.0,6.65790261394,0.0,0.183313928703,0.183313928703,0.183313928703,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22333187367
 01/01  21:00:00,2.06733096948,8.04201093391,0.0,6.85825483011,0.0,0.188830283326,0.188830283326,0.188830283326,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13682615137
 01/01  22:00:00,1.90336055991,8.21991161276,0.0,7.1537129121,0.0,0.196965214838,0.196965214838,0.196965214838,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02036438914
 01/01  23:00:00,1.57943225401,8.2463742272,0.0,7.36641794412,0.0,0.202821683059,0.202821683059,0.202821683059,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.840292560321
 01/01  24:00:00,1.25674233003,8.3199197185,0.0,7.64599495921,0.0,0.210519356633,0.210519356633,0.210519356633,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.639457722238
 01/02  01:00:00,0.934756804115,8.45068726868,0.0,8.00982821423,0.0,0.220536881256,0.220536881256,0.220536881256,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.412349564858
 01/02  02:00:00,0.812471766671,8.60667355625,0.0,8.25185279536,0.0,0.227200612971,0.227200612971,0.227200612971,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.328571030688
 01/02  03:00:00,0.766690082721,8.72689659538,0.0,8.39584185941,0.0,0.231165104877,0.231165104877,0.231165104877,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.305109350466
 01/02  04:00:00,0.75633603559,8.80745587187,0.0,8.47038908479,0.0,0.233217634863,0.233217634863,0.233217634863,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311486615218
 01/02  05:00:00,0.754231346119,8.92382747366,0.0,8.5206467433,0.0,0.234601393287,0.234601393287,0.234601393287,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.378566852909
 01/02  06:00:00,0.807025388394,9.1662025042,0.0,8.46760787981,0.0,0.233141059154,0.233141059154,0.233141059154,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.671127515393
 01/02  07:00:00,1.03557287405,9.9419176638,0.0,8.69230468629,0.0,0.239327700316,0.239327700316,0.239327700316,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21787743412
 01/02  08:00:00,1.35398508214,10.1005644053,0.0,8.69625203306,0.0,0.239436383739,0.239436383739,0.239436383739,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37059097969
 01/02  09:00:00,1.28741201749,9.30235212356,0.0,7.94128022853,0.0,0.218649530044,0.218649530044,0.218649530044,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33256240545
 01/02  10:00:00,1.10478588813,9.11023616554,0.0,7.8720161005,0.0,0.216742461082,0.216742461082,0.216742461082,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21395618399
 01/02  11:00:00,1.12397192484,10.0170000301,0.0,8.92027808358,0.0,0.245604556786,0.245604556786,0.245604556786,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07188741913
 01/02  12:00:00,1.09925114602,8.39666985529,0.0,7.42847095903,0.0,0.20453020639,0.20453020639,0.20453020639,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.943356760282
 01/02  13:00:00,1.0667764481,7.67560997489,0.0,6.80648420712,0.0,0.187404868021,0.187404868021,0.187404868021,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.844702105747
 01/02  14:00:00,1.03495758539,7.25087633763,0.0,6.44029641962,0.0,0.177322515384,0.177322515384,0.177322515384,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.785311699464
 01/02  15:00:00,1.02552936654,6.71873663271,0.0,5.96520876598,0.0,0.164241791722,0.164241791722,0.164241791722,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.726836836716
 01/02  16:00:00,1.10966971546,7.14144029164,0.0,6.37827468808,0.0,0.175614853388,0.175614853388,0.175614853388,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.734990893142
 01/02  17:00:00,1.37970452861,7.39774208293,0.0,6.55898052202,0.0,0.180590278575,0.180590278575,0.180590278575,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.80543581647
 01/02  18:00:00,1.90865708752,8.95036583075,0.0,7.95434732267,0.0,0.219009310068,0.219009310068,0.219009310068,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.955533054633
 01/02  19:00:00,2.22923888069,8.19535453823,0.0,7.05933985879,0.0,0.194366814686,0.194366814686,0.194366814686,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09205969643
 01/02  20:00:00,2.19728595649,8.32931519914,0.0,7.16943319691,0.0,0.197398045917,0.197398045917,0.197398045917,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11451181638
 01/02  21:00:00,2.05379369306,8.71259882482,0.0,7.63252110741,0.0,0.210148377234,0.210148377234,0.210148377234,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03314776497
 01/02  22:00:00,1.88636757018,8.80851637938,0.0,7.82976256946,0.0,0.215579082579,0.215579082579,0.215579082579,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.932919498402
 01/02  23:00:00,1.57518517387,9.05060444976,0.0,8.23976567492,0.0,0.226867814842,0.226867814842,0.226867814842,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.771175052071
 01/02  24:00:00,1.26853899279,9.26970357807,0.0,8.63866649556,0.0,0.237850864736,0.237850864736,0.237850864736,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.596570045464
 01/03  01:00:00,0.967257825986,9.63101958215,0.0,9.19025481903,0.0,0.253037903127,0.253037903127,0.253037903127,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.412255273535
 01/03  02:00:00,0.846362788191,9.8369390386,0.0,9.48276373792,0.0,0.261091634491,0.261091634491,0.261091634491,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.327925570471
 01/03  03:00:00,0.801485952725,9.990128287,0.0,9.65961660636,0.0,0.265960974882,0.265960974882,0.265960974882,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.304566295128
 01/03  04:00:00,0.792700565944,10.1277000361,0.0,9.79113706839,0.0,0.269582165217,0.269582165217,0.269582165217,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310982795885
 01/03  05:00:00,0.788555534978,10.1700966991,0.0,9.76729018356,0.0,0.268925582146,0.268925582146,0.268925582146,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.378192638112
 01/03  06:00:00,0.839765388809,10.3553680585,0.0,9.65671410805,0.0,0.265881059569,0.265881059569,0.265881059569,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.67118684147
 01/03  07:00:00,1.05503907081,10.6500669529,0.0,9.3993106581,0.0,0.258793897079,0.258793897079,0.258793897079,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21902075137
 01/03  08:00:00,1.35964983195,10.3079345625,0.0,8.90199391437,0.0,0.245101133548,0.245101133548,0.245101133548,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.3722192556
 01/03  09:00:00,1.31230974079,10.2085139774,0.0,8.84555748783,0.0,0.243547253344,0.243547253344,0.243547253344,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33444699998
 01/03  10:00:00,1.12916184055,9.99692197033,0.0,8.75734281035,0.0,0.241118413507,0.241118413507,0.241118413507,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21531527893
 01/03  11:00:00,1.15077684209,10.9915656978,0.0,9.89382401043,0.0,0.272409474035,0.272409474035,0.272409474035,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07290716003
 01/03  12:00:00,1.12855687503,9.46165234872,0.0,8.49284556048,0.0,0.233835935403,0.233835935403,0.233835935403,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.943964652261
 01/03  13:00:00,1.09847531711,8.82695359701,0.0,7.95777687932,0.0,0.219103737029,0.219103737029,0.219103737029,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.844753055674
