Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.83973300492,7.36378612218,0.0,6.97210786933,0.186681482049,0.186681482049,0.186681482049,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365212105519
 01/01  02:00:00,0.747543214573,8.10207374748,0.0,7.79060840726,0.208597220638,0.208597220638,0.208597220638,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.287096989998
 01/01  03:00:00,0.716646738819,8.59651431784,0.0,8.30683086656,0.222419320866,0.222419320866,0.222419320866,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265597632649
 01/01  04:00:00,0.712097580848,8.92796925516,0.0,8.63260611369,0.231142107014,0.231142107014,0.231142107014,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.27161636076
 01/01  05:00:00,0.719006186801,9.29220829971,0.0,8.9345484785,0.23922675648,0.23922675648,0.23922675648,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334810078317
 01/01  06:00:00,0.776109671386,9.73125363767,0.0,9.09872752761,0.243622728083,0.243622728083,0.243622728083,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.607027633458
 01/01  07:00:00,0.98000936157,10.2126593652,0.0,9.06538623221,0.242729999147,0.242729999147,0.242729999147,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11781215079
 01/01  08:00:00,1.28903380226,11.0524675833,0.0,9.75750157088,0.261261714317,0.261261714317,0.261261714317,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26366151152
 01/01  09:00:00,1.24009525012,10.1639269739,0.0,8.90295009873,0.238380694933,0.238380694933,0.238380694933,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23451072782
 01/01  10:00:00,1.08733964285,9.21659854557,0.0,8.06980177624,0.216072754992,0.216072754992,0.216072754992,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12427193778
 01/01  11:00:00,1.09672026862,9.37101714265,0.0,8.35810978964,0.223792338257,0.223792338257,0.223792338257,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989852774712
 01/01  12:00:00,1.06161230629,7.26859601159,0.0,6.37771008385,0.17076620053,0.17076620053,0.17076620053,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.86782428616
 01/01  13:00:00,0.996307887944,5.46748916889,0.0,4.67044768014,0.125053443105,0.125053443105,0.125053443105,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.774368328113
 01/01  14:00:00,0.950206297612,4.69090926886,0.0,3.95102895791,0.105790666941,0.105790666941,0.105790666941,0.105285248323,0.0218139126677,0.361435815596,0.340532654084,0.716423125131
 01/01  15:00:00,0.936803669848,4.27901725926,0.0,3.59253743729,0.0961918871136,0.0961918871136,0.0961918871136,0.110826537357,0.0229620193354,0.331767743197,0.359707482845,0.661701800923
 01/01  16:00:00,0.998334226446,4.28391578797,0.0,3.590051083,0.0961253138029,0.0961253138029,0.0961253138029,0.138533188893,0.0287025099169,0.339922588697,0.379702625135,0.667709342391
 01/01  17:00:00,1.23857293597,4.6347170392,0.0,3.8658018417,0.103508670641,0.103508670641,0.103508670641,0.23273572157,0.0482202235015,0.389638662656,0.4491216576,0.737977987648
 01/01  18:00:00,1.71179978018,6.46675237996,0.0,5.55147832581,0.14864345487,0.14864345487,0.14864345487,0.432223571359,0.0895518497538,0.480421867651,0.54561103655,0.877690288484
 01/01  19:00:00,1.97571983358,5.89066655997,0.0,4.83409702032,0.129435231502,0.129435231502,0.129435231502,0.642793999216,0.133179675089,0.432594020017,0.592368907752,1.01576491379
 01/01  20:00:00,1.92705729878,5.86306145855,0.0,4.77592970374,0.12787777412,0.12787777412,0.12787777412,0.681583297609,0.141216379006,0.349590650728,0.611441197322,1.04501335702
 01/01  21:00:00,1.80264087114,6.05633050309,0.0,5.04273006208,0.13502147976,0.13502147976,0.13502147976,0.587380696143,0.121698665421,0.310730298291,0.632461731524,0.970034068788
 01/01  22:00:00,1.66795167609,6.35009284179,0.0,5.43778761223,0.145599332303,0.145599332303,0.145599332303,0.493178163466,0.102180951837,0.293949140492,0.617696087987,0.869755971084
 01/01  23:00:00,1.39012875168,6.64950438551,0.0,5.89637225603,0.157878152791,0.157878152791,0.157878152791,0.371268979252,0.0769227476707,0.234174068073,0.534536803897,0.716311199138
 01/01  24:00:00,1.10928578213,6.93655568925,0.0,6.35902500652,0.170265898757,0.170265898757,0.170265898757,0.254901084073,0.05281263592,0.151455627092,0.464502536285,0.545533979389
 01/02  01:00:00,0.828167554018,7.16358308446,0.0,6.78567725314,0.181689714225,0.181689714225,0.181689714225,0.13299183107,0.0275544175015,0.0863692416722,0.38421434955,0.351439683994
 01/02  02:00:00,0.725728213244,7.42746066274,0.0,7.12328209588,0.190729243384,0.190729243384,0.190729243384,0.0775785967864,0.0160734078338,0.0722387554862,0.353760209753,0.279810216638
 01/02  03:00:00,0.688600374981,7.64123422529,0.0,7.3568896293,0.196984195455,0.196984195455,0.196984195455,0.0554132755573,0.0114810068172,0.0597152550472,0.349658642104,0.260258777373
 01/02  04:00:00,0.680144781721,7.7798664336,0.0,7.490239904,0.20055471206,0.20055471206,0.20055471206,0.0554132755573,0.0114810068172,0.0526110263622,0.344736760925,0.265879748886
 01/02  05:00:00,0.679528944692,7.90585337185,0.0,7.55992897976,0.202420669986,0.202420669986,0.202420669986,0.0554132755573,0.0114810068172,0.0631517086927,0.331714283638,0.323074649199
 01/02  06:00:00,0.729520790341,8.11050223477,0.0,7.51174568992,0.201130539638,0.201130539638,0.201130539638,0.0554132755573,0.0114810068172,0.0759814879778,0.370166480351,0.573258068238
 01/02  07:00:00,0.921386132548,8.3426306735,0.0,7.27278604836,0.194732282343,0.194732282343,0.194732282343,0.127450542036,0.0264063108338,0.129758030703,0.427690966632,1.04038364288
 01/02  08:00:00,1.21665448162,9.04530091954,0.0,7.84463303586,0.210043755592,0.210043755592,0.210043755592,0.260442373107,0.0539607283354,0.207405929039,0.454453695544,1.16936338275
 01/02  09:00:00,1.16317976073,8.40411369976,0.0,7.24179589844,0.193902506438,0.193902506438,0.193902506438,0.24935972625,0.0516645292523,0.268690649238,0.38421434955,1.13585165399
 01/02  10:00:00,1.0175688602,8.20162567536,0.0,7.14583211546,0.191333030812,0.191333030812,0.191333030812,0.127450542036,0.0264063108338,0.330033495679,0.326997480842,1.03326872834
 01/02  11:00:00,1.04738870437,9.35191412054,0.0,8.41729324756,0.225377003303,0.225377003303,0.225377003303,0.105285248323,0.0218139126677,0.344876619894,0.334687920184,0.911566294687
 01/02  12:00:00,1.02782251228,7.90196026076,0.0,7.07607182346,0.189465166037,0.189465166037,0.189465166037,0.105285248323,0.0218139126677,0.361119725873,0.334790459375,0.802826795712
 01/02  13:00:00,0.993624692816,7.09652065279,0.0,6.35584505556,0.170180754068,0.170180754068,0.170180754068,0.105285248323,0.0218139126677,0.3518459739,0.329150803858,0.718002436592
 01/02  14:00:00,0.95948423393,6.61644588505,0.0,5.92544673772,0.158656635774,0.158656635774,0.158656635774,0.105285248323,0.0218139126677,0.317847783081,0.340532654084,0.667541961505
 01/02  15:00:00,0.955402578749,6.39058616368,0.0,5.74840905536,0.15391636819,0.15391636819,0.15391636819,0.110826537357,0.0229620193354,0.292642171022,0.359707482845,0.617399087285
