Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.908776196897,7.28695873346,0.0,6.82746691751,0.0,0.187982590961,0.187982590961,0.187982590961,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.430982326364
 01/01  02:00:00,0.795988727811,7.87514768886,0.0,7.50983951582,0.0,0.206770550036,0.206770550036,0.206770550036,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.339058442843
 01/01  03:00:00,0.753227534835,8.15105742402,0.0,7.81204713816,0.0,0.215091318564,0.215091318564,0.215091318564,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.313064900353
 01/01  04:00:00,0.746399433943,8.40494846124,0.0,8.05990388809,0.0,0.221915629045,0.221915629045,0.221915629045,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319464401283
 01/01  05:00:00,0.748876042075,8.64725200445,0.0,8.22912832391,0.0,0.226574933628,0.226574933628,0.226574933628,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393509803086
 01/01  06:00:00,0.788175659432,8.37236927166,0.0,7.63420126862,0.0,0.210194637592,0.210194637592,0.210194637592,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710700894036
 01/01  07:00:00,1.02001836549,9.08107415142,0.0,7.74145479736,0.0,0.213147679542,0.213147679542,0.213147679542,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30788381067
 01/01  08:00:00,1.32393659448,8.35058790454,0.0,6.83632685549,0.0,0.188226534157,0.188226534157,0.188226534157,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48053965651
 01/01  09:00:00,1.28059851269,7.99260877039,0.0,6.51570365809,0.0,0.179398724356,0.179398724356,0.179398724356,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44839562272
 01/01  10:00:00,1.11224809026,7.8533013378,0.0,6.50752738679,0.0,0.17917360475,0.17917360475,0.17917360475,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32151006996
 01/01  11:00:00,1.10006875965,7.39233640961,0.0,6.20286186956,0.0,0.170785162301,0.170785162301,0.170785162301,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16464001269
 01/01  12:00:00,1.10797275686,6.8853459052,0.0,5.83886227159,0.0,0.160763057711,0.160763057711,0.160763057711,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02164149764
 01/01  13:00:00,1.06550093087,5.96025298425,0.0,5.02369571266,0.0,0.138318844701,0.138318844701,0.138318844701,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.912133609583
 01/01  14:00:00,1.01360886742,4.95124243633,0.0,4.08181463986,0.0,0.112385764896,0.112385764896,0.112385764896,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.844159577922
 01/01  15:00:00,1.00202770087,4.49778021537,0.0,3.69060773842,0.0,0.101614553871,0.101614553871,0.101614553871,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.780481446937
