Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.77908883411,5.09879718394,0.0,4.70719280711,0.12603731124,0.12603731124,0.12603731124,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365138229503
 01/01  02:00:00,0.670315204176,5.21776014002,0.0,4.90632651108,0.13136921024,0.13136921024,0.13136921024,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.28706527872
 01/01  03:00:00,0.627177302352,5.25498203796,0.0,4.96536091887,0.132949884399,0.132949884399,0.132949884399,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265535300471
 01/01  04:00:00,0.612765782009,5.21808184254,0.0,4.92280046636,0.131810308176,0.131810308176,0.131810308176,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271534595474
 01/01  05:00:00,0.608772791691,5.17517001899,0.0,4.81759422534,0.12899336137,0.12899336137,0.12899336137,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334726050752
 01/01  06:00:00,0.660774960558,5.4236607624,0.0,4.79125130585,0.128288017255,0.128288017255,0.128288017255,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.606910979944
 01/01  07:00:00,0.871804927618,6.17133173512,0.0,5.02420883651,0.134525565195,0.134525565195,0.134525565195,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11766191636
 01/01  08:00:00,1.163223636,6.3535650812,0.0,5.05879208655,0.135451548053,0.135451548053,0.135451548053,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26346849373
 01/01  09:00:00,1.12240780611,5.76834560338,0.0,4.50760490727,0.120693250929,0.120693250929,0.120693250929,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23427454878
 01/01  10:00:00,0.97494362829,5.01874658854,0.0,3.8720788474,0.103676740434,0.103676740434,0.103676740434,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12414290959
 01/01  11:00:00,0.994920449258,5.56890184719,0.0,4.55612946546,0.1219925189,0.1219925189,0.1219925189,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989717803434
 01/01  12:00:00,0.982552606326,4.31578659696,0.0,3.42501895348,0.0917065005684,0.0917065005684,0.0917065005684,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.867706001889
 01/01  13:00:00,0.954057053546,3.88944709638,0.0,3.09247984018,0.0828026087076,0.0828026087076,0.0828026087076,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.774294095561
 01/01  14:00:00,0.924099390175,3.71579735243,0.0,2.97599826508,0.0796837595047,0.0796837595047,0.0796837595047,0.105285248323,0.0218139126677,0.361435815596,0.340532654084,0.716341901523
 01/01  15:00:00,0.919410683076,3.62928767655,0.0,2.94295088694,0.0787989003423,0.0787989003423,0.0787989003423,0.110826537357,0.0229620193354,0.331767743197,0.359707482845,0.66155876857
 01/01  16:00:00,0.981268089163,3.6464742724,0.0,2.95267158107,0.07905917652,0.07905917652,0.07905917652,0.138533188893,0.0287025099169,0.339922588697,0.379702625135,0.667647328762
 01/01  17:00:00,1.2225352072,4.03574469569,0.0,3.26683094348,0.0874709418675,0.0874709418675,0.0874709418675,0.23273572157,0.0482202235015,0.389638662656,0.4491216576,0.737976542367
 01/01  18:00:00,1.68361186551,5.41404946225,0.0,4.49872697845,0.120455540191,0.120455540191,0.120455540191,0.432223571359,0.0895518497538,0.480421867651,0.54561103655,0.877738718138
 01/01  19:00:00,1.94345057793,4.68544388525,0.0,3.62891732719,0.0971659758527,0.0971659758527,0.0971659758527,0.642793999216,0.133179675089,0.432594020017,0.592368907752,1.01572193219
 01/01  20:00:00,1.89349943833,4.60969695122,0.0,3.52262369617,0.0943199136655,0.0943199136655,0.0943199136655,0.681583297609,0.141216379006,0.349590650728,0.611441197322,1.04495485726
 01/01  21:00:00,1.7681481824,4.76803389597,0.0,3.75451044876,0.100528791017,0.100528791017,0.100528791017,0.587380696143,0.121698665421,0.310730298291,0.632461731524,0.969957074989
 01/01  22:00:00,1.63171967588,4.99682883558,0.0,4.0846088665,0.109367332101,0.109367332101,0.109367332101,0.493178163466,0.102180951837,0.293949140492,0.617696087987,0.869670710606
 01/01  23:00:00,1.35258268602,5.2471616592,0.0,4.49411630112,0.120332087127,0.120332087127,0.120332087127,0.371268979252,0.0769227476707,0.234174068073,0.534536803897,0.716224427731
 01/01  24:00:00,1.07020866625,5.47698993819,0.0,4.8995879796,0.131188782877,0.131188782877,0.131188782877,0.254901084073,0.05281263592,0.151455627092,0.464502536285,0.545405255256
 01/02  01:00:00,0.788680668356,5.68871770325,0.0,5.31093630272,0.142202828562,0.142202828562,0.142202828562,0.13299183107,0.0275544175015,0.0863692416722,0.38421434955,0.3513152532
 01/02  02:00:00,0.68555384874,5.92692260502,0.0,5.62286545127,0.15055487888,0.15055487888,0.15055487888,0.0775785967864,0.0160734078338,0.0722387554862,0.353760209753,0.279688803528
 01/02  03:00:00,0.647221131698,6.09569805132,0.0,5.81147363756,0.155604952173,0.155604952173,0.155604952173,0.0554132755573,0.0114810068172,0.0597152550472,0.349658642104,0.260138595132
 01/02  04:00:00,0.639480096278,6.26102981532,0.0,5.97151094239,0.159890026616,0.159890026616,0.159890026616,0.0554132755573,0.0114810068172,0.0526110263622,0.344736760925,0.265772092219
 01/02  05:00:00,0.640168255252,6.4357369075,0.0,6.08990115712,0.163059980547,0.163059980547,0.163059980547,0.0554132755573,0.0114810068172,0.0631517086927,0.331714283638,0.32298600749
 01/02  06:00:00,0.691572363051,6.69313326043,0.0,6.09446248845,0.163182112348,0.163182112348,0.163182112348,0.0554132755573,0.0114810068172,0.0759814879778,0.370166480351,0.573172295378
