Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.942789553001,8.41928680383,0.0,7.9628587291,0.0,0.221995947065,0.221995947065,0.221995947065,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.427918585148
 01/01  02:00:00,0.803560255231,8.05652128936,0.0,7.69394565613,0.0,0.214342077456,0.214342077456,0.214342077456,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.336325903024
 01/01  03:00:00,0.755324464609,8.13617357478,0.0,7.7997291765,0.0,0.217188248338,0.217188248338,0.217188248338,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310499012769
 01/01  04:00:00,0.748298645354,8.37470691225,0.0,8.03110270129,0.0,0.223814840455,0.223814840455,0.223814840455,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318024039086
 01/01  05:00:00,0.748139016395,8.52078604763,0.0,8.10395644278,0.0,0.225837907948,0.225837907948,0.225837907948,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392215727406
 01/01  06:00:00,0.805651771463,8.90813049143,0.0,8.17060239302,0.0,0.227670749623,0.227670749623,0.227670749623,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710060989409
 01/01  07:00:00,1.04701141868,9.95339280899,0.0,8.61444708054,0.0,0.240140732724,0.240140732724,0.240140732724,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30721018507
 01/01  08:00:00,1.35852741173,9.5120081631,0.0,7.9985151069,0.0,0.222817351408,0.222817351408,0.222817351408,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47977166366
 01/01  09:00:00,1.32166756048,9.39695268393,0.0,7.92145211192,0.0,0.220467772141,0.220467772141,0.220467772141,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44699108242
 01/01  10:00:00,1.13883752834,8.73562647946,0.0,7.39144268882,0.0,0.205763042832,0.205763042832,0.205763042832,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31991990959
 01/01  11:00:00,1.17473709872,9.9834475918,0.0,8.79516481689,0.0,0.245453501374,0.245453501374,0.245453501374,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16344824756
 01/01  12:00:00,1.15701456971,8.58539441443,0.0,7.54157296331,0.0,0.209804870561,0.209804870561,0.209804870561,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01897931515
 01/01  13:00:00,1.1225350616,7.95277283511,0.0,7.01823849715,0.0,0.19535297543,0.19535297543,0.19535297543,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910110675944
 01/01  14:00:00,1.07630082501,7.16113778951,0.0,6.2937086802,0.0,0.175077722488,0.175077722488,0.175077722488,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.842160890755
 01/01  15:00:00,1.06045534205,6.55929549275,0.0,5.75416157832,0.0,0.160042195057,0.160042195057,0.160042195057,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.77844288441
 01/01  16:00:00,1.14695416997,7.12459874015,0.0,6.31019870499,0.0,0.17584033504,0.17584033504,0.17584033504,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.786225324738
 01/01  17:00:00,1.41165174176,7.24404166285,0.0,6.34273158247,0.0,0.176619572469,0.176619572469,0.176619572469,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.867984335947
 01/01  18:00:00,1.93798709654,8.70382299436,0.0,7.63276535702,0.0,0.212987388881,0.212987388881,0.212987388881,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03057218389
 01/01  19:00:00,2.24976045531,7.72804734265,0.0,6.49491734391,0.0,0.180578073763,0.180578073763,0.180578073763,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18917501573
 01/01  20:00:00,2.21435212904,7.74244073265,0.0,6.47413877774,0.0,0.180219464275,0.180219464275,0.180219464275,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22293176906
 01/01  21:00:00,2.06505171433,7.88099096757,0.0,6.6972447567,0.0,0.186551028182,0.186551028182,0.186551028182,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13681625844
 01/01  22:00:00,1.89729966037,7.91978005992,0.0,6.85376687366,0.0,0.1909043153,0.1909043153,0.1909043153,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02017887475
 01/01  23:00:00,1.57655015526,8.05791873492,0.0,7.17834234732,0.0,0.199939584308,0.199939584308,0.199939584308,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.839912664836
 01/01  24:00:00,1.26090859497,8.37532901727,0.0,7.70186246888,0.0,0.21468562158,0.21468562158,0.21468562158,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.638999511344
 01/02  01:00:00,0.936382278597,8.41030095851,0.0,7.96996338909,0.0,0.222162355737,0.222162355737,0.222162355737,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411828079844
 01/02  02:00:00,0.810934592247,8.45124154717,0.0,8.09723976308,0.0,0.225663438548,0.225663438548,0.225663438548,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.327752053891
 01/02  03:00:00,0.766210484552,8.60709864606,0.0,8.27674075496,0.0,0.230685506708,0.230685506708,0.230685506708,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.304412505591
 01/02  04:00:00,0.756687046705,8.71588345795,0.0,8.37957389065,0.0,0.233568645978,0.233568645978,0.233568645978,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310729395425
 01/02  05:00:00,0.757519283282,8.93674005744,0.0,8.53424844531,0.0,0.23788933045,0.23788933045,0.23788933045,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.377877734673
 01/02  06:00:00,0.807528447652,9.08116565405,0.0,8.38339309384,0.0,0.233644118412,0.233644118412,0.233644118412,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.670305451211
 01/02  07:00:00,1.02690273197,9.5266305511,0.0,8.27766808068,0.0,0.230657558235,0.230657558235,0.230657558235,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21722692704
 01/02  08:00:00,1.3250542063,8.96262722327,0.0,7.55869703685,0.0,0.210505507897,0.210505507897,0.210505507897,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37020879388
 01/02  09:00:00,1.27108652631,8.6286487767,0.0,7.26744571516,0.0,0.202324038868,0.202324038868,0.202324038868,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33269357196
 01/02  10:00:00,1.09435656353,8.64435611254,0.0,7.40590027279,0.0,0.206313136491,0.206313136491,0.206313136491,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21419195871
 01/02  11:00:00,1.11752554351,9.66919824248,0.0,8.57242803323,0.0,0.239158175453,0.239158175453,0.239158175453,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07193568189
 01/02  12:00:00,1.10400062608,8.48375760985,0.0,7.51593113378,0.0,0.209279686456,0.209279686456,0.209279686456,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.942984340094
 01/02  13:00:00,1.07430964739,7.87182368426,0.0,7.00345149627,0.0,0.194938067313,0.194938067313,0.194938067313,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.843948525981
 01/02  14:00:00,1.04163987331,7.41941586254,0.0,6.60965243881,0.0,0.184004803299,0.184004803299,0.184004803299,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.784495205176
 01/02  15:00:00,1.02290859849,6.564229078,0.0,5.81150712887,0.0,0.161621023673,0.161621023673,0.161621023673,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.72603091911
 01/02  16:00:00,1.10274921306,6.82889354459,0.0,6.06725818395,0.0,0.168694350988,0.168694350988,0.168694350988,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.733460650223
 01/02  17:00:00,1.37105458494,7.00956413024,0.0,6.17151777646,0.0,0.171940334898,0.171940334898,0.171940334898,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.804720609346
 01/02  18:00:00,1.88691400272,8.06862530245,0.0,7.07336401863,0.0,0.197266225274,0.197266225274,0.197266225274,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.954775830368
 01/02  19:00:00,2.20318035513,7.18420351665,0.0,6.04847057249,0.0,0.168308289128,0.168308289128,0.168308289128,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09177796115
 01/02  20:00:00,2.16071852767,6.94035916775,0.0,5.78090379122,0.0,0.160830617103,0.160830617103,0.160830617103,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11408519067
 01/02  21:00:00,2.01160961519,7.11080666999,0.0,6.0312596776,0.0,0.167964299369,0.167964299369,0.167964299369,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03261703997
 01/02  22:00:00,1.84167738256,7.11394272943,0.0,6.13506171235,0.0,0.170888894957,0.170888894957,0.170888894957,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.933046705563
 01/02  23:00:00,1.52451832451,7.13799367827,0.0,6.32649686163,0.0,0.176200965485,0.176200965485,0.176200965485,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.771833093871
 01/02  24:00:00,1.22341199204,7.54531378572,0.0,6.91374742527,0.0,0.192723863983,0.192723863983,0.192723863983,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.597099323404
 01/03  01:00:00,0.915815642897,7.67144026698,0.0,7.22970001029,0.0,0.201595720038,0.201595720038,0.201595720038,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.413230767108
 01/03  02:00:00,0.795753594429,7.90785602254,0.0,7.55280081897,0.0,0.21048244073,0.21048244073,0.21048244073,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.328805473358
 01/03  03:00:00,0.751009500879,8.06207585274,0.0,7.73107790281,0.0,0.215484523035,0.215484523035,0.215484523035,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.305052564423
 01/03  04:00:00,0.748237887118,8.4120439422,0.0,8.075201805,0.0,0.225119486391,0.225119486391,0.225119486391,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311261965332
 01/03  05:00:00,0.735002229443,8.13105860732,0.0,7.72824870166,0.0,0.215372276611,0.215372276611,0.215372276611,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.378196028211
 01/03  06:00:00,0.787845664223,8.38086671357,0.0,7.68216799438,0.0,0.213961334983,0.213961334983,0.213961334983,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.671231610197
 01/03  07:00:00,1.00161993036,8.62019922043,0.0,7.36888219791,0.0,0.20537475662,0.20537475662,0.20537475662,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21958147913
 01/03  08:00:00,1.32186396797,8.84958543635,0.0,7.44299884987,0.0,0.207315269572,0.207315269572,0.207315269572,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37286519395
 01/03  09:00:00,1.26026959557,8.23490560631,0.0,6.87132349955,0.0,0.191507108122,0.191507108122,0.191507108122,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33507261718
 01/03  10:00:00,1.07646751208,8.00711373675,0.0,6.76687754337,0.0,0.18842408504,0.18842408504,0.18842408504,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21597231233
 01/03  11:00:00,1.0669846143,7.8689721916,0.0,6.77029450249,0.0,0.18861724624,0.18861724624,0.18861724624,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07384316175
 01/03  12:00:00,1.03320447625,5.96184919264,0.0,4.99123998788,0.0,0.138483536625,0.138483536625,0.138483536625,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.945767068785
 01/03  13:00:00,1.00687267365,5.45914666567,0.0,4.58753380533,0.0,0.12750109357,0.12750109357,0.12750109357,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.847189198328
 01/03  14:00:00,0.961847471748,4.56798900918,0.0,3.75465767934,0.0,0.10421240174,0.10421240174,0.10421240174,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.788063111286
 01/03  15:00:00,0.962013233331,4.38164871753,0.0,3.62522559352,0.0,0.100725658509,0.100725658509,0.100725658509,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.729732093992
 01/03  16:00:00,1.05699684467,5.17632861857,0.0,4.41047249104,0.0,0.12294198259,0.12294198259,0.12294198259,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.737681417114
