Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.764288031636,4.54604781781,0.0,4.15441815443,0.111236508765,0.111236508765,0.111236508765,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365163516051
 01/01  02:00:00,0.657504808341,4.73933488416,0.0,4.42788879659,0.118558814406,0.118558814406,0.118558814406,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.287077737347
 01/01  03:00:00,0.619499932694,4.96828609503,0.0,4.67862948295,0.125272514741,0.125272514741,0.125272514741,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265570793455
 01/01  04:00:00,0.609672074508,5.10254492765,0.0,4.80725787381,0.128716600674,0.128716600674,0.128716600674,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271540273126
 01/01  05:00:00,0.609854211793,5.21556063542,0.0,4.85798268554,0.130074781472,0.130074781472,0.130074781472,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334728206991
 01/01  06:00:00,0.660996068783,5.43196723186,0.0,4.79950917039,0.12850912548,0.12850912548,0.12850912548,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.60695958486
 01/01  07:00:00,0.877972348328,6.40177473551,0.0,5.25454728248,0.140692985905,0.140692985905,0.140692985905,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11776647078
 01/01  08:00:00,1.16892186806,6.56648467207,0.0,5.27160745632,0.14114978012,0.14114978012,0.14114978012,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26357271483
 01/01  09:00:00,1.12699022857,5.93965206275,0.0,4.67874745073,0.125275673384,0.125275673384,0.125275673384,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23443846469
 01/01  10:00:00,0.9786446297,5.15709598964,0.0,4.01030241822,0.107377741844,0.107377741844,0.107377741844,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12426873986
