Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.792545568381,5.60144797263,0.0,5.20976971983,0.139494045511,0.139494045511,0.139494045511,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365212105472
 01/01  02:00:00,0.686287726322,5.81432743764,0.0,5.50286209742,0.147341732387,0.147341732387,0.147341732387,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.287096989998
 01/01  03:00:00,0.650068650613,6.1099816012,0.0,5.82029814992,0.15584123266,0.15584123266,0.15584123266,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265597632649
 01/01  04:00:00,0.644879150825,6.41752129971,0.0,6.12215815825,0.163923676991,0.163923676991,0.163923676991,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.27161636076
 01/01  05:00:00,0.647832159639,6.63402826955,0.0,6.27636840934,0.168052729318,0.168052729318,0.168052729318,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.33481011732
 01/01  06:00:00,0.701042411507,6.92767070833,0.0,6.29514450703,0.168555468204,0.168555468204,0.168555468204,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.607027724696
 01/01  07:00:00,0.898057524709,7.15195383892,0.0,6.00468069026,0.160778162286,0.160778162286,0.160778162286,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.1178121664
 01/01  08:00:00,1.20079250118,7.756865563,0.0,6.46189954905,0.173020413235,0.173020413235,0.173020413235,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26366151302
 01/01  09:00:00,1.16206946571,7.24985012247,0.0,5.98887324724,0.160354910531,0.160354910531,0.160354910531,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.2345107279
 01/01  10:00:00,1.02511896575,6.89280473536,0.0,5.74600796603,0.153852077889,0.153852077889,0.153852077889,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12427193778
 01/01  11:00:00,1.04920453781,7.59637873271,0.0,6.58351063257,0.176276607449,0.176276607449,0.176276607449,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989813521848
 01/01  12:00:00,1.0326676957,6.18755682364,0.0,5.29669794988,0.141821589938,0.141821589938,0.141821589938,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.867797232172
 01/01  13:00:00,0.993196616523,5.35127847786,0.0,4.55424911711,0.121942171684,0.121942171684,0.121942171684,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.774356200107
 01/01  14:00:00,0.961321145531,5.10603138042,0.0,4.3661420039,0.11690551486,0.11690551486,0.11690551486,0.105285248323,0.0218139126677,0.361435815596,0.340532654084,0.716432190698
 01/01  15:00:00,0.955989619919,4.9955357705,0.0,4.30908688829,0.115377837185,0.115377837185,0.115377837185,0.110826537357,0.0229620193354,0.331767743197,0.359707482845,0.661670861172
 01/01  16:00:00,1.02223353751,5.17652314016,0.0,4.48263331927,0.120024624863,0.120024624863,0.120024624863,0.138533188893,0.0287025099169,0.339922588697,0.379702625135,0.66773445832
 01/01  17:00:00,1.25854946414,5.3808337137,0.0,4.61187749824,0.123485198814,0.123485198814,0.123485198814,0.23273572157,0.0482202235015,0.389638662656,0.4491216576,0.73801900561
 01/01  18:00:00,1.71908479374,6.73895855155,0.0,5.82355619746,0.155928468422,0.155928468422,0.155928468422,0.432223571359,0.0895518497538,0.480421867651,0.54561103655,0.877818588422
 01/01  19:00:00,1.97235011816,5.76477987498,0.0,4.70824619079,0.126065516085,0.126065516085,0.126065516085,0.642793999216,0.133179675089,0.432594020017,0.592368907752,1.01572905832
 01/01  20:00:00,1.91728488555,5.49806462718,0.0,4.41095338978,0.118105360887,0.118105360887,0.118105360887,0.681583297609,0.141216379006,0.349590650728,0.611441197322,1.04499283961
 01/01  21:00:00,1.78703860464,5.47362370153,0.0,4.46002264067,0.119419213262,0.119419213262,0.119419213262,0.587380696143,0.121698665421,0.310730298291,0.632461731524,0.970034688639
 01/01  22:00:00,1.64608088846,5.53327159602,0.0,4.62096588568,0.123728544682,0.123728544682,0.123728544682,0.493178163466,0.102180951837,0.293949140492,0.617696087987,0.869756451863
 01/01  23:00:00,1.36457292787,5.69505552633,0.0,4.94192322156,0.13232232898,0.13232232898,0.13232232898,0.371268979252,0.0769227476707,0.234174068073,0.534536803897,0.716311374421
 01/01  24:00:00,1.0801119105,5.84698120381,0.0,5.26945051986,0.141092027127,0.141092027127,0.141092027127,0.254901084073,0.05281263592,0.151455627092,0.464502536285,0.545533980608
 01/02  01:00:00,0.798168886325,6.04320443323,0.0,5.66529860177,0.151691046531,0.151691046531,0.151691046531,0.13299183107,0.0275544175015,0.0863692416722,0.38421434955,0.351439684131
 01/02  02:00:00,0.694809218637,6.27270999736,0.0,5.96853143048,0.159810248777,0.159810248777,0.159810248777,0.0775785967864,0.0160734078338,0.0722387554862,0.353760209753,0.279810216654
 01/02  03:00:00,0.656215546981,6.43173818064,0.0,6.14739358464,0.164599367455,0.164599367455,0.164599367455,0.0554132755573,0.0114810068172,0.0597152550472,0.349658642104,0.260258777375
 01/02  04:00:00,0.648045401562,6.58103118464,0.0,6.29140465504,0.1684553319,0.1684553319,0.1684553319,0.0554132755573,0.0114810068172,0.0526110263622,0.344736760925,0.265879748887
 01/02  05:00:00,0.647438238699,6.70734208229,0.0,6.3614176902,0.170329963993,0.170329963993,0.170329963993,0.0554132755573,0.0114810068172,0.0631517086927,0.331714283638,0.323074649199
 01/02  06:00:00,0.69787623182,6.92865348864,0.0,6.32989694379,0.169485981117,0.169485981117,0.169485981117,0.0554132755573,0.0114810068172,0.0759814879778,0.370166480351,0.573258068238
 01/02  07:00:00,0.890369668782,7.18423976761,0.0,6.11439514247,0.163715818576,0.163715818576,0.163715818576,0.127450542036,0.0264063108338,0.129758030703,0.427690966632,1.04038364288
 01/02  08:00:00,1.18427753667,7.83609928817,0.0,6.63543140449,0.177666810646,0.177666810646,0.177666810646,0.260442373107,0.0539607283354,0.207405929039,0.454453695544,1.16936338275
 01/02  09:00:00,1.13810045706,7.46746155563,0.0,6.30514375431,0.168823202774,0.168823202774,0.168823202774,0.24935972625,0.0516645292523,0.268690649238,0.38421434955,1.13585165399
 01/02  10:00:00,0.992853448419,7.2785641033,0.0,6.22277046467,0.166617619028,0.166617619028,0.166617619028,0.127450542036,0.0264063108338,0.330033495679,0.326997480842,1.03326880707
 01/02  11:00:00,1.01778188366,8.24620901843,0.0,7.3115491459,0.195770182592,0.195770182592,0.195770182592,0.105285248323,0.0218139126677,0.344876619894,0.334687920184,0.911605294237
 01/02  12:00:00,1.00132023574,6.91218179506,0.0,6.08627503837,0.162962889504,0.162962889504,0.162962889504,0.105285248323,0.0218139126677,0.361119725873,0.334790459375,0.802845115105
 01/02  13:00:00,0.971579572299,6.27319811917,0.0,5.53251241137,0.148135633551,0.148135633551,0.148135633551,0.105285248323,0.0218139126677,0.3518459739,0.329150803858,0.718012547166
