Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.769675681519,4.74704181977,0.0,4.3556340208,0.116624158648,0.116624158648,0.116624158648,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.364941651641
 01/01  02:00:00,0.659818959634,4.8254837249,0.0,4.51431682505,0.120872965699,0.120872965699,0.120872965699,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.286798549623
 01/01  03:00:00,0.621270325695,5.03408994829,0.0,4.74474943677,0.127042907742,0.127042907742,0.127042907742,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265254692898
 01/01  04:00:00,0.608322225082,5.05189837472,0.0,4.75684421894,0.127366751248,0.127366751248,0.127366751248,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271307375069
 01/01  05:00:00,0.605687752943,5.05976317435,0.0,4.70237539005,0.125908322622,0.125908322622,0.125908322622,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334538041411
 01/01  06:00:00,0.652788153547,5.12529078919,0.0,4.49296312319,0.120301210244,0.120301210244,0.120301210244,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.606829189391
 01/01  07:00:00,0.852108637456,5.43569683201,0.0,4.28859940097,0.114829275033,0.114829275033,0.114829275033,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11763644879
 01/01  08:00:00,1.1484415049,5.80145538033,0.0,4.50671476532,0.120669416958,0.120669416958,0.120669416958,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26343611409
 01/01  09:00:00,1.1099976667,5.30483063099,0.0,4.04411581492,0.108283111515,0.108283111515,0.108283111515,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23424866874
 01/01  10:00:00,0.975925344612,5.05535072078,0.0,3.90874360931,0.104658456755,0.104658456755,0.104658456755,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12408227992
 01/01  11:00:00,0.99488151092,5.56736552475,0.0,4.55467521148,0.121953580562,0.121953580562,0.121953580562,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989635734977
 01/01  12:00:00,0.993223240966,4.71421318713,0.0,3.82354169352,0.102377135208,0.102377135208,0.102377135208,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.867609852025
