Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.768841869607,4.71594616282,0.0,4.32449313564,0.115790346736,0.115790346736,0.115790346736,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.364986879852
 01/01  02:00:00,0.659803817937,4.82488459768,0.0,4.51375131878,0.120857824001,0.120857824001,0.120857824001,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.28676492868
 01/01  03:00:00,0.621541143231,5.04411202696,0.0,4.75486382547,0.127313725277,0.127313725277,0.127313725277,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265162382864
 01/01  04:00:00,0.609254092822,5.08657237036,0.0,4.79164725528,0.128298618988,0.128298618988,0.128298618988,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271178334373
 01/01  05:00:00,0.61054678188,5.24104902092,0.0,4.88384852557,0.130767351559,0.130767351559,0.130767351559,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334350752454
 01/01  06:00:00,0.661445582641,5.44836853008,0.0,4.81629744032,0.128958639338,0.128958639338,0.128958639338,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.606572613151
 01/01  07:00:00,0.859256694751,5.70237839943,0.0,4.55556228326,0.121977332328,0.121977332328,0.121977332328,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11735513391
 01/01  08:00:00,1.15670132076,6.10974685469,0.0,4.81519917675,0.128929232812,0.128929232812,0.128929232812,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26324317701
 01/01  09:00:00,1.11692891425,5.5635707766,0.0,4.30298137085,0.115214359071,0.115214359071,0.115214359071,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23412325842
 01/01  10:00:00,0.98897322416,5.54255993194,0.0,4.39605077377,0.117706336303,0.117706336303,0.117706336303,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12398432661
 01/01  11:00:00,0.995251246032,5.58105486644,0.0,4.5684839356,0.122323315674,0.122323315674,0.122323315674,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989516352544
