Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.946752300979,8.66352372735,0.0,8.20674673778,0.0,0.225958695043,0.225958695043,0.225958695043,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428267499981
 01/01  02:00:00,0.823640996647,8.87710863881,0.0,8.5141609783,0.0,0.234422818872,0.234422818872,0.234422818872,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.336697930308
 01/01  03:00:00,0.78643424926,9.35518649457,0.0,9.01810426831,0.0,0.248298032989,0.248298032989,0.248298032989,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311136840753
 01/01  04:00:00,0.774182821283,9.41276031755,0.0,9.06898753221,0.0,0.249699016384,0.249699016384,0.249699016384,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318192613469
 01/01  05:00:00,0.770688970835,9.43779259701,0.0,9.02136684303,0.0,0.248387862388,0.248387862388,0.248387862388,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.39181187652
 01/01  06:00:00,0.831926183391,9.96031146293,0.0,9.22320615163,0.0,0.253945161551,0.253945161551,0.253945161551,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.70963820231
 01/01  07:00:00,1.07438402131,11.0546133015,0.0,9.71599783691,0.0,0.267513335359,0.267513335359,0.267513335359,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30687992124
 01/01  08:00:00,1.39798388935,11.0388678433,0.0,9.52570066141,0.0,0.262273829033,0.262273829033,0.262273829033,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47944578935
 01/01  09:00:00,1.33853395428,10.0948676725,0.0,8.61990016269,0.0,0.237334165948,0.237334165948,0.237334165948,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44645802025
 01/01  10:00:00,1.16336339695,9.70767831988,0.0,8.36401879695,0.0,0.230288911436,0.230288911436,0.230288911436,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31939564189
 01/01  11:00:00,1.16127923164,9.61361071835,0.0,8.42600641916,0.0,0.231995634291,0.231995634291,0.231995634291,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16276977183
 01/01  12:00:00,1.12538034245,7.51521826096,0.0,6.47110015151,0.0,0.178170643307,0.178170643307,0.178170643307,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01927597348
 01/01  13:00:00,1.07866681325,6.43737977065,0.0,5.50187630332,0.0,0.15148472708,0.15148472708,0.15148472708,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.911079805317
 01/01  14:00:00,1.03850529271,5.8546752319,0.0,4.98604475602,0.0,0.13728219019,0.13728219019,0.13728219019,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.843362257335
 01/01  15:00:00,1.03754861467,5.78687151549,0.0,4.98071584175,0.0,0.137135467676,0.137135467676,0.137135467676,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.77946464372
 01/01  16:00:00,1.12238057917,6.30911628532,0.0,5.49395923708,0.0,0.15126674424,0.15126674424,0.15126674424,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.786982337815
 01/01  17:00:00,1.39610600067,6.75254703481,0.0,5.85014947089,0.0,0.161073831384,0.161073831384,0.161073831384,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.869071819489
