Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.917139017962,7.5160230851,0.0,7.05823067236,0.0,0.196345412026,0.196345412026,0.196345412026,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.429282923154
 01/01  02:00:00,0.795032233512,7.76295693481,0.0,7.39878273752,0.0,0.205814055737,0.205814055737,0.205814055737,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337924467084
 01/01  03:00:00,0.749190897458,7.92692340507,0.0,7.58910071445,0.0,0.211054681188,0.211054681188,0.211054681188,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311877305114
 01/01  04:00:00,0.738643911607,8.04542519898,0.0,7.70112146143,0.0,0.214160106708,0.214160106708,0.214160106708,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318723565681
 01/01  05:00:00,0.739932477092,8.24362595705,0.0,7.82629430863,0.0,0.217631368644,0.217631368644,0.217631368644,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392717770968
 01/01  06:00:00,0.793033124161,8.47067956346,0.0,7.73261738931,0.0,0.215052102321,0.215052102321,0.215052102321,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710595065159
 01/01  07:00:00,1.01462747199,8.81216884636,0.0,7.47278975556,0.0,0.207756786035,0.207756786035,0.207756786035,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30764354741
 01/01  08:00:00,1.35175227021,9.28727861628,0.0,7.77312674712,0.0,0.21604220989,0.21604220989,0.21604220989,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48043047662
 01/01  09:00:00,1.30539497728,8.82264565469,0.0,7.34612269948,0.0,0.204195188945,0.204195188945,0.204195188945,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44801346562
 01/01  10:00:00,1.13443761056,8.58853668065,0.0,7.24372096626,0.0,0.201363125048,0.201363125048,0.201363125048,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32055183334
 01/01  11:00:00,1.15605326082,9.33444938322,0.0,8.14571124462,0.0,0.226769663474,0.226769663474,0.226769663474,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16390361124
 01/01  12:00:00,1.14455314016,8.14971214038,0.0,7.10505657179,0.0,0.197343441014,0.197343441014,0.197343441014,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01981343261
 01/01  13:00:00,1.11490920321,7.692850559,0.0,6.75780522096,0.0,0.187727117037,0.187727117037,0.187727117037,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910621676017
 01/01  14:00:00,1.08137263537,7.35114936091,0.0,6.48305765458,0.0,0.180149532845,0.180149532845,0.180149532845,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.842823487788
 01/01  15:00:00,1.0793939387,7.24690223282,0.0,6.44177439346,0.0,0.178980791707,0.178980791707,0.178980791707,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.778436809349
 01/01  16:00:00,1.14779322775,7.17039274553,0.0,6.35673036458,0.0,0.176679392824,0.176679392824,0.176679392824,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.785487670538
 01/01  17:00:00,1.40753948363,7.1091250845,0.0,6.20800307809,0.0,0.172507314344,0.172507314344,0.172507314344,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.867796261978
 01/01  18:00:00,1.91916681306,8.05005233666,0.0,6.97893037498,0.0,0.194167105394,0.194167105394,0.194167105394,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03063650823
 01/01  19:00:00,2.22990243982,7.02434353043,0.0,5.79074206279,0.0,0.16072005828,0.16072005828,0.16072005828,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18964648463
 01/01  20:00:00,2.18906954985,6.85273278671,0.0,5.58422696632,0.0,0.154936885082,0.154936885082,0.154936885082,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22313563453
 01/01  21:00:00,2.035771611,6.84520266107,0.0,5.66055245007,0.0,0.157270924853,0.157270924853,0.157270924853,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13772025857
