Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.767694234642,4.67320176895,0.0,4.28163170834,0.114642711771,0.114642711771,0.114642711771,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.36510391328
 01/01  02:00:00,0.661726678522,4.89695383265,0.0,4.58556557305,0.122780684587,0.122780684587,0.122780684587,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.287019909382
 01/01  03:00:00,0.621761472906,5.05264658495,0.0,4.76309261309,0.127534054953,0.127534054953,0.127534054953,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265468153244
 01/01  04:00:00,0.611408339775,5.16734553575,0.0,4.87210323823,0.130452865942,0.130452865942,0.130452865942,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271495516816
 01/01  05:00:00,0.612039230701,5.29708100691,0.0,4.93958792753,0.13225980038,0.13225980038,0.13225980038,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334643336493
 01/01  06:00:00,0.66232651467,5.48153310809,0.0,4.84919814941,0.129839571367,0.129839571367,0.129839571367,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.606836482079
 01/01  07:00:00,0.861436967389,5.78406770635,0.0,4.63699026343,0.124157604967,0.124157604967,0.124157604967,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11761646067
 01/01  08:00:00,1.15996461312,6.23186347936,0.0,4.9370753593,0.132192525178,0.132192525178,0.132192525178,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26348361914
 01/01  09:00:00,1.12346771158,5.80798918042,0.0,4.54718984718,0.121753156397,0.121753156397,0.121753156397,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23433318591
 01/01  10:00:00,0.985391568144,5.40896102626,0.0,4.26228446863,0.114124680288,0.114124680288,0.114124680288,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12415172608
 01/01  11:00:00,1.01351782347,6.26344642896,0.0,5.25069701267,0.140589893112,0.140589893112,0.140589893112,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989694837991
 01/01  12:00:00,0.997281744156,4.86589803135,0.0,3.97511710273,0.106435638399,0.106435638399,0.106435638399,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.867719287037
 01/01  13:00:00,0.955905589087,3.95848390494,0.0,3.16151823137,0.0846511442478,0.0846511442478,0.0846511442478,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.774292512921
 01/01  14:00:00,0.917576470525,3.47218227475,0.0,2.73238278203,0.0731608398543,0.0731608398543,0.0731608398543,0.105285248323,0.0218139126677,0.361435815596,0.340532654084,0.716342306892
 01/01  15:00:00,0.911751648182,3.34329645715,0.0,2.65690421069,0.0711398654481,0.0711398654481,0.0711398654481,0.110826537357,0.0229620193354,0.331767743197,0.359707482845,0.661614225426
 01/01  16:00:00,0.977040224244,3.48856585821,0.0,2.79477091545,0.0748313116007,0.0748313116007,0.0748313116007,0.138533188893,0.0287025099169,0.339922588697,0.379702625135,0.667639580183
 01/01  17:00:00,1.20905237633,3.5321786831,0.0,2.7632793851,0.0739881109979,0.0739881109979,0.0739881109979,0.23273572157,0.0482202235015,0.389638662656,0.4491216576,0.737962088155
 01/01  18:00:00,1.66286547229,4.63919849597,0.0,3.72389869972,0.0997091469744,0.0997091469744,0.0997091469744,0.432223571359,0.0895518497538,0.480421867651,0.54561103655,0.877716030589
 01/01  19:00:00,1.92098163429,3.84627875397,0.0,2.78975590097,0.0746970322186,0.0746970322186,0.0746970322186,0.642793999216,0.133179675089,0.432594020017,0.592368907752,1.01571822714
 01/01  20:00:00,1.87031111001,3.74364654766,0.0,2.65659496871,0.071131585348,0.071131585348,0.071131585348,0.681583297609,0.141216379006,0.349590650728,0.611441197322,1.04493318116
 01/01  21:00:00,1.74369905641,3.85489460031,0.0,2.84139393713,0.0760796650324,0.0760796650324,0.0760796650324,0.587380696143,0.121698665421,0.310730298291,0.632461731524,0.969934290954
