Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.772033150583,4.83522807827,0.0,4.44367986463,0.118981627713,0.118981627713,0.118981627713,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365082066314
 01/01  02:00:00,0.662638481192,4.93095924985,0.0,4.6196192269,0.123692487257,0.123692487257,0.123692487257,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.286971672733
 01/01  03:00:00,0.630860774975,5.39245841863,0.0,5.10292983133,0.136633357022,0.136633357022,0.136633357022,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265442768673
 01/01  04:00:00,0.622707050689,5.58924552461,0.0,5.29408312832,0.141751576856,0.141751576856,0.141751576856,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271415615579
 01/01  05:00:00,0.622747173079,5.69695757586,0.0,5.33950402258,0.142967742758,0.142967742758,0.142967742758,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.33460381039
 01/01  06:00:00,0.676299680629,6.00345601235,0.0,5.37106255324,0.143812737326,0.143812737326,0.143812737326,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.6068949825
 01/01  07:00:00,0.895962764379,7.07362139349,0.0,5.92644639076,0.158683401956,0.158683401956,0.158683401956,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11771402048
 01/01  08:00:00,1.19127971753,7.40145090565,0.0,6.10661978057,0.163507629588,0.163507629588,0.163507629588,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26352662415
 01/01  09:00:00,1.14575228187,6.64036432628,0.0,5.37946536902,0.144037726688,0.144037726688,0.144037726688,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23443280993
 01/01  10:00:00,1.00525878617,6.15107044658,0.0,5.00427765194,0.133991898312,0.133991898312,0.133991898312,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12426796309
 01/01  11:00:00,1.03898255531,7.21453719052,0.0,6.20174397938,0.166054624951,0.166054624951,0.166054624951,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989738632843
 01/01  12:00:00,1.03156655047,6.14634104014,0.0,5.25557280327,0.140720444709,0.140720444709,0.140720444709,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.867706595285
 01/01  13:00:00,0.998078351442,5.5335089598,0.0,4.73657026685,0.126823906603,0.126823906603,0.126823906603,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.774265532302
 01/01  14:00:00,0.960342696573,5.06936030891,0.0,4.32959927025,0.115927065903,0.115927065903,0.115927065903,0.105285248323,0.0218139126677,0.361435815596,0.340532654084,0.716303852843
 01/01  15:00:00,0.950095707856,4.77534237466,0.0,4.0889633376,0.109483925122,0.109483925122,0.109483925122,0.110826537357,0.0229620193354,0.331767743197,0.359707482845,0.661601016023
 01/01  16:00:00,1.00918205862,4.68898508024,0.0,3.99519172804,0.106973145975,0.106973145975,0.106973145975,0.138533188893,0.0287025099169,0.339922588697,0.379702625135,0.66763798963
 01/01  17:00:00,1.24104302837,4.72691106935,0.0,3.9580538985,0.105978763044,0.105978763044,0.105978763044,0.23273572157,0.0482202235015,0.389638662656,0.4491216576,0.737919961005
 01/01  18:00:00,1.69425465869,5.81147586989,0.0,4.8962099067,0.131098333379,0.131098333379,0.131098333379,0.432223571359,0.0895518497538,0.480421867651,0.54561103655,0.877682197528
