Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.893157588244,6.71922876816,0.0,6.26020410166,0.0,0.172363982308,0.172363982308,0.172363982308,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.430515176914
 01/01  02:00:00,0.765612624627,6.77177353394,0.0,6.40658927064,0.0,0.176394446852,0.176394446852,0.176394446852,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.338934533103
 01/01  03:00:00,0.718170763506,6.87785938291,0.0,6.53879653948,0.0,0.180034547235,0.180034547235,0.180034547235,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.313117457929
 01/01  04:00:00,0.705178429451,6.90845329227,0.0,6.56277033419,0.0,0.180694624552,0.180694624552,0.180694624552,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.320102786221
 01/01  05:00:00,0.703411207626,6.99660456805,0.0,6.5778602383,0.0,0.181110099179,0.181110099179,0.181110099179,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.3941304523
 01/01  06:00:00,0.75727425624,7.25136961789,0.0,6.51187229699,0.0,0.1792932344,0.1792932344,0.1792932344,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.712030211906
 01/01  07:00:00,0.981363459517,7.67846139814,0.0,6.33752111174,0.0,0.174492773564,0.174492773564,0.174492773564,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30920474301
 01/01  08:00:00,1.32096602632,8.24422758912,0.0,6.72843678079,0.0,0.185255966005,0.185255966005,0.185255966005,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48206941579
 01/01  09:00:00,1.27307111922,7.72069727486,0.0,6.24231116125,0.0,0.171871330884,0.171871330884,0.171871330884,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44987662402
 01/01  10:00:00,1.10714988457,7.66878118735,0.0,6.32236220481,0.0,0.174075399063,0.174075399063,0.174075399063,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32215510149
 01/01  11:00:00,1.13591630373,8.69528150282,0.0,7.50483307896,0.0,0.206632706384,0.206632706384,0.206632706384,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.1656138965
 01/01  12:00:00,1.12727699076,7.58653769747,0.0,6.5399858046,0.0,0.180067291611,0.180067291611,0.180067291611,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.0217097569
 01/01  13:00:00,1.09958229396,7.1979561472,0.0,6.26151979966,0.0,0.172400207795,0.172400207795,0.172400207795,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.912012685522
 01/01  14:00:00,1.06917748368,6.96927868235,0.0,6.10004881396,0.0,0.167954381162,0.167954381162,0.167954381162,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.84396164984
 01/01  15:00:00,1.06449233312,6.76556738769,0.0,5.95930298341,0.0,0.164079186128,0.164079186128,0.164079186128,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.779573374265
 01/01  16:00:00,1.12708349221,6.47959368095,0.0,5.66476751805,0.0,0.155969657283,0.155969657283,0.155969657283,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.786651452481
 01/01  17:00:00,1.38788530502,6.45380513904,0.0,5.55157646308,0.0,0.152853135732,0.152853135732,0.152853135732,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.86890293152
 01/01  18:00:00,1.90527925876,7.62017008538,0.0,6.54769500062,0.0,0.1802795511,0.1802795511,0.1802795511,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03198963131
 01/01  19:00:00,2.21668275308,6.59230110061,0.0,5.35716579849,0.0,0.14750037154,0.14750037154,0.14750037154,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19118031911
 01/01  20:00:00,2.17761271358,6.48117296424,0.0,5.21114897712,0.0,0.143480048814,0.143480048814,0.143480048814,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22465380127
 01/01  21:00:00,2.02457478221,6.49049076743,0.0,5.30536393418,0.0,0.146074096058,0.146074096058,0.146074096058,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13819688081
 01/01  22:00:00,1.85661637582,6.52406131218,0.0,5.45597926128,0.0,0.150221030751,0.150221030751,0.150221030751,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02224773938
 01/01  23:00:00,1.53350897139,6.58030823586,0.0,5.69849916908,0.0,0.156898400437,0.156898400437,0.156898400437,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.84214534401
 01/01  24:00:00,1.2134973085,6.75129201106,0.0,6.07534976106,0.0,0.167274335105,0.167274335105,0.167274335105,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.641475212954
 01/02  01:00:00,0.890967371677,6.86238841904,0.0,6.41941018787,0.0,0.176747448818,0.176747448818,0.176747448818,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.414468741584
 01/02  02:00:00,0.766276085213,6.93085085604,0.0,6.57404058268,0.0,0.181004931514,0.181004931514,0.181004931514,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.330560543155
