Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.792941441319,5.61607417263,0.0,5.22455462937,0.139889918449,0.139889918449,0.139889918449,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365053395932
 01/01  02:00:00,0.685053513432,5.7680369153,0.0,5.4567671912,0.146107519496,0.146107519496,0.146107519496,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.286901373878
 01/01  03:00:00,0.650317854798,6.11912821174,0.0,5.82960533154,0.156090436845,0.156090436845,0.156090436845,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265437061576
 01/01  04:00:00,0.642652142874,6.33418822033,0.0,6.03898472569,0.161696669041,0.161696669041,0.161696669041,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271456713937
 01/01  05:00:00,0.645055710839,6.53014746236,0.0,6.17267467219,0.165276280518,0.165276280518,0.165276280518,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334623047278
 01/01  06:00:00,0.698864176237,6.84615154647,0.0,6.21379261769,0.166377232934,0.166377232934,0.166377232934,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.606860452176
 01/01  07:00:00,0.910407784426,7.61307160218,0.0,6.46593341881,0.173128422003,0.173128422003,0.173128422003,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11767720111
 01/01  08:00:00,1.19990337558,7.72352955534,0.0,6.4286928295,0.172131287631,0.172131287631,0.172131287631,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26353222492
 01/01  09:00:00,1.15498476287,6.98512238193,0.0,5.7242765027,0.153270207692,0.153270207692,0.153270207692,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.2343797319
 01/01  10:00:00,1.01711087164,6.59366696424,0.0,5.44692476138,0.145843983788,0.145843983788,0.145843983788,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12421737131
 01/01  11:00:00,1.04383393894,7.39568407633,0.0,6.38293158109,0.170906008586,0.170906008586,0.170906008586,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.98969791695
 01/01  12:00:00,1.03494579114,6.27254809204,0.0,5.38177937835,0.144099685381,0.144099685381,0.144099685381,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.867707072106
 01/01  13:00:00,1.00061619279,5.62827013011,0.0,4.83135258524,0.129361747956,0.129361747956,0.129361747956,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.774244384227
 01/01  14:00:00,0.966112543616,5.28482109208,0.0,4.54508928849,0.121696912946,0.121696912946,0.121696912946,0.105285248323,0.0218139126677,0.361435815596,0.340532654084,0.716274617759
 01/01  15:00:00,0.96044347636,5.16172685467,0.0,4.47542779797,0.119831693626,0.119831693626,0.119831693626,0.110826537357,0.0229620193354,0.331767743197,0.359707482845,0.661521035666
 01/01  16:00:00,1.01872756386,5.04540281614,0.0,4.35169357007,0.116518651219,0.116518651219,0.116518651219,0.138533188893,0.0287025099169,0.339922588697,0.379702625135,0.66755388349
 01/01  17:00:00,1.25056690444,5.08256157967,0.0,4.31374794237,0.11550263911,0.11550263911,0.11550263911,0.23273572157,0.0482202235015,0.389638662656,0.4491216576,0.737876427448
 01/01  18:00:00,1.70650432227,6.26893596941,0.0,5.35370560934,0.143347996953,0.143347996953,0.143347996953,0.432223571359,0.0895518497538,0.480421867651,0.54561103655,0.877646594405
 01/01  19:00:00,1.95935497457,5.27929801287,0.0,4.22290858836,0.113070372491,0.113070372491,0.113070372491,0.642793999216,0.133179675089,0.432594020017,0.592368907752,1.01558479865
 01/01  20:00:00,1.90317545489,4.97101774594,0.0,3.88399982437,0.103995930224,0.103995930224,0.103995930224,0.681583297609,0.141216379006,0.349590650728,0.611441197322,1.04489952378
 01/01  21:00:00,1.77425504252,4.99607312454,0.0,3.98258710133,0.10663565114,0.10663565114,0.10663565114,0.587380696143,0.121698665421,0.310730298291,0.632461731524,0.969919650979
 01/01  22:00:00,1.63546186332,5.13655314713,0.0,4.22437063728,0.113109519542,0.113109519542,0.113109519542,0.493178163466,0.102180951837,0.293949140492,0.617696087987,0.869633251375
 01/01  23:00:00,1.35578282408,5.36661866176,0.0,4.61363382118,0.123532225191,0.123532225191,0.123532225191,0.371268979252,0.0769227476707,0.234174068073,0.534536803897,0.716163910229
 01/01  24:00:00,1.07526635327,5.66581965125,0.0,5.08848052044,0.136246469896,0.136246469896,0.136246469896,0.254901084073,0.05281263592,0.151455627092,0.464502536285,0.545342427474
 01/02  01:00:00,0.796293959814,5.97298321377,0.0,5.5952745708,0.149816120021,0.149816120021,0.149816120021,0.13299183107,0.0275544175015,0.0863692416722,0.38421434955,0.351242495646
 01/02  02:00:00,0.695264229981,6.28953862377,0.0,5.98552501837,0.160265260121,0.160265260121,0.160265260121,0.0775785967864,0.0160734078338,0.0722387554862,0.353760209753,0.279645255174
 01/02  03:00:00,0.660257028215,6.58247559955,0.0,6.29833326441,0.168640848689,0.168640848689,0.168640848689,0.0554132755573,0.0114810068172,0.0597152550472,0.349658642104,0.260056516518
 01/02  04:00:00,0.65575233618,6.8687218031,0.0,6.57924027167,0.176162266518,0.176162266518,0.176162266518,0.0554132755573,0.0114810068172,0.0526110263622,0.344736760925,0.265734750721
 01/02  05:00:00,0.659367941873,7.15279205151,0.0,6.80696363545,0.182259667167,0.182259667167,0.182259667167,0.0554132755573,0.0114810068172,0.0631517086927,0.331714283638,0.322978673176
 01/02  06:00:00,0.713869384906,7.52590149447,0.0,6.92720304649,0.185479134203,0.185479134203,0.185479134203,0.0554132755573,0.0114810068172,0.0759814879778,0.370166480351,0.573199971368
 01/02  07:00:00,0.93157036934,8.72297018032,0.0,7.65314298952,0.204916519135,0.204916519135,0.204916519135,0.127450542036,0.0264063108338,0.129758030703,0.427690966632,1.04036620855
 01/02  08:00:00,1.20014551192,8.4286395445,0.0,7.22806241354,0.193534785891,0.193534785891,0.193534785891,0.260442373107,0.0539607283354,0.207405929039,0.454453695544,1.16927263003
 01/02  09:00:00,1.15751830142,8.19266985028,0.0,7.03035390339,0.188241047128,0.188241047128,0.188241047128,0.24935972625,0.0516645292523,0.268690649238,0.38421434955,1.13584979956
 01/02  10:00:00,1.01136881017,7.97006802836,0.0,6.91427504215,0.185132980779,0.185132980779,0.185132980779,0.127450542036,0.0264063108338,0.330033495679,0.326997480842,1.03326815465
 01/02  11:00:00,1.03840526256,9.01639196001,0.0,8.08178313327,0.216393561487,0.216393561487,0.216393561487,0.105285248323,0.0218139126677,0.344876619894,0.334687920184,0.911554248446
 01/02  12:00:00,1.02317493627,7.72836059232,0.0,6.90249595053,0.184817590036,0.184817590036,0.184817590036,0.105285248323,0.0218139126677,0.361119725873,0.334790459375,0.802803000202
 01/02  13:00:00,0.990972932064,6.99746291953,0.0,6.25680811948,0.167528993316,0.167528993316,0.167528993316,0.105285248323,0.0218139126677,0.3518459739,0.329150803858,0.717981639405
 01/02  14:00:00,0.951963106373,6.33549831104,0.0,5.64455057145,0.151135508217,0.151135508217,0.151135508217,0.105285248323,0.0218139126677,0.317847783081,0.340532654084,0.667490553773
 01/02  15:00:00,0.94501201474,6.00252786909,0.0,5.36034628502,0.143525804181,0.143525804181,0.143525804181,0.110826537357,0.0229620193354,0.292642171022,0.359707482845,0.617403563029
 01/02  16:00:00,1.00749570334,5.96608401114,0.0,5.31627458343,0.14234576355,0.14234576355,0.14234576355,0.138533188893,0.0287025099169,0.302863615842,0.379702625135,0.623654065143
 01/02  17:00:00,1.23970560447,5.96450493763,0.0,5.24955287876,0.140559258386,0.140559258386,0.140559258386,0.23273572157,0.0482202235015,0.353720743409,0.4491216576,0.684014849017
 01/02  18:00:00,1.69876302667,7.23541881357,0.0,6.38489692415,0.170958631575,0.170958631575,0.170958631575,0.432223571359,0.0895518497538,0.445069937436,0.54561103655,0.812938123758
 01/02  19:00:00,1.94930785895,6.10162668413,0.0,5.12908120512,0.13733357241,0.13733357241,0.13733357241,0.642793999216,0.133179675089,0.398283704478,0.592368907752,0.931740853152
 01/02  20:00:00,1.89502430094,5.85181361747,0.0,4.8585335253,0.130089530467,0.130089530467,0.130089530467,0.681583297609,0.141216379006,0.315345896534,0.611441197322,0.951161694382
 01/02  21:00:00,1.76400823032,5.8258712086,0.0,4.90165802304,0.131244209268,0.131244209268,0.131244209268,0.587380696143,0.121698665421,0.275874927963,0.632461731524,0.880646813337
 01/02  22:00:00,1.62302318094,5.92690246927,0.0,5.08964668958,0.136277694626,0.136277694626,0.136277694626,0.493178163466,0.102180951837,0.258342283024,0.617696087987,0.794706521215
 01/02  23:00:00,1.34897034825,6.11001348913,0.0,5.41588805381,0.14501296128,0.14501296128,0.14501296128,0.371268979252,0.0769227476707,0.205880856148,0.534536803897,0.657304504971
 01/02  24:00:00,1.07889044073,6.34476875988,0.0,5.80402094086,0.155405402697,0.155405402697,0.155405402697,0.254901084073,0.05281263592,0.135920781757,0.464502536285,0.508751115688
 01/03  01:00:00,0.813111534116,6.60123298845,0.0,6.22337083854,0.166633694322,0.166633694322,0.166633694322,0.13299183107,0.0275544175015,0.0863692416722,0.38421434955,0.351396002584
 01/03  02:00:00,0.71047394936,6.8576676687,0.0,6.55357174162,0.1754749795,0.1754749795,0.1754749795,0.0775785967864,0.0160734078338,0.0722387554862,0.353760209753,0.279727576861
