Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.899808281441,6.96020034671,0.0,6.50175512801,0.0,0.179014675505,0.179014675505,0.179014675505,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.429935729114
 01/01  02:00:00,0.769723914356,6.92039443298,0.0,6.55590998416,0.0,0.180505736581,0.180505736581,0.180505736581,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.338234718618
 01/01  03:00:00,0.723318792743,7.06407321067,0.0,6.72577129667,0.0,0.185182576472,0.185182576472,0.185182576472,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.31235652849
 01/01  04:00:00,0.70781020552,7.00349424714,0.0,6.65835558999,0.0,0.183326400621,0.183326400621,0.183326400621,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319558485285
 01/01  05:00:00,0.705567861593,7.07433800586,0.0,6.65618921299,0.0,0.183266753146,0.183266753146,0.183266753146,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.39353491542
 01/01  06:00:00,0.7586595892,7.30110015319,0.0,6.56218714217,0.0,0.18067856736,0.18067856736,0.18067856736,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.711445902023
 01/01  07:00:00,0.979678518151,7.61670525043,0.0,6.27632458618,0.0,0.172807832199,0.172807832199,0.172807832199,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30864512086
 01/01  08:00:00,1.31396879434,7.98947028408,0.0,6.47429957769,0.0,0.178258734019,0.178258734019,0.178258734019,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48144931385
 01/01  09:00:00,1.26927008217,7.58209773753,0.0,6.10425872455,0.0,0.168070293829,0.168070293829,0.168070293829,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44932952339
 01/01  10:00:00,1.09936786509,7.38572553128,0.0,6.03972177343,0.0,0.166293379575,0.166293379575,0.166293379575,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32173987681
 01/01  11:00:00,1.12428253842,8.27241171024,0.0,7.08229848464,0.0,0.194998941069,0.194998941069,0.194998941069,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16527869825
 01/01  12:00:00,1.12428860225,7.47741826468,0.0,6.4314485004,0.0,0.177078903105,0.177078903105,0.177078903105,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02112762831
 01/01  13:00:00,1.09962219668,7.19830734464,0.0,6.26296905342,0.0,0.172440110512,0.172440110512,0.172440110512,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910914629203
 01/01  14:00:00,1.06523814372,6.82543473807,0.0,5.95697326015,0.0,0.164015041195,0.164015041195,0.164015041195,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.843193259362
 01/01  15:00:00,1.05435374432,6.39710923137,0.0,5.59107271643,0.0,0.153940597323,0.153940597323,0.153940597323,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.779345484931
 01/01  16:00:00,1.12644346563,6.45585581595,0.0,5.64152195948,0.0,0.155329630699,0.155329630699,0.155329630699,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.786159146049
 01/01  17:00:00,1.38869904722,6.48320755701,0.0,5.5811313166,0.0,0.153666877931,0.153666877931,0.153666877931,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.868750495973
 01/01  18:00:00,1.89946545191,7.40852876139,0.0,6.33653941551,0.0,0.174465744242,0.174465744242,0.174465744242,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03150389243
 01/01  19:00:00,2.22373274506,6.84776006271,0.0,5.61321922727,0.0,0.154550363513,0.154550363513,0.154550363513,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19058585243
 01/01  20:00:00,2.17699499058,6.45821046008,0.0,5.18871347748,0.0,0.142862325814,0.142862325814,0.142862325814,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22412679675
 01/01  21:00:00,2.02585159663,6.53693848367,0.0,5.35173742106,0.0,0.147350910478,0.147350910478,0.147350910478,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13827111017
 01/01  22:00:00,1.85756635608,6.55834756912,0.0,5.49048223694,0.0,0.151171011005,0.151171011005,0.151171011005,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02203102066
 01/01  23:00:00,1.53634734965,6.68310120354,0.0,5.80158814976,0.0,0.1597367787,0.1597367787,0.1597367787,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.841849331006
 01/01  24:00:00,1.21768158313,6.90275442658,0.0,6.2273212626,0.0,0.171458609735,0.171458609735,0.171458609735,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.640966126932
 01/02  01:00:00,0.895885081487,7.04041378742,0.0,6.59801981798,0.0,0.181665158628,0.181665158628,0.181665158628,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.413884479856
 01/02  02:00:00,0.768920629405,7.0262664492,0.0,6.6700895726,0.0,0.183649475706,0.183649475706,0.183649475706,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.329927146401
 01/02  03:00:00,0.720728473676,7.05867843125,0.0,6.72653108107,0.0,0.185203495832,0.185203495832,0.185203495832,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.306201964676
 01/02  04:00:00,0.713597652881,7.25644923957,0.0,6.91814484471,0.0,0.190479252154,0.190479252154,0.190479252154,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.312724222984
 01/02  05:00:00,0.712289756996,7.4019919176,0.0,6.99734178865,0.0,0.192659804165,0.192659804165,0.192659804165,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.380036251505
 01/02  06:00:00,0.761357174337,7.5088399476,0.0,6.80895311255,0.0,0.187472845097,0.187472845097,0.187472845097,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.672419726059
 01/02  07:00:00,0.992366829953,8.37398206046,0.0,7.12307513579,0.0,0.196121656218,0.196121656218,0.196121656218,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21917138129
 01/02  08:00:00,1.3095256764,8.48730744307,0.0,7.08150079288,0.0,0.194976977995,0.194976977995,0.194976977995,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37208525765
 01/02  09:00:00,1.25118496895,7.98790653896,0.0,6.62552553987,0.0,0.182422481502,0.182422481502,0.182422481502,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.3338715095
 01/02  10:00:00,1.05571485103,7.32905052329,0.0,6.0897719008,0.0,0.167671423986,0.167671423986,0.167671423986,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21501474144
 01/02  11:00:00,1.05370705493,7.46640071006,0.0,6.36828072935,0.0,0.175339686876,0.175339686876,0.175339686876,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07328545336
 01/02  12:00:00,1.09544515964,8.26113529245,0.0,7.29023876455,0.0,0.200724220013,0.200724220013,0.200724220013,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.946054391933
 01/02  13:00:00,1.04701654739,6.95872887884,0.0,6.08881100301,0.0,0.167644967313,0.167644967313,0.167644967313,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.84549421381
 01/02  14:00:00,0.998259771749,5.91870915498,0.0,5.10744369473,0.0,0.140624701741,0.140624701741,0.140624701741,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.785997241696
 01/02  15:00:00,1.00007358243,5.79533076771,0.0,5.04066291848,0.0,0.138786007611,0.138786007611,0.138786007611,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.72797681922
 01/02  16:00:00,1.08890135626,6.38806860124,0.0,5.62397459749,0.0,0.154846494184,0.154846494184,0.154846494184,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.735919293338
