Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.90774456926,7.2473656567,0.0,6.78999853532,0.0,0.186950963324,0.186950963324,0.186950963324,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428857631798
 01/01  02:00:00,0.780784013653,7.32155015719,0.0,6.9576092142,0.0,0.191565835878,0.191565835878,0.191565835878,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337691212778
 01/01  03:00:00,0.732532890421,7.3986136517,0.0,7.06042434486,0.0,0.19439667415,0.19439667415,0.19439667415,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.31224392133
 01/01  04:00:00,0.719549730912,7.42947166079,0.0,7.08473135612,0.0,0.195065926013,0.195065926013,0.195065926013,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319160132801
 01/01  05:00:00,0.715595085635,7.43827431532,0.0,7.02037474779,0.0,0.193293977188,0.193293977188,0.193293977188,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393285690077
 01/01  06:00:00,0.769465534285,7.69340435144,0.0,6.95465557342,0.0,0.191484512445,0.191484512445,0.191484512445,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.711281669024
 01/01  07:00:00,0.99392054619,8.13387943557,0.0,6.79359043925,0.0,0.187049860238,0.187049860238,0.187049860238,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30855345294
 01/01  08:00:00,1.33415914214,8.72271593416,0.0,7.20760648117,0.0,0.198449081823,0.198449081823,0.198449081823,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48138806045
 01/01  09:00:00,1.28750143005,8.24411930977,0.0,6.76641538423,0.0,0.186301641709,0.186301641709,0.186301641709,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44919443596
 01/01  10:00:00,1.11506949644,7.95575523743,0.0,6.60999994679,0.0,0.181995010926,0.181995010926,0.181995010926,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32149140959
 01/01  11:00:00,1.14656648143,9.08147013698,0.0,7.89164408907,0.0,0.217282884081,0.217282884081,0.217282884081,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16499152055
 01/01  12:00:00,1.13637184529,7.91613241187,0.0,6.87030798032,0.0,0.189162146144,0.189162146144,0.189162146144,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02098229557
 01/01  13:00:00,1.09716509896,7.10982889691,0.0,6.17372805857,0.0,0.169983012787,0.169983012787,0.169983012787,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.911677176327
 01/01  14:00:00,1.04645312961,6.14374272612,0.0,5.27470762206,0.0,0.145230027086,0.145230027086,0.145230027086,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.843766885507
 01/01  15:00:00,1.04347727203,6.0029762291,0.0,5.19604275998,0.0,0.143064125036,0.143064125036,0.143064125036,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.780242439106
 01/01  16:00:00,1.12759565679,6.49913976068,0.0,5.6833691697,0.0,0.156481821855,0.156481821855,0.156481821855,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.787595880556
 01/01  17:00:00,1.39313185738,6.64496686261,0.0,5.74212954812,0.0,0.158099688088,0.158099688088,0.158099688088,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.869511570057
 01/01  18:00:00,1.91446798515,7.95391304501,0.0,6.88142657173,0.0,0.189468277487,0.189468277487,0.189468277487,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03200101982
 01/01  19:00:00,2.22566934412,6.91820294347,0.0,5.68355587894,0.0,0.156486962574,0.156486962574,0.156486962574,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19069208152
 01/01  20:00:00,2.18997240042,6.92977207673,0.0,5.66004880653,0.0,0.155839735655,0.155839735655,0.155839735655,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22435308435
 01/01  21:00:00,2.03814713029,6.98359506998,0.0,5.79830722759,0.0,0.159646444135,0.159646444135,0.159646444135,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13835788997
 01/01  22:00:00,1.8745059523,7.17351606095,0.0,6.10572289397,0.0,0.168110607223,0.168110607223,0.168110607223,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02195885547
