Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.873270726811,5.99770543283,0.0,5.53791972504,0.0,0.152477120875,0.152477120875,0.152477120875,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.431276218199
 01/01  02:00:00,0.747701314307,6.12255818746,0.0,5.75605627163,0.0,0.158483136533,0.158483136533,0.158483136533,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.340252185621
 01/01  03:00:00,0.700026663776,6.22020750691,0.0,5.87980870436,0.0,0.161890447505,0.161890447505,0.161890447505,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.314453417039
 01/01  04:00:00,0.690163136791,6.36417391273,0.0,6.01741976013,0.0,0.165679331892,0.165679331892,0.165679331892,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.32117398073
 01/01  05:00:00,0.690840662692,6.54112759914,0.0,6.12130211109,0.0,0.168539554245,0.168539554245,0.168539554245,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.395211610596
 01/01  06:00:00,0.745539969054,6.82630053342,0.0,6.0856867808,0.0,0.167558947213,0.167558947213,0.167558947213,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.713146643628
 01/01  07:00:00,0.983588064728,7.76033231466,0.0,6.41831805366,0.0,0.176717378776,0.176717378776,0.176717378776,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.31027871762
 01/01  08:00:00,1.29730050092,7.38548189652,0.0,5.8689125505,0.0,0.161590440598,0.161590440598,0.161590440598,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48284795349
 01/01  09:00:00,1.2491083214,6.85102675546,0.0,5.37199009309,0.0,0.147908533064,0.147908533064,0.147908533064,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.45052717279
 01/01  10:00:00,1.06215307344,6.03571108598,0.0,4.68809257458,0.0,0.129078587928,0.129078587928,0.129078587928,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32335463036
 01/01  11:00:00,1.06114421398,5.98103454504,0.0,4.78913495756,0.0,0.131860616633,0.131860616633,0.131860616633,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16706506013
 01/01  12:00:00,1.03621309173,4.2812232294,0.0,3.23257443853,0.0,0.0890033925864,0.0890033925864,0.0890033925864,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02380665489
 01/01  13:00:00,0.999541289968,3.56806330057,0.0,2.62806288386,0.0,0.0723592037993,0.0723592037993,0.0723592037993,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.915576754692
 01/01  14:00:00,0.969292760719,3.34501002533,0.0,2.47226797465,0.0,0.0680696581968,0.0680696581968,0.0680696581968,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.847473832131
 01/01  15:00:00,0.966754978188,3.21973582933,0.0,2.40951385651,0.0,0.0663418311909,0.0663418311909,0.0663418311909,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.783530942808
