Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.95577110941,8.99167293282,0.0,8.53430694365,0.0,0.234977503473,0.234977503473,0.234977503473,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.42885649958
 01/01  02:00:00,0.836537840283,9.34596795992,0.0,8.98257016883,0.0,0.247319662508,0.247319662508,0.247319662508,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337148060886
 01/01  03:00:00,0.793861224417,9.6250916092,0.0,9.28784960444,0.0,0.255725008146,0.255725008146,0.255725008146,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311296619251
 01/01  04:00:00,0.786675422887,9.86594518204,0.0,9.52271478284,0.0,0.262191617988,0.262191617988,0.262191617988,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.317650227331
 01/01  05:00:00,0.787079212305,10.0330183009,0.0,9.61665511328,0.0,0.264778103858,0.264778103858,0.264778103858,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.391749310219
 01/01  06:00:00,0.84387459504,10.3941001162,0.0,9.65716859908,0.0,0.2658935732,0.2658935732,0.2658935732,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.709464408116
 01/01  07:00:00,1.06596029682,10.7483888702,0.0,9.41005088738,0.0,0.25908961087,0.25908961087,0.25908961087,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.3066024394
 01/01  08:00:00,1.41093201181,11.5089562992,0.0,9.99597228222,0.0,0.275221951492,0.275221951492,0.275221951492,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47926262444
 01/01  09:00:00,1.3626444772,10.9711855908,0.0,9.49558655876,0.0,0.261444688869,0.261444688869,0.261444688869,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44708954249
 01/01  10:00:00,1.18703545276,10.5673603044,0.0,9.22378020937,0.0,0.253960967246,0.253960967246,0.253960967246,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31931621399
 01/01  11:00:00,1.18856094371,10.6043221103,0.0,9.41686937981,0.0,0.259277346364,0.259277346364,0.259277346364,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16261820308
 01/01  12:00:00,1.14360534543,8.17686807912,0.0,7.13302636636,0.0,0.196395646283,0.196395646283,0.196395646283,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01899957678
 01/01  13:00:00,1.09213141614,6.9263116677,0.0,5.99090632632,0.0,0.164949329969,0.164949329969,0.164949329969,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910981679366
 01/01  14:00:00,1.05706756183,6.52880282769,0.0,5.66022036794,0.0,0.155844459304,0.155844459304,0.155844459304,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.843314241201
 01/01  15:00:00,1.05434572081,6.39742806692,0.0,5.59078130502,0.0,0.15393257381,0.15393257381,0.15393257381,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.779955731879
 01/01  16:00:00,1.12772175717,6.50304866418,0.0,5.68794909499,0.0,0.156607922243,0.156607922243,0.156607922243,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.786924858774
 01/01  17:00:00,1.40102490671,6.93100445097,0.0,6.02880254757,0.0,0.16599273742,0.16599273742,0.16599273742,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.868876158974
 01/01  18:00:00,1.89588066999,7.27711527483,0.0,6.20634129561,0.0,0.17088096233,0.17088096233,0.17088096233,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03028852577
 01/01  19:00:00,2.21974543155,6.70188659401,0.0,5.46840129016,0.0,0.15056305001,0.15056305001,0.15056305001,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18953032084
 01/01  20:00:00,2.18122926047,6.61061541242,0.0,5.34250079068,0.0,0.147096595703,0.147096595703,0.147096595703,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22274443589
 01/01  21:00:00,2.029041759,6.65165260772,0.0,5.46760308689,0.0,0.150541072851,0.150541072851,0.150541072851,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.1371195684
 01/01  22:00:00,1.8703425923,7.0215846374,0.0,5.95451100536,0.0,0.163947247232,0.163947247232,0.163947247232,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02123932052
 01/01  23:00:00,1.56246235611,7.63108692981,0.0,6.75007673958,0.0,0.185851785153,0.185851785153,0.185851785153,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.841346467455
 01/01  24:00:00,1.26238484907,8.52590752837,0.0,7.85092942613,0.0,0.216161875672,0.216161875672,0.216161875672,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.640511065185
 01/02  01:00:00,0.955063134865,9.18845672971,0.0,8.7473475808,0.0,0.240843212006,0.240843212006,0.240843212006,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.412599659324
 01/02  02:00:00,0.84147488688,9.6599472814,0.0,9.30523674288,0.0,0.25620373318,0.25620373318,0.25620373318,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.328460808322
 01/02  03:00:00,0.803210954251,10.0530559393,0.0,9.72226810399,0.0,0.267685976408,0.267685976408,0.267685976408,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.304842449782
 01/02  04:00:00,0.800772973235,10.4207425685,0.0,10.0843242909,0.0,0.277654572509,0.277654572509,0.277654572509,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310838105699
