Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.01923729352,11.2923401988,0.0,10.8393782281,0.0,0.298443687585,0.298443687585,0.298443687585,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.424452481098
 01/01  02:00:00,0.890433281715,11.2998228694,0.0,10.940035174,0.0,0.301215103941,0.301215103941,0.301215103941,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.333537965169
 01/01  03:00:00,0.841513260191,11.3526992516,0.0,11.0185561349,0.0,0.30337704392,0.30337704392,0.30337704392,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.308197731138
 01/01  04:00:00,0.828753291391,11.3916856184,0.0,11.0509693606,0.0,0.304269486493,0.304269486493,0.304269486493,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.315136085896
 01/01  05:00:00,0.834083756303,11.7377815067,0.0,11.3238449518,0.0,0.311782647856,0.311782647856,0.311782647856,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.38932267739
 01/01  06:00:00,0.885937458641,11.9198071663,0.0,11.1848782036,0.0,0.307956436801,0.307956436801,0.307956436801,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.707461853717
 01/01  07:00:00,1.11059189266,12.3671032229,0.0,11.0310560162,0.0,0.303721206711,0.303721206711,0.303721206711,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30431166331
 01/01  08:00:00,1.45726191003,13.1895345566,0.0,11.6786592042,0.0,0.321551849711,0.321551849711,0.321551849711,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47715395985
 01/01  09:00:00,1.39514886931,12.1492695575,0.0,10.6761355694,0.0,0.293949080975,0.293949080975,0.293949080975,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44462449855
 01/01  10:00:00,1.21572950975,11.6075255223,0.0,10.265939081,0.0,0.282655024243,0.282655024243,0.282655024243,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31732256028
 01/01  11:00:00,1.24813000324,12.766108987,0.0,11.5803983597,0.0,0.318846405896,0.318846405896,0.318846405896,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16087609991
 01/01  12:00:00,1.22007460914,10.9515287748,0.0,9.91036529697,0.0,0.272864909988,0.272864909988,0.272864909988,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01632134184
 01/01  13:00:00,1.18477841566,10.2877830756,0.0,9.35581539057,0.0,0.257596329491,0.257596329491,0.257596329491,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.90754402305
 01/01  14:00:00,1.15325877361,10.0186257386,0.0,9.1538540753,0.0,0.252035671083,0.252035671083,0.252035671083,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.839503444716
 01/01  15:00:00,1.13573476543,9.34897427156,0.0,8.54680508754,0.0,0.235321618429,0.235321618429,0.235321618429,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.775478154005
 01/01  16:00:00,1.20503313302,9.30659663791,0.0,8.49587326623,0.0,0.233919298088,0.233919298088,0.233919298088,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.782548661265
 01/01  17:00:00,1.47248272363,9.52269993578,0.0,8.62412735134,0.0,0.237450554337,0.237450554337,0.237450554337,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.865246840002
 01/01  18:00:00,2.01162080594,11.4785935791,0.0,10.4099856075,0.0,0.286621098279,0.286621098279,0.286621098279,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02812251814
 01/01  19:00:00,2.3192170309,10.3115190301,0.0,9.0811776131,0.0,0.250034649353,0.250034649353,0.250034649353,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18638643398
 01/01  20:00:00,2.2813543385,10.2447628835,0.0,8.97901124821,0.0,0.247221673733,0.247221673733,0.247221673733,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22038144944
 01/01  21:00:00,2.14256862007,10.7719614651,0.0,9.59086197065,0.0,0.264067933917,0.264067933917,0.264067933917,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13416954202
 01/01  22:00:00,1.98265277205,11.0969436982,0.0,10.033580417,0.0,0.276257426978,0.276257426978,0.276257426978,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01752896966
 01/01  23:00:00,1.66765068492,11.4474531995,0.0,10.5704828285,0.0,0.291040113971,0.291040113971,0.291040113971,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.837306648221
 01/01  24:00:00,1.35556144062,11.9059902735,0.0,11.2350731016,0.0,0.309338467224,0.309338467224,0.309338467224,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.636450134818
 01/02  01:00:00,1.03834994285,12.2099882262,0.0,11.7722975153,0.0,0.324130019995,0.324130019995,0.324130019995,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.409181221364
 01/02  02:00:00,0.920827530111,12.5388185103,0.0,12.1872990855,0.0,0.335556376411,0.335556376411,0.335556376411,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.325269694637
 01/02  03:00:00,0.878866843478,12.7975028091,0.0,12.4700655366,0.0,0.343341865634,0.343341865634,0.343341865634,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.301491887041
 01/02  04:00:00,0.870462162027,12.9490174083,0.0,12.6154130931,0.0,0.347343761301,0.347343761301,0.347343761301,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.308024143292
 01/02  05:00:00,0.875714877271,13.3325382095,0.0,12.9328893117,0.0,0.356084924439,0.356084924439,0.356084924439,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.375035020275
 01/02  06:00:00,0.9368410477,13.8775102657,0.0,13.1824706485,0.0,0.36295671846,0.36295671846,0.36295671846,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.667572508209
 01/02  07:00:00,1.17612652954,15.0431614271,0.0,13.7971680043,0.0,0.379881355809,0.379881355809,0.379881355809,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21425787947
 01/02  08:00:00,1.47196322812,14.3813313213,0.0,12.9811801457,0.0,0.357414529723,0.357414529723,0.357414529723,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.3664297831
 01/02  09:00:00,1.39894210915,13.3492938512,0.0,11.9920170934,0.0,0.330179621711,0.330179621711,0.330179621711,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.32876726824
 01/02  10:00:00,1.19324112256,12.3192482468,0.0,11.0846816123,0.0,0.30519769552,0.30519769552,0.30519769552,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21030275342
 01/02  11:00:00,1.22124694564,13.546963622,0.0,12.4532753841,0.0,0.342879577585,0.342879577585,0.342879577585,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.06885371057
 01/02  12:00:00,1.19480744994,11.8640536015,0.0,10.8990450182,0.0,0.300086510308,0.300086510308,0.300086510308,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.940166447402
 01/02  13:00:00,1.16508960703,11.2427447446,0.0,10.3771863487,0.0,0.285718026948,0.285718026948,0.285718026948,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.841134733877
 01/02  14:00:00,1.13559966306,10.9026613659,0.0,10.0955841368,0.0,0.277964593052,0.277964593052,0.277964593052,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.781809010593
 01/02  15:00:00,1.12453024037,10.3108489258,0.0,9.56088849033,0.0,0.263242665547,0.263242665547,0.263242665547,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.723269405496
 01/02  16:00:00,1.20328577627,10.5372358834,0.0,9.77837974496,0.0,0.269230914198,0.269230914198,0.269230914198,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.730681428009
 01/02  17:00:00,1.48207304735,11.1120064217,0.0,10.2769720205,0.0,0.282958797309,0.282958797309,0.282958797309,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.80170865679
 01/02  18:00:00,2.02349264665,13.1172526456,0.0,12.1251376972,0.0,0.333844869206,0.333844869206,0.333844869206,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.951629494965
