Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.12162974995,15.0090878822,0.0,14.558239136,0.0,0.400836144017,0.400836144017,0.400836144017,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.422339256642
 01/01  02:00:00,1.00632340186,15.5060384736,0.0,15.1491268632,0.0,0.417105224081,0.417105224081,0.417105224081,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.330661880254
 01/01  03:00:00,0.966804851821,15.8998601705,0.0,15.5691062286,0.0,0.428668635551,0.428668635551,0.428668635551,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.3048085564
 01/01  04:00:00,0.96174846664,16.2182827874,0.0,15.8813111202,0.0,0.437264661741,0.437264661741,0.437264661741,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.311391495317
 01/01  05:00:00,0.963169052382,16.4222571101,0.0,16.0121811643,0.0,0.440867943935,0.440867943935,0.440867943935,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.385462068327
 01/01  06:00:00,1.01758155014,16.6967368096,0.0,15.9661490382,0.0,0.439600528298,0.439600528298,0.439600528298,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.703120662395
 01/01  07:00:00,1.24132867831,17.1113852086,0.0,15.7793737958,0.0,0.434457992359,0.434457992359,0.434457992359,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.3002758694
 01/01  08:00:00,1.58939176504,17.9843214986,0.0,16.4775728124,0.0,0.453681704717,0.453681704717,0.453681704717,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47302729358
 01/01  09:00:00,1.51602673112,16.5351238344,0.0,15.0663804231,0.0,0.414826942782,0.414826942782,0.414826942782,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44023392169
 01/01  10:00:00,1.31593001172,15.242571415,0.0,13.9051889113,0.0,0.382855526206,0.382855526206,0.382855526206,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31311862266
