Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.984810282177,10.0453145775,0.0,9.58900030843,0.0,0.264016676241,0.264016676241,0.264016676241,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.427804779489
 01/01  02:00:00,0.866895933917,10.4470409977,0.0,10.085166313,0.0,0.277677756142,0.277677756142,0.277677756142,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.335624954498
 01/01  03:00:00,0.819884990189,10.5685330501,0.0,10.2330243622,0.0,0.281748773918,0.281748773918,0.281748773918,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.309563302362
 01/01  04:00:00,0.810957281017,10.7467293712,0.0,10.4046240183,0.0,0.286473476119,0.286473476119,0.286473476119,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.316525180956
 01/01  05:00:00,0.813390133657,10.9871461913,0.0,10.5722592689,0.0,0.29108902521,0.29108902521,0.29108902521,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.390273044958
 01/01  06:00:00,0.868576313027,11.2899946367,0.0,10.5543270088,0.0,0.290595291187,0.290595291187,0.290595291187,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.708200518866
 01/01  07:00:00,1.09287494219,11.7245285657,0.0,10.3875821041,0.0,0.28600425624,0.28600425624,0.28600425624,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30521091821
 01/01  08:00:00,1.41383751573,11.6132151088,0.0,10.1014992448,0.0,0.278127455406,0.278127455406,0.278127455406,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47799447147
 01/01  09:00:00,1.37825497901,11.5368723549,0.0,10.0625549367,0.0,0.277055190678,0.277055190678,0.277055190678,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44580792864
 01/01  10:00:00,1.19318492799,10.7895995788,0.0,9.44712716128,0.0,0.260110442478,0.260110442478,0.260110442478,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31820853646
