Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.919618107898,7.6781595259,0.0,7.22124161922,0.0,0.198824501962,0.198824501962,0.198824501962,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428408417096
 01/01  02:00:00,0.794271220345,7.81054378311,0.0,7.44746020003,0.0,0.20505304257,0.20505304257,0.20505304257,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.336833852879
 01/01  03:00:00,0.745108675281,7.85441284341,0.0,7.51717278449,0.0,0.206972459011,0.206972459011,0.206972459011,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311294673412
 01/01  04:00:00,0.733102781522,7.92075751398,0.0,7.57697377176,0.0,0.208618976623,0.208618976623,0.208618976623,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318203570351
 01/01  05:00:00,0.73585662149,8.17324302581,0.0,7.75626717826,0.0,0.213555513043,0.213555513043,0.213555513043,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392361970092
 01/01  06:00:00,0.796106255958,8.66004461964,0.0,7.92223797,0.0,0.218125234117,0.218125234117,0.218125234117,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710339540648
 01/01  07:00:00,1.02474888947,9.252410583,0.0,7.91326589834,0.0,0.217878203513,0.217878203513,0.217878203513,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30740914128
 01/01  08:00:00,1.36049659294,9.67788623826,0.0,8.16417417752,0.0,0.224786532617,0.224786532617,0.224786532617,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.4799906682
 01/01  09:00:00,1.31400488048,9.20512395871,0.0,7.72901213373,0.0,0.212805092141,0.212805092141,0.212805092141,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.4476023354
 01/01  10:00:00,1.14507467543,9.04393709564,0.0,7.69977834517,0.0,0.212000189915,0.212000189915,0.212000189915,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31989486941
 01/01  11:00:00,1.14098827513,8.87729317008,0.0,7.68904543992,0.0,0.211704677778,0.211704677778,0.211704677778,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.1634132028
 01/01  12:00:00,1.19465551145,10.0324859603,0.0,8.98715188838,0.0,0.247445812297,0.247445812297,0.247445812297,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02049193596
 01/01  13:00:00,1.1427243284,8.76323467893,0.0,7.82842453991,0.0,0.215542242231,0.215542242231,0.215542242231,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910386477003
 01/01  14:00:00,1.10893819882,8.41090950412,0.0,7.54414513058,0.0,0.207715096297,0.207715096297,0.207715096297,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.841496154988
 01/01  15:00:00,1.10386025899,8.19360871253,0.0,7.38913332072,0.0,0.203447111992,0.203447111992,0.203447111992,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.777784361801
 01/01  16:00:00,1.17277195698,8.1369962054,0.0,7.32415778461,0.0,0.201658122052,0.201658122052,0.201658122052,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.784663710374
 01/01  17:00:00,1.43354884642,8.11031410759,0.0,7.21006152102,0.0,0.198516677135,0.198516677135,0.198516677135,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.866926842134
 01/01  18:00:00,1.94800411697,9.16958233874,0.0,8.09944803499,0.0,0.223004409302,0.223004409302,0.223004409302,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.0296488503
 01/01  19:00:00,2.28629712494,9.11889896362,0.0,7.88553727397,0.0,0.217114743402,0.217114743402,0.217114743402,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18940670664
 01/01  20:00:00,2.21477376527,7.82783484673,0.0,6.56082635799,0.0,0.180641100502,0.180641100502,0.180641100502,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22163830288
 01/01  21:00:00,2.05123971116,7.45590186528,0.0,6.27382553114,0.0,0.172739025004,0.172739025004,0.172739025004,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13514638172
 01/01  22:00:00,1.88151228315,7.42589521141,0.0,6.36019056484,0.0,0.175116938072,0.175116938072,0.175116938072,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01987033505
 01/01  23:00:00,1.55886137137,7.49921408618,0.0,6.61929013844,0.0,0.182250800418,0.182250800418,0.182250800418,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.840260224974
