Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.01648938419,11.1933425652,0.0,10.7395750499,0.0,0.295695778259,0.295695778259,0.295695778259,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.425258025676
 01/01  02:00:00,0.891263686657,11.3305223825,0.0,10.9701952129,0.0,0.302045508882,0.302045508882,0.302045508882,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.334077439316
 01/01  03:00:00,0.843054608168,11.4089898477,0.0,11.0745373951,0.0,0.304918391898,0.304918391898,0.304918391898,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.308507067168
 01/01  04:00:00,0.833639678476,11.5694838251,0.0,11.2284413594,0.0,0.309155873577,0.309155873577,0.309155873577,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.315462293754
 01/01  05:00:00,0.828026722779,11.5179217347,0.0,11.1038554529,0.0,0.305725614332,0.305725614332,0.305725614332,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.389452404409
 01/01  06:00:00,0.88271949344,11.8027827858,0.0,11.068002748,0.0,0.3047384716,0.3047384716,0.3047384716,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.707312928739
 01/01  07:00:00,1.10550958859,12.1828797133,0.0,10.8464683758,0.0,0.29863890264,0.29863890264,0.29863890264,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30467579417
 01/01  08:00:00,1.45423923637,13.0801122744,0.0,11.5688766744,0.0,0.318529176053,0.318529176053,0.318529176053,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47751420744
 01/01  09:00:00,1.38944169209,11.9422329143,0.0,10.4688527384,0.0,0.288241903759,0.288241903759,0.288241903759,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44487068635
 01/01  10:00:00,1.20611937807,11.2587769974,0.0,9.91690220563,0.0,0.273044892556,0.273044892556,0.273044892556,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31761091073
 01/01  11:00:00,1.22098734943,11.7807279717,0.0,10.5945859501,0.0,0.291703752084,0.291703752084,0.291703752084,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.1613074942
 01/01  12:00:00,1.18257130165,9.5904242844,0.0,8.54825729627,0.0,0.235361602505,0.235361602505,0.235361602505,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01732485216
 01/01  13:00:00,1.13358878521,8.43010714611,0.0,7.49662456532,0.0,0.206406699041,0.206406699041,0.206406699041,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.909058918775
 01/01  14:00:00,1.09977495228,8.07785121835,0.0,7.21133897921,0.0,0.198551849755,0.198551849755,0.198551849755,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.841244020588
 01/01  15:00:00,1.10263513919,8.14879828845,0.0,7.34463736583,0.0,0.202221992194,0.202221992194,0.202221992194,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.777469892596
 01/01  16:00:00,1.17671336117,8.27989810879,0.0,7.46730831036,0.0,0.205599526244,0.205599526244,0.205599526244,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.784415088016
 01/01  17:00:00,1.4509506154,8.74209739345,0.0,7.84208814312,0.0,0.215918446109,0.215918446109,0.215918446109,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.866683505895
 01/01  18:00:00,1.99433554738,10.8519878578,0.0,9.78219060597,0.0,0.26933583972,0.26933583972,0.26933583972,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02931179842
 01/01  19:00:00,2.30159255907,9.67215977134,0.0,8.44106249536,0.0,0.232410177524,0.232410177524,0.232410177524,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18714229298
 01/01  20:00:00,2.27427822848,9.98891574436,0.0,8.72200922058,0.0,0.240145563718,0.240145563718,0.240145563718,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22153633793
