Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.936799996225,8.30315011812,0.0,7.84528224727,0.0,0.216006390288,0.216006390288,0.216006390288,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.429358381259
 01/01  02:00:00,0.810034510819,8.38417630958,0.0,8.01997781283,0.0,0.220816333044,0.220816333044,0.220816333044,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337948766548
 01/01  03:00:00,0.764221584931,8.54898304033,0.0,8.21134748261,0.0,0.226085368661,0.226085368661,0.226085368661,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311690172214
 01/01  04:00:00,0.751923822865,8.60485101968,0.0,8.26054790734,0.0,0.227440017966,0.227440017966,0.227440017966,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318722940476
 01/01  05:00:00,0.75407923717,8.83546435044,0.0,8.41810668725,0.0,0.231778128723,0.231778128723,0.231778128723,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392743785741
 01/01  06:00:00,0.809685279765,9.15348909688,0.0,8.41542372376,0.0,0.231704257925,0.231704257925,0.231704257925,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710598264125
 01/01  07:00:00,1.03290714667,9.54900637653,0.0,8.20957116193,0.0,0.226036460717,0.226036460717,0.226036460717,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30769967122
 01/01  08:00:00,1.37133456695,10.0719654741,0.0,8.55780588893,0.0,0.235624506626,0.235624506626,0.235624506626,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48043819267
 01/01  09:00:00,1.3071519301,8.95649913627,0.0,7.48011519211,0.0,0.205952141766,0.205952141766,0.205952141766,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44787445457
 01/01  10:00:00,1.11092725684,7.80466980904,0.0,6.45955514399,0.0,0.177852771327,0.177852771327,0.177852771327,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.320850784
 01/01  11:00:00,1.12913832717,8.44856074672,0.0,7.25865916185,0.0,0.199854729819,0.199854729819,0.199854729819,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16506705751
 01/01  12:00:00,1.09539830187,6.42801172425,0.0,5.38216213234,0.0,0.148188602718,0.148188602718,0.148188602718,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02100745593
 01/01  13:00:00,1.08362152038,6.61869240624,0.0,5.68182966423,0.0,0.156439434213,0.156439434213,0.156439434213,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.912439079994
 01/01  14:00:00,1.05293880371,6.37964683522,0.0,5.51026520831,0.0,0.15171570119,0.15171570119,0.15171570119,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.844113408357
 01/01  15:00:00,1.05799731066,6.52983383847,0.0,5.72340586784,0.0,0.157584163667,0.157584163667,0.157584163667,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.779736940615
 01/01  16:00:00,1.13278913579,6.68707988322,0.0,5.8719946476,0.0,0.161675300855,0.161675300855,0.161675300855,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.786910525202
 01/01  17:00:00,1.40096180588,6.92881461588,0.0,6.02651074596,0.0,0.165929636594,0.165929636594,0.165929636594,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.868978125488
 01/01  18:00:00,1.91875688828,8.10916192068,0.0,7.03719814644,0.0,0.193757180614,0.193757180614,0.193757180614,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03147832079
