Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.940304973335,8.42985441198,0.0,7.97258188256,0.0,0.219511367399,0.219511367399,0.219511367399,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.42876303983
 01/01  02:00:00,0.826807315068,8.99233683949,0.0,8.62916063949,0.0,0.237589137293,0.237589137293,0.237589137293,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.336926469791
 01/01  03:00:00,0.783171174033,9.23662512317,0.0,8.89959043122,0.0,0.245034957762,0.245034957762,0.245034957762,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.31108930644
 01/01  04:00:00,0.775154716564,9.4477126559,0.0,9.10428645454,0.0,0.250670911665,0.250670911665,0.250670911665,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.317846029498
 01/01  05:00:00,0.782546586487,9.86839449563,0.0,9.45203160924,0.0,0.26024547804,0.26024547804,0.26024547804,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.391749008936
 01/01  06:00:00,0.836841318703,10.1387658451,0.0,9.40172227679,0.0,0.258860296863,0.258860296863,0.258860296863,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.709576459307
 01/01  07:00:00,1.08476988276,11.4314696475,0.0,10.0932089664,0.0,0.27789919681,0.27789919681,0.27789919681,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30652513763
 01/01  08:00:00,1.41068549261,11.5001458524,0.0,9.98701878454,0.0,0.274975432291,0.274975432291,0.274975432291,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.4794056753
 01/01  09:00:00,1.34449609862,10.3111114802,0.0,8.83644331714,0.0,0.243296310287,0.243296310287,0.243296310287,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44615867345
 01/01  10:00:00,1.14772274467,9.13940202632,0.0,7.79595536375,0.0,0.214648259157,0.214648259157,0.214648259157,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31918278152
 01/01  11:00:00,1.17139156722,9.98135108722,0.0,8.7932831775,0.0,0.242107969871,0.242107969871,0.242107969871,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16323338236
 01/01  12:00:00,1.16606908466,8.99322530228,0.0,7.94890211126,0.0,0.218859385512,0.218859385512,0.218859385512,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01948105505
 01/01  13:00:00,1.14608938208,8.88408460882,0.0,7.95064220137,0.0,0.218907295909,0.218907295909,0.218907295909,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.909018745429
 01/01  14:00:00,1.12225190358,8.89434126364,0.0,8.02769458228,0.0,0.221028801055,0.221028801055,0.221028801055,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.841378462811
 01/01  15:00:00,1.11720685309,8.67777757285,0.0,7.87387730289,0.0,0.216793706098,0.216793706098,0.216793706098,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.777209239939
 01/01  16:00:00,1.18681596824,8.6461402491,0.0,7.83423173217,0.0,0.215702133309,0.215702133309,0.215702133309,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.783733806512
 01/01  17:00:00,1.44549553339,8.54337440604,0.0,7.64396132851,0.0,0.2104633641,0.2104633641,0.2104633641,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.866087333099
 01/01  18:00:00,1.92956714754,8.49916797093,0.0,7.42982326739,0.0,0.204567439881,0.204567439881,0.204567439881,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02885925008
 01/01  19:00:00,2.29816738042,9.54935916111,0.0,8.31666111459,0.0,0.228984998881,0.228984998881,0.228984998881,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.1887430635
 01/01  20:00:00,2.22881895693,8.33839954993,0.0,7.07094317757,0.0,0.194686292166,0.194686292166,0.194686292166,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.2220861865
 01/01  21:00:00,2.06186337629,7.84145745923,0.0,6.65967361341,0.0,0.183362690135,0.183362690135,0.183362690135,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13485389339
 01/01  22:00:00,1.88939122216,7.71136549695,0.0,6.64635108228,0.0,0.182995877092,0.182995877092,0.182995877092,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01918010314
 01/01  23:00:00,1.56264938532,7.63618800676,0.0,6.75686958001,0.0,0.186038814363,0.186038814363,0.186038814363,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.839654703984
 01/01  24:00:00,1.23313478939,7.46221488248,0.0,6.78857671686,0.0,0.186911815991,0.186911815991,0.186911815991,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.639171128572
 01/02  01:00:00,0.906682965404,7.43071059438,0.0,6.99019547021,0.0,0.192463042544,0.192463042544,0.192463042544,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.412005634589
 01/02  02:00:00,0.78201670591,7.50038203375,0.0,7.14573483649,0.0,0.19674555221,0.19674555221,0.19674555221,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.328397467059
 01/02  03:00:00,0.733413047906,7.51834906816,0.0,7.18723071541,0.0,0.197888070062,0.197888070062,0.197888070062,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.305172967236
 01/02  04:00:00,0.721787155831,7.55281250575,0.0,7.21558494371,0.0,0.198668755104,0.198668755104,0.198668755104,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311647390169
 01/02  05:00:00,0.71919440241,7.65153826456,0.0,7.24811627736,0.0,0.199564449578,0.199564449578,0.199564449578,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.378808109743
 01/02  06:00:00,0.772056167285,7.8964432682,0.0,7.1975370768,0.0,0.198171838045,0.198171838045,0.198171838045,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.6714390824
 01/02  07:00:00,0.987684262803,8.20299480805,0.0,6.95300581105,0.0,0.191439089068,0.191439089068,0.191439089068,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21825345363
 01/02  08:00:00,1.31730084652,8.76870479095,0.0,7.36389245767,0.0,0.202752148121,0.202752148121,0.202752148121,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37109094074
 01/02  09:00:00,1.26189386133,8.37636781672,0.0,7.01446904845,0.0,0.193131373887,0.193131373887,0.193131373887,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33338927867
 01/02  10:00:00,1.08102474786,8.24745869879,0.0,7.00901916929,0.0,0.192981320812,0.192981320812,0.192981320812,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21417564846
 01/02  11:00:00,1.07417880962,8.20884544872,0.0,7.11180823971,0.0,0.19581144156,0.19581144156,0.19581144156,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07220268165
