Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.09152420954,13.915949611,0.0,13.4648156431,0.0,0.370730603601,0.370730603601,0.370730603601,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.422624478332
 01/01  02:00:00,0.970403200971,14.2019195236,0.0,13.8445167822,0.0,0.381185023197,0.381185023197,0.381185023197,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.331153011223
 01/01  03:00:00,0.932965634654,14.6712211293,0.0,14.3400768033,0.0,0.394829418383,0.394829418383,0.394829418383,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.305198940468
 01/01  04:00:00,0.932411835249,15.1536036367,0.0,14.8158141544,0.0,0.40792803035,0.40792803035,0.40792803035,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.312209310408
 01/01  05:00:00,0.941547759564,15.6373889545,0.0,15.2269028006,0.0,0.419246651117,0.419246651117,0.419246651117,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.385872276431
 01/01  06:00:00,1.00600059718,16.2765852272,0.0,15.5455325718,0.0,0.428019575344,0.428019575344,0.428019575344,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.703585546437
 01/01  07:00:00,1.25291778103,17.5325794116,0.0,16.2002862592,0.0,0.44604709508,0.44604709508,0.44604709508,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30055760902
 01/01  08:00:00,1.57957481005,17.6279854495,0.0,16.1210241817,0.0,0.44386474973,0.44386474973,0.44386474973,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47323987526
 01/01  09:00:00,1.49041853574,15.6051013491,0.0,14.1362990477,0.0,0.389218747407,0.389218747407,0.389218747407,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.4402928118
 01/01  10:00:00,1.29126063053,14.3471689712,0.0,13.0092049636,0.0,0.358186145015,0.358186145015,0.358186145015,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31370012658
 01/01  11:00:00,1.30905220822,14.9755540633,0.0,13.7930731445,0.0,0.37976861087,0.37976861087,0.37976861087,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15764639141
 01/01  12:00:00,1.25972710273,12.3888597447,0.0,11.3505310422,0.0,0.31251740358,0.31251740358,0.31251740358,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01348656654
 01/01  13:00:00,1.2140521139,11.3488525387,0.0,10.4190266446,0.0,0.28687002773,0.28687002773,0.28687002773,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.905402231995
 01/01  14:00:00,1.17836908945,10.9287776634,0.0,10.0658526269,0.0,0.277145986924,0.277145986924,0.277145986924,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.837656817937
 01/01  15:00:00,1.1699462432,10.5893830411,0.0,9.78935489786,0.0,0.269533096208,0.269533096208,0.269533096208,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.77333711327
 01/01  16:00:00,1.256011973,11.1561848222,0.0,10.3474082499,0.0,0.284898138071,0.284898138071,0.284898138071,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.780601861884
 01/01  17:00:00,1.55009787514,12.3391981454,0.0,11.4430845565,0.0,0.315065705849,0.315065705849,0.315065705849,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.862787844379
 01/01  18:00:00,2.08104146868,13.9965534851,0.0,12.9313216301,0.0,0.356041761015,0.356041761015,0.356041761015,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02474640151
 01/01  19:00:00,2.38471306048,12.687007367,0.0,11.4599722289,0.0,0.315530678941,0.315530678941,0.315530678941,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18308015513
 01/01  20:00:00,2.34172918076,12.434091989,0.0,11.1718059963,0.0,0.307596515996,0.307596515996,0.307596515996,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.21691580684
 01/01  21:00:00,2.19995843454,12.8532228918,0.0,11.6752414746,0.0,0.321457748388,0.321457748388,0.321457748388,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.1310514647
 01/01  22:00:00,2.03204166272,12.8875911368,0.0,11.8273689556,0.0,0.325646317643,0.325646317643,0.325646317643,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01438786969
 01/01  23:00:00,1.71345449922,13.1078267838,0.0,12.2340625526,0.0,0.33684392827,0.33684392827,0.33684392827,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.834100508348
 01/01  24:00:00,1.39382917651,13.2930640188,0.0,12.624944895,0.0,0.347606203117,0.347606203117,0.347606203117,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.633652086708
 01/02  01:00:00,1.07362055844,13.4883543007,0.0,13.0533148684,0.0,0.359400635585,0.359400635585,0.359400635585,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.406529942719
 01/02  02:00:00,0.952704745235,13.6940253867,0.0,13.345069231,0.0,0.367433591536,0.367433591536,0.367433591536,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.322706425498
 01/02  03:00:00,0.911271919839,13.9721879756,0.0,13.6470074314,0.0,0.375746941995,0.375746941995,0.375746941995,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.299235158626
 01/02  04:00:00,0.910308650625,14.3939719698,0.0,14.0626246742,0.0,0.387190249898,0.387190249898,0.387190249898,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.305767123763
 01/02  05:00:00,0.909643926679,14.5626304789,0.0,14.1651814149,0.0,0.390013973848,0.390013973848,0.390013973848,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.372835186547
 01/02  06:00:00,0.97257534342,15.1731539203,0.0,14.480328714,0.0,0.39869101418,0.39869101418,0.39869101418,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.665358097352
 01/02  07:00:00,1.2132012058,16.3875201133,0.0,15.1437082574,0.0,0.416956032066,0.416956032066,0.416956032066,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21207631252
 01/02  08:00:00,1.52544465763,16.3218242405,0.0,14.9236083715,0.0,0.410895959227,0.410895959227,0.410895959227,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36449447643
 01/02  09:00:00,1.43199120468,14.546902714,0.0,13.1923495559,0.0,0.363228717231,0.363228717231,0.363228717231,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.32604366851
 01/02  10:00:00,1.20811392626,12.8566549863,0.0,11.6248570332,0.0,0.320070499213,0.320070499213,0.320070499213,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.2075340721
 01/02  11:00:00,1.20865938707,13.0873565493,0.0,11.9960993271,0.0,0.330292019015,0.330292019015,0.330292019015,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.06642269478
 01/02  12:00:00,1.16342807697,10.7223755835,0.0,9.75935633877,0.0,0.268707137338,0.268707137338,0.268707137338,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.938177108735
 01/02  13:00:00,1.13516854784,10.15480141,0.0,9.29046315454,0.0,0.255796967765,0.255796967765,0.255796967765,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.839914593405
 01/02  14:00:00,1.08938350102,9.22283584783,0.0,8.41702807614,0.0,0.231748431016,0.231748431016,0.231748431016,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.780539553134
 01/02  15:00:00,1.08043944987,8.70820988721,0.0,7.95952523647,0.0,0.219151875044,0.219151875044,0.219151875044,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.721993620731
 01/02  16:00:00,1.16044779653,8.980437465,0.0,8.22251817272,0.0,0.226392934452,0.226392934452,0.226392934452,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.729744581866
 01/02  17:00:00,1.43019718562,9.22688424581,0.0,8.39285749695,0.0,0.231082935575,0.231082935575,0.231082935575,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.800701004436
 01/02  18:00:00,1.96433108576,10.9679047238,0.0,9.97640893596,0.0,0.274683308309,0.274683308309,0.274683308309,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.951010334387
 01/02  19:00:00,2.28124944552,10.0799183308,0.0,8.94834675516,0.0,0.246377379514,0.246377379514,0.246377379514,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.08761659265
 01/02  20:00:00,2.24326436772,9.99465278349,0.0,8.83935422525,0.0,0.243376457149,0.243376457149,0.243376457149,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.10992837239
 01/02  21:00:00,2.09605702963,10.2432142333,0.0,9.16751182553,0.0,0.25241171381,0.25241171381,0.25241171381,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.02877245538
 01/02  22:00:00,1.94069182243,10.7774637953,0.0,9.80280184478,0.0,0.269903334827,0.269903334827,0.269903334827,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.928827639011
 01/02  23:00:00,1.62419300709,10.8266579899,0.0,10.0197143301,0.0,0.275875648059,0.275875648059,0.275875648059,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.767279936963
 01/02  24:00:00,1.31580524457,10.982064579,0.0,10.3553614761,0.0,0.285117116515,0.285117116515,0.285117116515,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.592236065867
 01/03  01:00:00,1.0105980075,11.2010878747,0.0,10.7643561972,0.0,0.296378084645,0.296378084645,0.296378084645,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.40822218789
 01/03  02:00:00,0.875315326908,10.8841864535,0.0,10.534310582,0.0,0.290044173208,0.290044173208,0.290044173208,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.323626141317
 01/03  03:00:00,0.830286494237,11.0319934759,0.0,10.7056429611,0.0,0.294761516393,0.294761516393,0.294761516393,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.300405129257
 01/03  04:00:00,0.810171946737,10.7581612197,0.0,10.4256919692,0.0,0.28705354601,0.28705354601,0.28705354601,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.306889078593
 01/03  05:00:00,0.810239612735,10.9538163836,0.0,10.5548488759,0.0,0.290609659903,0.290609659903,0.290609659903,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.374353630248
 01/03  06:00:00,0.861606535089,11.145467416,0.0,10.4499774784,0.0,0.287722205849,0.287722205849,0.287722205849,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.668022828662
 01/03  07:00:00,1.07675290213,11.4354694788,0.0,10.1879499902,0.0,0.280507728398,0.280507728398,0.280507728398,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21578394514
 01/03  08:00:00,1.40999997662,12.133309427,0.0,10.7306948876,0.0,0.295451278219,0.295451278219,0.295451278219,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36889314693
