Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.943734375686,8.55251157154,0.0,8.097136667,0.0,0.222940769749,0.222940769749,0.222940769749,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.426865414955
 01/01  02:00:00,0.807955454276,8.30673410407,0.0,7.94446715148,0.0,0.218737276502,0.218737276502,0.218737276502,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.336017222382
 01/01  03:00:00,0.75637888646,8.26320234156,0.0,7.92650321014,0.0,0.218242670189,0.218242670189,0.218242670189,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310753745919
 01/01  04:00:00,0.74128360303,8.21750956779,0.0,7.87409856357,0.0,0.216799798131,0.216799798131,0.216799798131,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.31783083235
 01/01  05:00:00,0.736791629213,8.20700444635,0.0,7.79022635638,0.0,0.214490520766,0.214490520766,0.214490520766,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392164212518
 01/01  06:00:00,0.787502336959,8.34735867894,0.0,7.60974641415,0.0,0.209521315119,0.209521315119,0.209521315119,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710145155805
 01/01  07:00:00,1.00771765796,8.6338210851,0.0,7.29469707729,0.0,0.200846972008,0.200846972008,0.200846972008,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30738846442
 01/01  08:00:00,1.34448474101,9.09663498915,0.0,7.58262889314,0.0,0.208774680691,0.208774680691,0.208774680691,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48028470347
 01/01  09:00:00,1.29666502121,8.57582911274,0.0,7.09923405218,0.0,0.195465232874,0.195465232874,0.195465232874,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44808557097
 01/01  10:00:00,1.12731036532,8.39950180131,0.0,7.05458434658,0.0,0.194235879814,0.194235879814,0.194235879814,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32065357368
 01/01  11:00:00,1.15819395586,9.50278120631,0.0,8.3139502006,0.0,0.228910358514,0.228910358514,0.228910358514,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16399647835
 01/01  12:00:00,1.14722903862,8.30932096325,0.0,7.2646377313,0.0,0.200019339474,0.200019339474,0.200019339474,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01984109597
 01/01  13:00:00,1.12218975613,8.01745701793,0.0,7.08261551509,0.0,0.195007669959,0.195007669959,0.195007669959,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910417840824
 01/01  14:00:00,1.09566009458,7.92977358035,0.0,7.06188867839,0.0,0.194436992062,0.194436992062,0.194436992062,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.842616683415
 01/01  15:00:00,1.09810593193,7.98522689243,0.0,7.18013802283,0.0,0.197692784937,0.197692784937,0.197692784937,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.778397839579
 01/01  16:00:00,1.17770680706,8.31684063449,0.0,7.50338994387,0.0,0.206592972135,0.206592972135,0.206592972135,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.785275980208
 01/01  17:00:00,1.44098209636,8.38066579982,0.0,7.48003475507,0.0,0.20594992707,0.20594992707,0.20594992707,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.86730530032
 01/01  18:00:00,1.95679258389,9.48893871243,0.0,8.41864231184,0.0,0.231792876227,0.231792876227,0.231792876227,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02981094713
 01/01  19:00:00,2.27199315829,8.59898597861,0.0,7.36602183043,0.0,0.202810776748,0.202810776748,0.202810776748,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18900916517
 01/01  20:00:00,2.23616985526,8.60580966319,0.0,7.3379254278,0.0,0.202037190493,0.202037190493,0.202037190493,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22251404954
 01/01  21:00:00,2.08451248263,8.66562078648,0.0,7.48228183197,0.0,0.206011796479,0.206011796479,0.206011796479,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13640900208
 01/01  22:00:00,1.91708614634,8.71789048693,0.0,7.65222177301,0.0,0.210690801271,0.210690801271,0.210690801271,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.0198344024
 01/01  23:00:00,1.6032446487,9.110745934,0.0,8.2312764191,0.0,0.226634077744,0.226634077744,0.226634077744,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.839805792131
 01/01  24:00:00,1.29332490457,9.6482070543,0.0,8.9746622371,0.0,0.247101931172,0.247101931172,0.247101931172,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.639077780152
 01/02  01:00:00,0.974852352031,9.90637549017,0.0,9.46608554922,0.0,0.260632429172,0.260632429172,0.260632429172,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411780451361
 01/02  02:00:00,0.857507005215,10.2416027667,0.0,9.88751809664,0.0,0.272235851515,0.272235851515,0.272235851515,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.327834939897
