Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.963045572083,9.25722398209,0.0,8.79851307567,0.0,0.242251966147,0.242251966147,0.242251966147,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.430201416836
 01/01  02:00:00,0.851914796846,9.90448482447,0.0,9.5410562589,0.0,0.262696619072,0.262696619072,0.262696619072,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.33717883537
 01/01  03:00:00,0.808910914942,10.1716549861,0.0,9.83444949781,0.0,0.270774698671,0.270774698671,0.270774698671,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311260102826
 01/01  04:00:00,0.802851285339,10.4533647909,0.0,10.1102168765,0.0,0.27836748044,0.27836748044,0.27836748044,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.317567742557
 01/01  05:00:00,0.800990721653,10.5380549705,0.0,10.1219166344,0.0,0.278689613206,0.278689613206,0.278689613206,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.391524458709
 01/01  06:00:00,0.856957068539,10.8687824944,0.0,10.1323198062,0.0,0.278976046699,0.278976046699,0.278976046699,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.7089955792
 01/01  07:00:00,1.07798637772,11.1848026443,0.0,9.84683425665,0.0,0.271115691763,0.271115691763,0.271115691763,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30623284422
 01/01  08:00:00,1.40063305116,11.1346158192,0.0,9.62191736148,0.0,0.264922990837,0.264922990837,0.264922990837,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47897706516
 01/01  09:00:00,1.34787729523,10.4344190008,0.0,8.95924728447,0.0,0.246677506891,0.246677506891,0.246677506891,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44666222679
 01/01  10:00:00,1.14865107165,9.17316420665,0.0,7.82967189968,0.0,0.215576586142,0.215576586142,0.215576586142,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31922842592
 01/01  11:00:00,1.14274478145,8.94061479589,0.0,7.75284118181,0.0,0.213461184107,0.213461184107,0.213461184107,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16293908673
 01/01  12:00:00,1.10410150412,6.74262545097,0.0,5.69825962393,0.0,0.156891804972,0.156891804972,0.156891804972,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01952369106
 01/01  13:00:00,1.05797758008,5.68641232266,0.0,4.75045004479,0.0,0.130795493913,0.130795493913,0.130795493913,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.911538615855
 01/01  14:00:00,1.01104773965,4.85832728996,0.0,3.98879530737,0.0,0.109824637124,0.109824637124,0.109824637124,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.844263764038
 01/01  15:00:00,1.00041115526,4.43899677044,0.0,3.63189532478,0.0,0.0999980082657,0.0999980082657,0.0999980082657,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.780410415652
 01/01  16:00:00,1.07824416324,4.70679397013,0.0,3.8909388823,0.0,0.107130328305,0.107130328305,0.107130328305,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.787680377417
 01/01  17:00:00,1.35618540203,5.3038945087,0.0,4.40024623713,0.0,0.121153232746,0.121153232746,0.121153232746,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.870322527139
