Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.08158335859,13.5544388761,0.0,13.1037671512,0.0,0.360789752656,0.360789752656,0.360789752656,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.422162235249
 01/01  02:00:00,0.971424492455,14.2386976124,0.0,13.8816097587,0.0,0.38220631468,0.38220631468,0.38220631468,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.330838123506
 01/01  03:00:00,0.917675150481,14.1158257729,0.0,13.7847313625,0.0,0.37953893421,0.37953893421,0.37953893421,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.305149024948
 01/01  04:00:00,0.912347819831,14.4246357341,0.0,14.0870956023,0.0,0.387864014932,0.387864014932,0.387864014932,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.311959959903
 01/01  05:00:00,0.917160343344,14.7519049523,0.0,14.3411597295,0.0,0.394859234897,0.394859234897,0.394859234897,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.38613134538
 01/01  06:00:00,0.979032384541,15.297428107,0.0,14.566055809,0.0,0.401051362701,0.401051362701,0.401051362701,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.703905188944
 01/01  07:00:00,1.22907036864,16.6668719819,0.0,15.3341559523,0.0,0.422199682684,0.422199682684,0.422199682684,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30098048621
 01/01  08:00:00,1.53735570177,16.094604876,0.0,14.5876398209,0.0,0.401645641447,0.401645641447,0.401645641447,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47324366259
 01/01  09:00:00,1.48292871302,15.3338637223,0.0,13.8642711082,0.0,0.38172892468,0.38172892468,0.38172892468,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.4410831245
 01/01  10:00:00,1.30303692604,14.7750831862,0.0,13.4369162089,0.0,0.369962440534,0.369962440534,0.369962440534,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31390309625
 01/01  11:00:00,1.31913464683,15.3413290711,0.0,14.1592640548,0.0,0.389851049486,0.389851049486,0.389851049486,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15723048893
 01/01  12:00:00,1.27710946926,13.0200242702,0.0,11.9818529739,0.0,0.329899770114,0.329899770114,0.329899770114,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01332916032
 01/01  13:00:00,1.24704114181,12.5462969173,0.0,11.6171774711,0.0,0.319859055643,0.319859055643,0.319859055643,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.904695784226
 01/01  14:00:00,1.20059007786,11.7349435252,0.0,10.8729117408,0.0,0.299366975341,0.299366975341,0.299366975341,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.836763565774
