Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.992334039898,10.3176657445,0.0,9.86226075598,0.0,0.271540433962,0.271540433962,0.271540433962,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.426895498919
 01/01  02:00:00,0.873415854945,10.683150497,0.0,10.3219677365,0.0,0.284197677171,0.284197677171,0.284197677171,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.33493303034
 01/01  03:00:00,0.828418398583,10.8781458629,0.0,10.5429549957,0.0,0.290282182312,0.290282182312,0.290282182312,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.309245481666
 01/01  04:00:00,0.825966130843,11.2914063338,0.0,10.9497405907,0.0,0.301482325944,0.301482325944,0.301482325944,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.316085571154
 01/01  05:00:00,0.829238905199,11.5623999005,0.0,11.1478815264,0.0,0.306937796752,0.306937796752,0.306937796752,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.389904496703
 01/01  06:00:00,0.884000443126,11.849744752,0.0,11.1145264264,0.0,0.306019421286,0.306019421286,0.306019421286,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.707751216614
 01/01  07:00:00,1.10712526352,12.2415950554,0.0,10.9051491667,0.0,0.300254577567,0.300254577567,0.300254577567,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30471034529
 01/01  08:00:00,1.421719235,11.8988867167,0.0,10.3877607404,0.0,0.286009174684,0.286009174684,0.286009174684,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47740458374
 01/01  09:00:00,1.38080922017,11.6291175727,0.0,10.1553241495,0.0,0.279609431834,0.279609431834,0.279609431834,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44528393365
 01/01  10:00:00,1.21086664704,11.4314710026,0.0,10.0893214798,0.0,0.277792161533,0.277792161533,0.277792161533,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31788564178
